Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAS,19865,2009.0,Anthony Tolliver,PF,23.0,19.0,0.0,208.0,7.6,0.375,0.631,0.154,7.0,16.4,11.7,12.1,1.3,0.4,9.2,17.8,,-0.3,0.3,0.0,0.01,,-3.1,-0.1,-3.2,-0.1,19.0,65.0,0.292,9.0,41.0,0.22,10.0,24.0,0.41700000000000004,0.36200000000000004,5.0,10.0,0.5,12.0,29.0,41.0,17.0,5.0,1.0,7.0,16.0,52.0
GSW,20446,2010.0,Anthony Tolliver,PF,24.0,44.0,29.0,1423.0,13.7,0.532,0.337,0.299,6.5,18.6,12.5,8.6,1.1,1.7,8.3,16.6,,1.8,0.8,2.5,0.085,,0.0,-0.5,-0.4,0.6,193.0,448.0,0.431,50.0,151.0,0.331,143.0,297.0,0.48100000000000004,0.48700000000000004,103.0,134.0,0.769,84.0,235.0,319.0,87.0,32.0,33.0,46.0,127.0,539.0
POR,20445,2010.0,Anthony Tolliver,PF,24.0,2.0,0.0,4.0,-11.5,0.0,1.0,0.0,0.0,31.2,15.5,0.0,0.0,0.0,0.0,11.9,,0.0,0.0,0.0,-0.217,,-13.6,-5.1,-18.7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
MIN,21607,2012.0,Anthony Tolliver,SF,26.0,65.0,4.0,1362.0,13.3,0.585,0.555,0.419,7.3,17.0,12.0,8.9,1.0,1.6,14.5,13.1,,2.6,0.7,3.3,0.115,,0.5,0.2,0.4,0.8,141.0,313.0,0.45,47.0,115.0,0.409,94.0,198.0,0.568,0.526,105.0,131.0,0.802,92.0,203.0,295.0,82.0,28.0,28.0,49.0,145.0,434.0
ATL,22192,2013.0,Anthony Tolliver,SF,27.0,62.0,11.0,963.0,8.4,0.531,0.616,0.23600000000000002,3.7,14.5,9.2,4.8,0.8,1.0,13.1,13.2,,0.3,0.9,1.2,0.059000000000000004,,-2.5,-0.8,-3.3,-0.3,82.0,216.0,0.38,45.0,133.0,0.33799999999999997,37.0,83.0,0.446,0.484,44.0,51.0,0.863,31.0,124.0,155.0,32.0,15.0,12.0,36.0,66.0,253.0
CHA,22803,2014.0,Anthony Tolliver,PF,28.0,64.0,9.0,1298.0,11.0,0.605,0.805,0.134,2.9,11.8,7.3,5.0,0.8,0.9,6.6,12.4,,1.9,1.3,3.2,0.11699999999999999,,0.8,-0.5,0.3,0.8,129.0,307.0,0.42,102.0,247.0,0.413,27.0,60.0,0.45,0.586,33.0,41.0,0.805,33.0,135.0,168.0,42.0,19.0,15.0,23.0,82.0,393.0
PHO,23452,2015.0,Anthony Tolliver,PF,29.0,24.0,0.0,272.0,7.8,0.522,0.838,0.081,2.4,15.5,8.9,5.2,0.7,0.3,12.6,14.2,,0.1,0.2,0.2,0.04,,-1.8,-2.2,-3.9,-0.1,26.0,74.0,0.35100000000000003,24.0,62.0,0.387,2.0,12.0,0.16699999999999998,0.514,4.0,6.0,0.667,6.0,38.0,44.0,10.0,4.0,1.0,11.0,20.0,80.0
TOT,23451,2015.0,Anthony Tolliver,PF,29.0,76.0,29.0,1432.0,13.6,0.569,0.738,0.298,6.5,18.7,12.5,8.6,1.1,1.7,10.8,16.6,,1.8,0.9,2.7,0.092,,0.5,-0.5,-0.5,0.6,193.0,449.0,0.43,106.0,290.0,0.366,143.0,297.0,0.534,0.545,103.0,134.0,0.7829999999999999,84.0,236.0,320.0,87.0,32.0,33.0,51.0,137.0,539.0
DET,24038,2016.0,Anthony Tolliver,PF,30.0,72.0,11.0,1341.0,11.8,0.58,0.8190000000000001,0.19699999999999998,4.1,16.1,9.3,6.5,1.0,1.0,10.3,14.8,,1.8,1.3,2.8,0.10400000000000001,,1.0,0.0,0.1,0.7,135.0,332.0,0.423,98.0,272.0,0.36,53.0,91.0,0.5820000000000001,0.552,50.0,63.0,0.794,45.0,190.0,229.0,52.0,26.0,16.0,40.0,117.0,402.0
SAC,24621,2017.0,Anthony Tolliver,PF,31.0,65.0,9.0,1477.0,11.1,0.595,0.655,0.23399999999999999,4.0,14.5,9.3,7.7,1.1,1.2,12.6,13.6,,1.5,0.8,2.3,0.075,,0.2,-0.8,-0.6,0.5,155.0,351.0,0.442,90.0,230.0,0.391,65.0,121.0,0.537,0.57,61.0,82.0,0.7440000000000001,51.0,188.0,239.0,77.0,33.0,20.0,56.0,109.0,461.0
