Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,15223,2001.0,Brevin Knight,PG,25.0,47.0,43.0,1364.0,12.9,0.424,0.027999999999999997,0.16899999999999998,1.8,11.4,6.6,33.4,3.6,0.2,18.0,15.3,,0.1,1.6,1.7,0.06,,-1.5,0.9,-0.6,0.5,137.0,356.0,0.385,1.0,10.0,0.1,136.0,346.0,0.39299999999999996,0.386,49.0,60.0,0.8170000000000001,22.0,139.0,161.0,286.0,95.0,3.0,84.0,138.0,324.0
CLE,15222,2001.0,Brevin Knight,PG,25.0,80.0,76.0,2483.0,17.1,0.515,0.018000000000000002,0.44799999999999995,3.4,12.3,7.0,47.6,4.2,0.9,28.4,19.8,,3.5,4.9,8.4,0.163,,0.7,1.6,2.3,2.7,261.0,592.0,0.441,2.0,10.0,0.2,261.0,585.0,0.446,0.441,201.0,251.0,0.833,67.0,186.0,253.0,656.0,196.0,21.0,194.0,271.0,723.0
MEM,16246,2003.0,Brevin Knight,PG,27.0,55.0,11.0,1151.0,14.9,0.48200000000000004,0.035,0.344,1.8,9.5,5.3,43.9,3.9,0.4,27.8,19.6,,0.2,1.2,1.4,0.057999999999999996,,-2.1,-1.2,-3.3,-0.4,141.0,334.0,0.425,2.0,8.0,0.25,139.0,326.0,0.43200000000000005,0.43,87.0,115.0,0.757,15.0,98.0,109.0,302.0,79.0,7.0,111.0,135.0,371.0
MIL,16779,2004.0,Brevin Knight,PG,28.0,21.0,1.0,420.0,15.8,0.505,0.028999999999999998,0.36200000000000004,0.8,12.2,6.5,36.4,3.6,0.0,17.0,15.8,,0.6,0.5,1.1,0.127,,0.3,-0.2,0.1,0.2,46.0,105.0,0.43799999999999994,1.0,3.0,0.33299999999999996,45.0,102.0,0.441,0.44299999999999995,30.0,38.0,0.789,3.0,45.0,48.0,98.0,29.0,0.0,25.0,56.0,123.0
PHO,16777,2004.0,Brevin Knight,PG,28.0,3.0,0.0,19.0,11.7,0.33299999999999996,0.0,0.0,0.0,18.1,9.0,30.2,8.2,3.9,50.0,14.3,,-0.1,0.1,0.0,-0.051,,-8.5,7.1,-1.4,0.0,1.0,3.0,0.33299999999999996,0.0,0.0,,1.0,3.0,0.33299999999999996,0.33299999999999996,0.0,0.0,,0.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,2.0
TOT,16776,2004.0,Brevin Knight,PG,28.0,56.0,43.0,1457.0,13.6,0.475,0.033,0.264,1.8,11.2,6.4,33.7,4.2,0.2,20.8,15.1,,0.5,1.6,1.7,0.078,,-1.7,0.8,-1.0,0.4,139.0,371.0,0.42700000000000005,2.0,10.0,0.25,138.0,361.0,0.433,0.431,54.0,66.0,0.818,23.0,145.0,168.0,311.0,101.0,4.0,91.0,155.0,333.0
WAS,16778,2004.0,Brevin Knight,PG,28.0,32.0,12.0,598.0,12.2,0.45399999999999996,0.036000000000000004,0.196,2.0,9.6,5.7,28.5,4.5,0.0,22.7,14.3,,-0.1,0.7,0.6,0.048,,-2.8,0.3,-2.5,-0.1,58.0,138.0,0.42,1.0,5.0,0.2,57.0,133.0,0.429,0.424,19.0,27.0,0.7040000000000001,11.0,50.0,61.0,102.0,52.0,0.0,44.0,50.0,136.0
CHA,18498,2007.0,Brevin Knight,PG,31.0,69.0,67.0,2351.0,18.0,0.495,0.05,0.40700000000000003,1.6,9.9,5.5,49.3,3.5,0.2,18.5,20.3,,2.6,2.5,4.9,0.11,,0.8,-0.2,0.2,1.3,308.0,772.0,0.42200000000000004,3.0,20.0,0.231,305.0,759.0,0.43799999999999994,0.425,252.0,314.0,0.852,35.0,188.0,223.0,610.0,157.0,5.0,164.0,202.0,871.0
LAC,19060,2008.0,Brevin Knight,PG,32.0,74.0,39.0,1674.0,11.4,0.45299999999999996,0.018000000000000002,0.20800000000000002,1.0,8.8,4.9,31.1,3.1,0.5,16.0,12.2,,0.5,1.6,2.1,0.06,,-3.0,-0.1,-3.0,-0.4,138.0,342.0,0.40399999999999997,0.0,6.0,0.0,138.0,336.0,0.41100000000000003,0.40399999999999997,62.0,71.0,0.873,15.0,127.0,142.0,328.0,100.0,11.0,71.0,160.0,338.0
UTA,19643,2009.0,Brevin Knight,PG,33.0,74.0,0.0,938.0,9.5,0.414,0.032,0.33899999999999997,1.7,9.5,5.6,28.1,3.7,0.3,23.3,13.5,,-0.6,1.3,0.7,0.035,,-4.2,0.7,-3.4,-0.3,66.0,189.0,0.349,0.0,6.0,0.0,66.0,183.0,0.361,0.349,48.0,64.0,0.75,13.0,75.0,88.0,190.0,68.0,4.0,66.0,98.0,180.0
