Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,7329,1984.0,Gerald Henderson,PG,28.0,82.0,78.0,2088.0,14.7,0.57,0.079,0.33799999999999997,4.0,6.1,4.7,19.8,2.8,0.8,19.9,20.5,,2.7,2.6,5.3,0.121,,1.1,-0.1,1.0,1.6,376.0,718.0,0.524,20.0,57.0,0.35100000000000003,356.0,693.0,0.539,0.5379999999999999,136.0,177.0,0.768,68.0,105.0,152.0,300.0,117.0,15.0,161.0,209.0,908.0
SEA,8436,1987.0,Gerald Henderson,PG,31.0,82.0,82.0,2648.0,15.7,0.578,0.06,0.36,4.2,5.2,4.3,31.5,2.6,0.3,20.6,19.5,,3.6,2.6,6.2,0.115,,1.4,-0.5,0.9,1.8,434.0,900.0,0.5,18.0,52.0,0.34600000000000003,418.0,853.0,0.532,0.5,199.0,255.0,0.9440000000000001,89.0,119.0,190.0,559.0,140.0,11.0,231.0,230.0,1071.0
NYK,8824,1988.0,Gerald Henderson,PG,32.0,68.0,53.0,1890.0,14.6,0.514,0.28600000000000003,0.34,2.6,15.4,8.3,33.3,2.4,0.3,35.0,19.3,,1.5,1.1,2.6,0.066,,0.3,-0.3,-1.0,0.5,273.0,624.0,0.43799999999999994,19.0,74.0,0.5,254.0,550.0,0.462,0.45299999999999996,173.0,212.0,1.0,44.0,122.0,166.0,439.0,95.0,11.0,157.0,191.0,738.0
MIL,9709,1990.0,Gerald Henderson,PG,34.0,11.0,0.0,129.0,7.4,0.502,0.26899999999999996,0.077,2.6,8.1,5.3,13.1,3.0,0.0,22.9,11.3,,0.0,0.1,0.1,0.033,,-3.7,0.3,-3.3,0.0,11.0,26.0,0.423,3.0,7.0,0.429,8.0,19.0,0.42100000000000004,0.48100000000000004,2.0,2.0,1.0,3.0,9.0,12.0,13.0,8.0,0.0,8.0,14.0,27.0
DET,10633,1992.0,Gerald Henderson,PG,36.0,46.0,10.0,392.0,13.6,0.609,0.373,0.23800000000000002,2.7,10.8,5.5,25.4,2.5,0.4,18.2,19.3,,0.7,0.5,1.1,0.16399999999999998,,0.7,-0.3,-0.4,0.1,50.0,117.0,0.506,14.0,31.0,0.6,43.0,96.0,0.5379999999999999,0.59,16.0,21.0,1.0,8.0,29.0,37.0,62.0,12.0,2.0,28.0,43.0,123.0
HOU,10632,1992.0,Gerald Henderson,PG,36.0,8.0,0.0,34.0,4.3,0.44,0.273,0.545,3.4,3.2,3.3,20.8,0.0,0.0,22.7,22.5,,-0.1,0.0,-0.1,-0.092,,-6.2,-5.4,-11.6,-0.1,4.0,11.0,0.364,0.0,3.0,0.0,4.0,8.0,0.5,0.364,4.0,6.0,0.667,1.0,1.0,2.0,5.0,0.0,0.0,4.0,4.0,12.0
TOT,10631,1992.0,Gerald Henderson,PG,36.0,75.0,59.0,2045.0,14.5,0.584,0.36,0.375,2.7,8.1,5.3,32.9,2.4,0.3,20.1,20.4,,1.7,1.2,2.9,0.128,,0.3,-0.7,-1.2,0.4,298.0,674.0,0.486,69.0,163.0,0.447,279.0,597.0,0.507,0.564,190.0,230.0,0.826,50.0,125.0,175.0,471.0,101.0,11.0,172.0,208.0,805.0
CHA,22521,2014.0,Gerald Henderson,SG,26.0,77.0,77.0,2461.0,16.4,0.531,0.183,0.452,5.2,13.3,9.3,15.6,1.7,2.1,11.0,23.5,,2.9,2.8,3.6,0.073,,0.5,0.0,-1.6,0.2,403.0,930.0,0.45899999999999996,40.0,115.0,0.348,363.0,815.0,0.475,0.467,258.0,313.0,0.8240000000000001,64.0,279.0,310.0,199.0,68.0,34.0,113.0,159.0,1081.0
CHO,23125,2015.0,Gerald Henderson,SG,27.0,80.0,72.0,2315.0,13.2,0.514,0.161,0.256,1.7,11.6,6.5,15.6,1.1,0.7,10.5,20.7,,1.3,2.3,3.6,0.07400000000000001,,-1.2,-0.4,-1.5,0.3,370.0,847.0,0.43700000000000006,45.0,136.0,0.331,325.0,711.0,0.457,0.46299999999999997,184.0,217.0,0.848,36.0,237.0,273.0,206.0,51.0,22.0,110.0,135.0,969.0
POR,23737,2016.0,Gerald Henderson,SG,28.0,72.0,0.0,1431.0,12.9,0.526,0.257,0.276,2.3,13.7,8.0,8.2,1.4,1.0,10.3,20.2,,1.0,1.0,2.0,0.068,,-1.9,-1.4,-3.3,-0.5,232.0,529.0,0.439,48.0,136.0,0.353,184.0,393.0,0.46799999999999997,0.484,112.0,146.0,0.767,30.0,181.0,211.0,75.0,39.0,19.0,68.0,87.0,624.0
PHI,24322,2017.0,Gerald Henderson,SG,33.0,72.0,41.0,1667.0,12.5,0.5660000000000001,0.36200000000000004,0.38299999999999995,2.2,10.0,6.1,22.5,2.3,0.7,19.6,20.1,,1.4,1.0,2.2,0.075,,0.6,-1.2,-1.7,0.1,234.0,553.0,0.431,67.0,173.0,0.42100000000000004,173.0,380.0,0.461,0.507,136.0,168.0,0.8190000000000001,34.0,151.0,185.0,218.0,67.0,15.0,125.0,173.0,662.0
