Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DAL,13079,1997.0,Jim Jackson,SG,26.0,82.0,82.0,3066.0,18.9,0.5489999999999999,0.255,0.37,6.2,10.3,7.9,23.1,2.1,0.8,18.5,28.2,,4.8,1.1,5.4,0.11800000000000001,,2.8,-0.2,0.9,1.2,637.0,1432.0,0.47200000000000003,121.0,333.0,0.363,620.0,1372.0,0.49,0.489,345.0,418.0,0.825,173.0,237.0,410.0,374.0,87.0,25.0,334.0,165.0,1604.0
NJN,13080,1997.0,Jim Jackson,SF,26.0,31.0,31.0,1155.0,15.0,0.518,0.245,0.27699999999999997,4.5,13.2,8.6,23.2,1.3,1.1,17.0,22.0,,1.1,0.5,1.6,0.066,,0.7,-0.7,0.0,0.6,184.0,441.0,0.41700000000000004,40.0,108.0,0.37,144.0,333.0,0.43200000000000005,0.46299999999999997,104.0,122.0,0.852,51.0,133.0,184.0,160.0,29.0,17.0,101.0,81.0,512.0
GSW,13641,1998.0,Jim Jackson,SG,27.0,31.0,31.0,1258.0,13.2,0.466,0.138,0.22399999999999998,5.0,9.8,7.3,23.5,1.6,0.1,15.8,25.9,,-0.6,0.8,0.2,0.006999999999999999,,-0.2,-0.6,-0.9,0.4,230.0,572.0,0.402,22.0,79.0,0.278,208.0,493.0,0.42200000000000004,0.42100000000000004,103.0,128.0,0.805,61.0,112.0,173.0,158.0,38.0,2.0,118.0,74.0,585.0
PHI,13640,1998.0,Jim Jackson,SG,27.0,48.0,47.0,1788.0,13.1,0.545,0.209,0.28800000000000003,4.4,10.2,7.3,21.5,1.2,0.2,19.4,18.8,,1.4,0.9,2.3,0.062,,0.6,-1.0,-0.4,0.7,246.0,535.0,0.46,39.0,112.0,0.348,207.0,423.0,0.489,0.496,126.0,154.0,0.818,69.0,158.0,227.0,223.0,41.0,6.0,145.0,112.0,657.0
POR,14180,1999.0,Jim Jackson,SG,28.0,49.0,9.0,1175.0,13.1,0.499,0.243,0.273,3.7,11.7,7.8,18.5,2.0,0.4,16.5,19.3,,0.9,1.6,2.5,0.10099999999999999,,-0.5,0.6,0.1,0.6,152.0,370.0,0.41100000000000003,25.0,90.0,0.278,127.0,280.0,0.45399999999999996,0.445,85.0,101.0,0.8420000000000001,36.0,123.0,159.0,128.0,43.0,6.0,82.0,80.0,414.0
ATL,15190,2001.0,Jim Jackson,SF,30.0,79.0,76.0,2767.0,14.3,0.496,0.245,0.392,4.0,12.6,8.0,15.4,1.8,0.5,15.9,24.6,,2.1,0.7,2.8,0.049,,1.0,-0.8,-0.9,0.8,507.0,1235.0,0.41100000000000003,117.0,303.0,0.42100000000000004,390.0,932.0,0.418,0.45799999999999996,186.0,212.0,0.877,101.0,293.0,394.0,230.0,57.0,10.0,185.0,167.0,1317.0
CLE,15191,2001.0,Jim Jackson,SF,30.0,39.0,26.0,1140.0,9.7,0.44299999999999995,0.10099999999999999,0.20199999999999999,3.7,11.1,7.4,16.9,1.6,0.4,15.4,21.2,,-0.8,0.6,-0.2,-0.01,,-2.3,-1.0,-3.3,-0.4,162.0,415.0,0.39,10.0,42.0,0.23800000000000002,152.0,373.0,0.408,0.402,66.0,84.0,0.7859999999999999,36.0,109.0,145.0,113.0,34.0,6.0,82.0,97.0,400.0
MIA,15725,2002.0,Jim Jackson,SF,31.0,55.0,19.0,1825.0,11.3,0.511,0.151,0.162,3.5,15.0,9.3,13.4,1.3,0.6,15.5,17.8,,0.3,2.5,2.8,0.073,,-1.7,1.3,-0.4,0.7,238.0,538.0,0.442,38.0,81.0,0.469,200.0,457.0,0.43799999999999994,0.478,75.0,87.0,0.862,54.0,236.0,290.0,140.0,42.0,14.0,106.0,145.0,589.0
SAC,16218,2003.0,Jim Jackson,SF,32.0,63.0,0.0,1309.0,12.4,0.501,0.154,0.11900000000000001,7.2,13.8,10.7,13.6,1.2,0.2,14.1,19.1,,0.8,1.7,2.5,0.09,,-1.2,-0.1,-1.3,0.2,204.0,462.0,0.442,32.0,71.0,0.451,172.0,391.0,0.44,0.47600000000000003,47.0,55.0,0.855,84.0,178.0,262.0,118.0,31.0,4.0,80.0,132.0,487.0
HOU,17335,2005.0,Jim Jackson,SF,34.0,80.0,80.0,3119.0,12.2,0.54,0.519,0.141,2.1,15.6,9.2,14.5,1.5,0.6,15.8,17.3,,2.2,4.4,6.6,0.102,,0.3,1.3,1.6,2.8,382.0,900.0,0.424,162.0,405.0,0.4,220.0,495.0,0.47100000000000003,0.514,107.0,127.0,0.909,52.0,435.0,487.0,226.0,86.0,23.0,175.0,227.0,1033.0
