Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
GSW,6291,1981.0,John Lucas,PG,27.0,82.0,,3095.0,16.9,0.528,0.051,0.348,2.4,7.0,4.5,33.0,2.4,0.2,24.5,20.2,,4.7,3.2,7.9,0.122,,1.4,-0.6,0.8,2.2,530.0,1146.0,0.467,12.0,42.0,0.28600000000000003,530.0,1146.0,0.47700000000000004,0.475,264.0,321.0,0.8220000000000001,65.0,182.0,247.0,762.0,152.0,9.0,255.0,229.0,1324.0
WSB,7039,1983.0,John Lucas,PG,29.0,79.0,53.0,1940.0,15.2,0.485,0.038,0.321,2.3,7.0,4.7,39.4,3.1,0.2,23.9,21.1,,1.1,2.7,3.9,0.095,,-0.7,-0.6,-1.2,0.4,263.0,618.0,0.473,2.0,22.0,0.091,261.0,596.0,0.49200000000000005,0.473,138.0,176.0,0.784,40.0,126.0,166.0,551.0,95.0,6.0,156.0,105.0,666.0
SAS,7397,1984.0,John Lucas,PG,30.0,63.0,39.0,1807.0,18.1,0.519,0.11599999999999999,0.264,1.4,9.1,5.3,45.1,2.3,0.1,18.1,17.4,,3.4,0.9,4.3,0.114,,1.8,-2.3,-0.4,0.7,275.0,595.0,0.462,19.0,69.0,0.275,256.0,526.0,0.48700000000000004,0.478,120.0,157.0,0.764,23.0,157.0,180.0,673.0,92.0,5.0,147.0,123.0,689.0
MIL,8890,1988.0,John Lucas,PG,34.0,81.0,40.0,1766.0,19.4,0.537,0.239,0.27899999999999997,2.3,8.3,5.1,32.2,2.5,0.3,15.1,23.8,,2.7,1.7,4.3,0.152,,3.7,-0.9,2.8,1.7,285.0,631.0,0.457,51.0,151.0,0.365,239.0,498.0,0.48,0.494,137.0,174.0,0.802,29.0,130.0,159.0,392.0,88.0,6.0,125.0,102.0,753.0
SEA,9335,1989.0,John Lucas,PG,35.0,74.0,8.0,842.0,16.6,0.466,0.22699999999999998,0.258,2.8,7.8,5.2,40.7,3.4,0.1,16.5,18.9,,1.1,0.8,1.9,0.109,,0.5,-2.3,-1.7,0.1,119.0,299.0,0.39799999999999996,18.0,68.0,0.265,101.0,231.0,0.43700000000000006,0.428,54.0,77.0,0.701,22.0,57.0,79.0,260.0,60.0,1.0,66.0,53.0,310.0
HOU,18509,2007.0,John Lucas,SG,36.0,82.0,65.0,2933.0,17.4,0.5329999999999999,0.37799999999999995,0.364,2.7,8.1,5.4,35.8,2.6,0.4,21.2,21.8,,4.5,1.2,5.7,0.134,,2.2,-0.6,0.6,1.7,412.0,947.0,0.47700000000000004,45.0,146.0,0.318,412.0,947.0,0.48700000000000004,0.485,231.0,298.0,0.7979999999999999,55.0,204.0,255.0,768.0,160.0,19.0,213.0,208.0,1017.0
CHI,21455,2012.0,John Lucas,PG,29.0,49.0,2.0,726.0,16.3,0.496,0.391,0.667,3.4,8.1,5.8,25.8,1.4,0.1,10.1,26.0,,1.2,1.0,2.2,0.14300000000000002,,2.3,-2.1,0.2,0.4,143.0,358.0,0.39899999999999997,55.0,140.0,0.39299999999999996,88.0,218.0,0.5,0.47600000000000003,28.0,32.0,0.875,22.0,54.0,76.0,108.0,19.0,1.0,42.0,42.0,369.0
TOR,22004,2013.0,John Lucas,PG,30.0,63.0,0.0,827.0,12.8,0.483,0.452,0.075,1.1,8.3,4.7,21.5,1.5,0.1,7.0,20.8,,0.7,0.3,1.1,0.061,,0.4,-3.3,-2.9,-0.2,129.0,334.0,0.386,57.0,151.0,0.377,72.0,183.0,0.39299999999999996,0.47200000000000003,18.0,25.0,0.72,8.0,57.0,65.0,105.0,23.0,1.0,26.0,50.0,333.0
UTA,22608,2014.0,John Lucas,PG,31.0,42.0,6.0,591.0,5.2,0.40299999999999997,0.442,0.084,2.3,5.4,3.8,11.1,1.2,0.0,10.0,17.0,,-0.7,0.0,-0.7,-0.057999999999999996,,-3.7,-3.3,-7.0,-0.7,62.0,190.0,0.326,25.0,84.0,0.298,37.0,106.0,0.349,0.392,10.0,16.0,0.625,12.0,27.0,39.0,42.0,14.0,0.0,22.0,41.0,159.0
DET,23223,2015.0,John Lucas,PG,32.0,21.0,0.0,272.0,13.0,0.461,0.27899999999999997,0.048,1.5,5.0,3.2,36.0,1.5,0.0,13.1,19.9,,0.2,0.1,0.3,0.057999999999999996,,-1.1,-4.4,-5.5,-0.2,42.0,104.0,0.40399999999999997,9.0,29.0,0.31,33.0,75.0,0.44,0.447,5.0,5.0,1.0,4.0,12.0,16.0,60.0,8.0,0.0,16.0,18.0,98.0
MIN,24430,2017.0,John Lucas,PG,34.0,5.0,0.0,11.0,9.1,0.25,0.25,0.0,0.0,0.0,0.0,12.5,9.2,0.0,0.0,16.1,,0.0,0.0,0.0,-0.033,,-6.0,0.4,-5.6,0.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.33299999999999996,0.25,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0
