Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHH,12304,1996.0,Kenny Anderson,PG,25.0,38.0,36.0,1302.0,19.2,0.555,0.34600000000000003,0.33,2.4,7.2,4.8,40.4,2.4,0.3,14.5,21.1,,3.4,0.6,4.0,0.14800000000000002,,4.1,-2.5,1.6,1.2,206.0,454.0,0.45399999999999996,56.0,157.0,0.35700000000000004,150.0,297.0,0.505,0.515,109.0,150.0,0.727,26.0,76.0,102.0,328.0,59.0,6.0,88.0,105.0,577.0
NJN,12303,1996.0,Kenny Anderson,PG,25.0,82.0,82.0,3135.0,19.8,0.522,0.285,0.495,3.8,9.5,6.2,43.1,3.0,0.6,15.6,24.6,,4.8,3.2,7.5,0.172,,4.3,0.2,3.2,3.2,576.0,1381.0,0.435,97.0,294.0,0.364,536.0,1249.0,0.44,0.446,348.0,423.0,0.841,89.0,233.0,322.0,784.0,158.0,15.0,266.0,201.0,1538.0
POR,13424,1998.0,Kenny Anderson,PG,27.0,82.0,81.0,3081.0,19.5,0.54,0.322,0.38299999999999995,3.6,10.2,7.0,31.7,2.8,0.4,16.2,22.2,,8.0,4.4,12.4,0.193,,4.3,0.8,5.0,5.5,485.0,1137.0,0.42700000000000005,132.0,366.0,0.361,353.0,771.0,0.45799999999999996,0.485,334.0,435.0,0.772,91.0,272.0,363.0,584.0,162.0,15.0,193.0,222.0,1436.0
BOS,15517,2002.0,Kenny Anderson,PG,31.0,82.0,82.0,2593.0,20.4,0.531,0.223,0.33299999999999996,2.6,12.0,6.2,43.4,3.5,0.3,16.8,22.1,,5.4,3.5,7.3,0.171,,2.6,1.1,1.2,2.1,434.0,986.0,0.451,85.0,220.0,0.386,349.0,766.0,0.465,0.483,196.0,253.0,0.8370000000000001,57.0,218.0,275.0,420.0,141.0,10.0,130.0,230.0,1149.0
NOH,16019,2003.0,Kenny Anderson,PG,32.0,23.0,1.0,446.0,10.2,0.435,0.013000000000000001,0.147,3.6,8.2,5.9,29.0,2.2,0.6,20.8,20.6,,-0.4,0.5,0.1,0.009000000000000001,,-3.7,-0.9,-4.6,-0.3,61.0,150.0,0.40700000000000003,1.0,2.0,0.5,60.0,148.0,0.405,0.41,16.0,22.0,0.727,14.0,31.0,45.0,77.0,18.0,4.0,42.0,43.0,139.0
SEA,16018,2003.0,Kenny Anderson,PG,32.0,38.0,1.0,689.0,15.9,0.47100000000000003,0.022000000000000002,0.151,2.9,12.1,7.4,30.3,3.2,0.1,11.8,19.1,,0.7,0.8,1.5,0.107,,-0.7,0.1,-0.5,0.3,102.0,232.0,0.44,0.0,5.0,0.0,102.0,227.0,0.449,0.44,29.0,35.0,0.8290000000000001,17.0,70.0,87.0,121.0,40.0,1.0,33.0,63.0,233.0
IND,16498,2004.0,Kenny Anderson,PG,33.0,44.0,31.0,905.0,11.1,0.473,0.016,0.188,2.5,8.2,5.3,24.2,1.6,0.4,15.3,17.1,,0.4,1.1,1.5,0.079,,-2.3,-0.4,-2.6,-0.1,113.0,256.0,0.441,1.0,4.0,0.25,112.0,252.0,0.444,0.44299999999999995,35.0,48.0,0.7290000000000001,19.0,62.0,81.0,125.0,26.0,5.0,50.0,73.0,262.0
ATL,17087,2005.0,Kenny Anderson,PG,34.0,39.0,20.0,717.0,10.4,0.473,0.068,0.195,3.6,10.3,6.7,21.8,2.4,0.0,18.2,15.8,,0.0,0.3,0.2,0.016,,-2.7,-1.5,-4.2,-0.4,81.0,190.0,0.426,6.0,13.0,0.462,75.0,177.0,0.424,0.442,27.0,37.0,0.73,23.0,60.0,83.0,98.0,33.0,0.0,46.0,81.0,195.0
LAC,17088,2005.0,Kenny Anderson,PG,34.0,4.0,0.0,26.0,2.9,0.364,0.0,0.0,4.8,17.9,11.5,33.4,0.0,0.0,21.4,24.9,,-0.1,0.0,-0.1,-0.125,,-6.8,-2.6,-9.4,0.0,4.0,11.0,0.364,0.0,0.0,,4.0,11.0,0.364,0.364,0.0,0.0,,1.0,4.0,5.0,5.0,0.0,0.0,3.0,6.0,8.0
TOT,17086,2005.0,Kenny Anderson,PG,34.0,69.0,64.0,2344.0,19.5,0.534,0.307,0.405,3.6,10.6,6.9,40.4,2.8,0.5,18.4,21.8,,6.1,2.0,7.7,0.158,,4.2,-0.3,2.3,2.6,349.0,834.0,0.42700000000000005,92.0,256.0,0.462,257.0,578.0,0.445,0.474,260.0,338.0,0.789,63.0,140.0,203.0,575.0,111.0,14.0,146.0,178.0,1050.0
