Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DET,15822,2002.0,Mikki Moore,C,26.0,81.0,2.0,1154.0,35.7,1.064,0.033,2.0,12.0,20.5,14.7,8.6,1.7,4.6,18.5,18.8,,1.7,1.6,2.8,0.527,,6.6,1.4,2.1,0.5,132.0,268.0,1.0,1.0,2.0,0.5,132.0,267.0,1.0,1.0,95.0,130.0,1.0,121.0,195.0,316.0,33.0,24.0,61.0,74.0,202.0,359.0
ATL,16306,2003.0,Mikki Moore,C,27.0,5.0,0.0,31.0,26.1,0.5489999999999999,0.0,0.833,19.1,7.1,12.9,17.4,0.0,4.5,10.9,27.2,,0.1,0.0,0.1,0.21100000000000002,,3.3,-2.3,1.0,0.0,5.0,12.0,0.41700000000000004,0.0,0.0,,5.0,12.0,0.41700000000000004,0.41700000000000004,8.0,10.0,0.8,5.0,2.0,7.0,3.0,0.0,2.0,2.0,1.0,18.0
UTA,16850,2004.0,Mikki Moore,PF,28.0,28.0,0.0,385.0,13.7,0.585,0.0,0.37200000000000005,8.9,17.7,13.2,8.9,1.0,2.9,16.7,15.9,,0.7,0.4,1.0,0.131,,-1.0,0.1,-0.8,0.1,49.0,94.0,0.521,0.0,0.0,,49.0,94.0,0.521,0.521,30.0,35.0,0.857,28.0,54.0,82.0,19.0,7.0,13.0,22.0,64.0,128.0
LAC,17436,2005.0,Mikki Moore,PF,29.0,74.0,4.0,1178.0,12.7,0.5710000000000001,0.017,0.474,10.2,14.7,12.5,6.6,0.9,2.1,15.4,16.1,,1.6,1.0,2.6,0.106,,-1.1,-0.4,-1.5,0.1,144.0,287.0,0.502,1.0,5.0,0.2,143.0,282.0,0.507,0.503,107.0,136.0,0.787,97.0,149.0,246.0,47.0,19.0,32.0,63.0,173.0,396.0
SEA,18005,2006.0,Mikki Moore,C,30.0,47.0,1.0,583.0,8.6,0.509,0.016,0.5,9.0,18.1,13.5,6.8,0.6,2.0,20.9,14.7,,0.1,0.0,0.1,0.006,,-3.4,-1.4,-4.8,-0.4,54.0,124.0,0.435,0.0,2.0,0.0,54.0,122.0,0.44299999999999995,0.435,46.0,62.0,0.742,44.0,86.0,130.0,27.0,7.0,15.0,40.0,92.0,154.0
NJN,18551,2007.0,Mikki Moore,C,31.0,79.0,55.0,2082.0,14.8,0.637,0.002,0.46399999999999997,11.8,14.5,11.8,6.1,1.2,2.3,15.6,23.5,,3.5,2.3,5.7,0.131,,-0.7,0.8,0.1,1.1,308.0,506.0,0.609,0.0,1.0,0.0,308.0,505.0,0.61,0.609,160.0,235.0,0.6809999999999999,145.0,258.0,403.0,74.0,46.0,60.0,113.0,261.0,776.0
BOS,19712,2009.0,Mikki Moore,C,33.0,24.0,0.0,456.0,9.3,0.621,0.0,0.22399999999999998,9.2,19.1,14.1,8.3,0.5,13.1,18.4,11.7,,0.6,0.7,1.3,0.135,,-1.3,5.8,0.1,0.2,51.0,85.0,0.6,0.0,0.0,,51.0,85.0,0.6,0.6,14.0,19.0,0.737,31.0,75.0,106.0,25.0,4.0,5.0,21.0,96.0,116.0
SAC,19711,2009.0,Mikki Moore,PF,33.0,82.0,79.0,2385.0,11.5,0.613,0.004,0.37200000000000005,8.1,16.9,12.2,5.6,0.9,1.5,16.2,12.7,,3.2,1.4,4.6,0.092,,-0.7,-0.1,-0.8,0.7,282.0,489.0,0.5770000000000001,0.0,2.0,0.0,282.0,487.0,0.579,0.5770000000000001,134.0,182.0,0.81,160.0,334.0,494.0,84.0,35.0,46.0,110.0,310.0,698.0
TOT,19710,2009.0,Mikki Moore,PF-C,33.0,70.0,20.0,1202.0,17.9,0.593,0.0,0.769,16.4,17.7,13.2,12.5,1.0,6.9,17.1,20.7,,1.2,0.9,2.1,0.157,,-0.1,0.1,-0.2,0.1,114.0,206.0,0.5529999999999999,0.0,0.0,,114.0,206.0,0.5529999999999999,0.5529999999999999,48.0,61.0,0.857,76.0,182.0,258.0,53.0,17.0,19.0,48.0,208.0,276.0
GSW,21489,2012.0,Mikki Moore,C,36.0,23.0,20.0,406.0,11.2,0.606,0.0,0.35,7.0,14.4,10.6,12.5,1.3,2.3,23.3,12.2,,0.5,0.1,0.6,0.071,,-1.5,0.1,-1.9,0.0,54.0,90.0,0.6,0.0,0.0,,54.0,90.0,0.6,0.6,7.0,11.0,0.857,26.0,43.0,69.0,36.0,5.0,13.0,21.0,60.0,115.0
