Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAC,18507,2007.0,Shaun Livingston,PG,21.0,61.0,31.0,1611.0,13.7,0.503,0.036000000000000004,0.27399999999999997,4.2,10.4,7.0,29.9,2.1,1.6,23.7,18.0,,0.9,1.8,2.4,0.07200000000000001,,-0.9,0.8,-0.9,0.5,208.0,449.0,0.46299999999999997,5.0,16.0,0.313,203.0,433.0,0.469,0.469,82.0,116.0,0.746,56.0,142.0,184.0,274.0,59.0,32.0,111.0,160.0,503.0
MIA,19654,2009.0,Shaun Livingston,PG,23.0,4.0,0.0,41.0,5.4,0.461,0.0,0.5,0.0,5.9,2.9,14.2,2.6,0.0,23.5,14.6,,-0.1,0.0,0.0,-0.021,,-7.1,-1.2,-8.3,-0.1,3.0,8.0,0.375,0.0,0.0,,3.0,8.0,0.375,0.375,3.0,4.0,0.75,0.0,2.0,2.0,4.0,2.0,0.0,3.0,4.0,9.0
OKC,20257,2010.0,Shaun Livingston,PG,24.0,10.0,1.0,190.0,13.5,0.5670000000000001,0.125,0.115,3.6,14.2,8.8,14.7,2.0,1.1,33.3,14.1,,0.2,0.2,0.4,0.095,,-2.0,2.5,-2.4,0.0,28.0,52.0,0.5379999999999999,0.0,2.0,0.0,28.0,52.0,0.5379999999999999,0.5379999999999999,6.0,6.0,1.0,4.0,23.0,26.0,16.0,5.0,2.0,8.0,9.0,62.0
CHA,20869,2011.0,Shaun Livingston,PG,25.0,73.0,0.0,1261.0,14.3,0.53,0.01,0.315,2.8,11.6,7.2,22.5,2.0,1.9,16.3,20.1,,0.7,1.2,1.9,0.073,,-2.0,0.1,-1.9,0.0,185.0,397.0,0.466,1.0,4.0,0.25,184.0,393.0,0.46799999999999997,0.467,108.0,125.0,0.8640000000000001,29.0,120.0,149.0,164.0,47.0,29.0,88.0,109.0,479.0
MIL,21450,2012.0,Shaun Livingston,SG,26.0,58.0,27.0,1092.0,11.0,0.52,0.011000000000000001,0.292,3.8,8.7,6.2,16.6,1.3,1.4,17.8,15.0,,0.7,0.6,1.3,0.055,,-2.4,-0.3,-2.7,-0.2,127.0,271.0,0.469,2.0,3.0,0.667,125.0,268.0,0.466,0.47200000000000003,62.0,79.0,0.785,39.0,84.0,123.0,122.0,27.0,20.0,66.0,79.0,318.0
CLE,21999,2013.0,Shaun Livingston,PG,27.0,49.0,12.0,1135.0,14.6,0.5589999999999999,0.004,0.29600000000000004,2.8,9.8,6.2,24.6,1.7,2.1,15.7,14.7,,1.9,0.6,2.4,0.102,,-0.7,-0.4,-1.1,0.3,142.0,280.0,0.507,0.0,1.0,0.0,142.0,279.0,0.509,0.507,70.0,83.0,0.843,29.0,92.0,121.0,177.0,37.0,29.0,59.0,105.0,354.0
TOT,21997,2013.0,Shaun Livingston,PG,27.0,66.0,18.0,1455.0,13.0,0.563,0.03,0.28300000000000003,2.4,12.7,7.0,26.3,1.7,1.7,20.7,15.9,,1.7,0.9,2.6,0.086,,-1.5,-0.1,-1.8,0.1,166.0,346.0,0.517,0.0,6.0,0.0,166.0,342.0,0.5329999999999999,0.517,85.0,98.0,0.9,31.0,127.0,158.0,215.0,48.0,31.0,76.0,127.0,417.0
WAS,21998,2013.0,Shaun Livingston,PG,27.0,26.0,18.0,666.0,14.4,0.5820000000000001,0.045,0.259,2.0,12.2,6.4,28.6,1.8,1.0,19.5,17.4,,0.9,0.4,1.2,0.085,,-0.6,1.0,-2.5,-0.1,99.0,185.0,0.535,0.0,4.0,0.0,99.0,181.0,0.547,0.535,42.0,48.0,1.0,12.0,46.0,58.0,116.0,12.0,9.0,50.0,52.0,240.0
BRK,22603,2014.0,Shaun Livingston,PG,28.0,76.0,54.0,1974.0,14.5,0.551,0.012,0.392,4.1,10.8,7.5,20.1,2.5,1.3,15.5,16.1,,2.6,1.8,4.4,0.10800000000000001,,-0.5,1.1,0.6,1.3,235.0,487.0,0.483,1.0,6.0,0.16699999999999998,234.0,481.0,0.486,0.484,158.0,191.0,0.8270000000000001,67.0,179.0,246.0,245.0,93.0,31.0,105.0,172.0,629.0
GSW,24423,2017.0,Shaun Livingston,PG,31.0,78.0,3.0,1520.0,13.8,0.581,0.032,0.245,3.3,10.0,6.7,24.2,1.8,1.3,19.0,15.9,,2.9,1.8,4.6,0.145,,-0.6,0.5,-0.5,0.6,203.0,396.0,0.547,2.0,12.0,0.33299999999999996,201.0,394.0,0.55,0.5489999999999999,80.0,93.0,0.86,43.0,140.0,183.0,259.0,57.0,27.0,102.0,140.0,488.0
