Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAC,8471,1987.0,Tim Kempton,PF,23.0,66.0,6.0,936.0,10.2,0.5429999999999999,0.005,0.665,7.6,15.8,11.4,7.7,1.9,0.7,15.5,13.4,,0.7,0.6,1.3,0.066,,-2.8,0.0,-2.7,-0.2,97.0,206.0,0.47100000000000003,0.0,1.0,0.0,97.0,205.0,0.473,0.47100000000000003,95.0,137.0,0.693,70.0,124.0,194.0,53.0,38.0,12.0,49.0,162.0,289.0
DEN,9749,1990.0,Tim Kempton,PF,26.0,71.0,14.0,1061.0,10.7,0.529,0.003,0.365,4.7,17.5,10.8,14.0,1.3,0.5,18.1,16.3,,0.1,1.2,1.3,0.06,,-3.0,0.5,-2.5,-0.1,153.0,312.0,0.49,0.0,1.0,0.0,153.0,311.0,0.49200000000000005,0.49,77.0,114.0,0.675,51.0,167.0,218.0,118.0,30.0,9.0,80.0,144.0,383.0
PHO,11110,1993.0,Tim Kempton,PF,29.0,30.0,0.0,167.0,8.6,0.45399999999999996,0.0,0.6459999999999999,8.2,17.6,13.0,14.7,1.2,1.4,20.6,19.2,,-0.1,0.2,0.1,0.019,,-4.6,0.1,-4.5,-0.1,19.0,48.0,0.396,0.0,0.0,,19.0,48.0,0.396,0.396,18.0,31.0,0.581,12.0,27.0,39.0,19.0,4.0,4.0,16.0,30.0,56.0
CHH,11591,1994.0,Tim Kempton,PF,30.0,79.0,0.0,1341.0,10.4,0.568,0.003,0.618,7.1,18.5,12.5,10.3,1.9,0.6,22.1,16.7,,0.2,0.9,1.0,0.036000000000000004,,-2.7,0.4,-2.3,-0.1,171.0,335.0,0.51,0.0,1.0,0.0,171.0,334.0,0.512,0.51,142.0,207.0,0.7,91.0,213.0,304.0,102.0,41.0,14.0,121.0,215.0,484.0
CLE,11592,1994.0,Tim Kempton,PF,30.0,4.0,0.0,33.0,8.1,0.478,0.0,0.5,14.1,21.2,17.6,15.0,3.2,2.0,32.3,29.4,,-0.1,0.1,-0.1,-0.113,,-6.9,1.8,-5.1,0.0,6.0,12.0,0.5,0.0,0.0,,6.0,12.0,0.5,0.5,2.0,6.0,0.33299999999999996,4.0,6.0,10.0,3.0,2.0,1.0,7.0,8.0,14.0
ATL,12532,1996.0,Tim Kempton,PF,32.0,3.0,0.0,11.0,-6.2,,,,0.0,22.4,10.7,12.0,0.0,0.0,100.0,4.1,,0.0,0.0,0.0,-0.06,,-10.2,1.0,-9.1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,5.0,0.0
SAS,13102,1997.0,Tim Kempton,PF,33.0,10.0,0.0,59.0,-1.0,0.34,0.0,0.4,5.9,10.5,8.1,4.8,0.9,1.4,54.3,10.2,,-0.2,0.0,-0.2,-0.16699999999999998,,-9.8,-0.2,-10.0,-0.1,1.0,5.0,0.2,0.0,0.0,,1.0,5.0,0.2,0.2,2.0,2.0,1.0,3.0,5.0,8.0,2.0,1.0,1.0,7.0,4.0,4.0
ORL,13659,1998.0,Tim Kempton,PF,34.0,3.0,0.0,15.0,-5.1,0.0,0.0,0.0,0.0,8.0,3.9,9.5,0.0,0.0,0.0,6.1,,0.0,0.0,0.0,-0.08900000000000001,,-9.7,-1.0,-10.7,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
TOR,13660,1998.0,Tim Kempton,PF,34.0,5.0,0.0,32.0,0.4,0.28600000000000003,0.0,0.0,13.5,3.6,8.8,9.2,1.6,4.3,36.4,15.1,,-0.1,0.0,-0.1,-0.175,,-8.3,-0.1,-8.5,-0.1,2.0,7.0,0.28600000000000003,0.0,0.0,,2.0,7.0,0.28600000000000003,0.28600000000000003,0.0,0.0,,4.0,1.0,5.0,2.0,1.0,2.0,4.0,7.0,4.0
TOT,13658,1998.0,Tim Kempton,PF,34.0,13.0,0.0,136.0,5.7,0.433,0.0,0.42100000000000004,9.2,11.5,10.0,9.4,2.2,2.9,30.8,17.9,,-0.2,0.1,-0.1,-0.021,,-4.7,-0.1,-4.8,-0.1,15.0,38.0,0.395,0.0,0.0,,15.0,38.0,0.395,0.395,9.0,16.0,0.563,10.0,14.0,24.0,9.0,6.0,2.0,11.0,33.0,39.0
