,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
18260,18260,2007.0,Esteban Batista,PF,23.0,ATL,13.0,0.0,81.0,12.5,0.524,0.0,0.43799999999999994,10.3,34.6,22.3,8.1,2.0,0.0,17.3,13.1,,0.0,0.1,0.2,0.10099999999999999,,-3.8,-0.1,-4.0,0.0,8.0,16.0,0.5,0.0,0.0,,8.0,16.0,0.5,0.5,4.0,7.0,0.5710000000000001,7.0,23.0,30.0,4.0,3.0,0.0,4.0,13.0,20.0
18285,18285,2007.0,Cedric Bozeman,SG,23.0,ATL,23.0,5.0,199.0,-0.1,0.312,0.33299999999999996,0.154,1.8,12.3,7.0,6.9,1.3,0.8,17.8,11.7,,-0.4,0.1,-0.3,-0.077,,-7.2,-1.0,-8.2,-0.3,11.0,39.0,0.282,2.0,13.0,0.154,9.0,26.0,0.34600000000000003,0.308,2.0,6.0,0.33299999999999996,3.0,20.0,23.0,9.0,5.0,2.0,9.0,32.0,26.0
18312,18312,2007.0,Josh Childress,SG,23.0,ATL,55.0,13.0,2024.0,16.2,0.586,0.149,0.405,7.2,13.1,10.1,10.8,1.5,1.4,11.6,15.7,,4.1,1.4,5.5,0.13,,1.6,0.4,2.0,2.0,261.0,518.0,0.504,26.0,77.0,0.33799999999999997,235.0,441.0,0.5329999999999999,0.529,167.0,210.0,0.795,123.0,217.0,340.0,127.0,58.0,36.0,80.0,118.0,715.0
18314,18314,2007.0,Speedy Claxton,PG,28.0,ATL,42.0,31.0,1054.0,7.3,0.363,0.10099999999999999,0.21600000000000003,1.4,8.0,4.6,28.1,3.6,0.3,19.8,16.6,,-1.8,1.0,-0.7,-0.034,,-4.6,-0.5,-5.1,-0.8,91.0,278.0,0.327,6.0,28.0,0.214,85.0,250.0,0.34,0.33799999999999997,33.0,60.0,0.55,12.0,69.0,81.0,185.0,72.0,4.0,75.0,131.0,221.0
18375,18375,2007.0,Matt Freije,PF,25.0,ATL,19.0,0.0,147.0,6.1,0.353,0.40700000000000003,0.111,6.5,13.3,9.8,7.9,1.1,0.5,5.0,18.7,,-0.2,0.1,-0.1,-0.034,,-4.2,-3.3,-7.5,-0.2,16.0,54.0,0.29600000000000004,3.0,22.0,0.136,13.0,32.0,0.406,0.324,5.0,6.0,0.833,8.0,16.0,24.0,7.0,3.0,1.0,3.0,13.0,40.0
18449,18449,2007.0,Royal Ivey,PG,25.0,ATL,53.0,18.0,539.0,9.6,0.496,0.11199999999999999,0.245,3.3,8.1,5.7,14.1,2.4,0.6,16.4,16.2,,0.0,0.4,0.3,0.03,,-3.1,-1.3,-4.4,-0.3,64.0,143.0,0.44799999999999995,5.0,16.0,0.313,59.0,127.0,0.465,0.465,24.0,35.0,0.6859999999999999,15.0,36.0,51.0,45.0,24.0,4.0,31.0,62.0,157.0
18474,18474,2007.0,Anthony Johnson,PG,32.0,ATL,27.0,17.0,739.0,10.3,0.48100000000000004,0.223,0.162,1.4,7.3,4.3,27.7,1.2,0.2,17.6,15.9,,0.2,0.2,0.4,0.026000000000000002,,-2.0,-3.1,-5.1,-0.6,82.0,197.0,0.41600000000000004,14.0,44.0,0.318,68.0,153.0,0.444,0.452,25.0,32.0,0.7809999999999999,9.0,44.0,53.0,123.0,17.0,2.0,45.0,51.0,203.0
18476,18476,2007.0,Joe Johnson,SG,25.0,ATL,57.0,57.0,2359.0,19.5,0.5579999999999999,0.27399999999999997,0.276,2.7,9.6,6.1,21.8,1.4,0.4,12.1,28.3,,4.1,1.0,5.1,0.105,,4.0,-2.5,1.6,2.1,536.0,1139.0,0.47100000000000003,119.0,312.0,0.381,417.0,827.0,0.504,0.523,235.0,314.0,0.748,53.0,186.0,239.0,249.0,60.0,11.0,176.0,115.0,1426.0
18490,18490,2007.0,Solomon Jones,PF,22.0,ATL,58.0,8.0,666.0,12.3,0.5870000000000001,0.008,0.586,8.7,15.9,12.3,2.7,0.9,4.9,13.4,12.8,,1.0,0.7,1.6,0.11699999999999999,,-2.7,0.2,-2.5,-0.1,65.0,128.0,0.508,0.0,1.0,0.0,65.0,127.0,0.512,0.508,59.0,75.0,0.787,49.0,87.0,136.0,11.0,11.0,42.0,25.0,124.0,189.0
18510,18510,2007.0,Tyronn Lue,PG,29.0,ATL,56.0,17.0,1488.0,14.1,0.534,0.307,0.311,1.5,7.0,4.2,23.9,0.9,0.0,12.5,21.0,,2.2,0.3,2.5,0.081,,0.8,-4.0,-3.2,-0.4,218.0,524.0,0.41600000000000004,56.0,161.0,0.348,162.0,363.0,0.446,0.469,144.0,163.0,0.883,19.0,85.0,104.0,201.0,24.0,0.0,85.0,101.0,636.0
