,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
3884,3884,1974.0,Don Chaney,SG,27.0,BOS,81.0,,2258.0,12.9,0.51,,0.24,9.2,7.0,8.1,10.2,1.6,1.3,,,,3.0,2.9,5.8,0.124,,-0.2,1.2,1.0,1.7,348.0,750.0,0.46399999999999997,,,,348.0,750.0,0.46399999999999997,0.46399999999999997,149.0,180.0,0.828,210.0,168.0,378.0,176.0,83.0,62.0,,247.0,845.0
3894,3894,1974.0,Dave Cowens*,C,25.0,BOS,80.0,,3352.0,16.6,0.47600000000000003,,0.18600000000000003,7.8,27.9,18.1,14.6,1.2,1.5,,,,2.6,6.7,9.3,0.134,,-0.3,2.9,2.6,3.9,645.0,1475.0,0.43700000000000006,,,,645.0,1475.0,0.43700000000000006,0.43700000000000006,228.0,274.0,0.8320000000000001,264.0,993.0,1257.0,354.0,95.0,101.0,,294.0,1518.0
3906,3906,1974.0,Steve Downing,C,23.0,BOS,24.0,,137.0,10.2,0.396,,0.594,10.2,17.2,13.8,10.5,1.6,0.0,,,,-0.3,0.2,-0.1,-0.038,,-4.0,-2.2,-6.3,-0.1,21.0,64.0,0.32799999999999996,,,,21.0,64.0,0.32799999999999996,0.32799999999999996,22.0,38.0,0.579,14.0,25.0,39.0,11.0,5.0,0.0,,33.0,64.0
3912,3912,1974.0,Hank Finkel,C,31.0,BOS,60.0,,427.0,11.6,0.49700000000000005,,0.331,9.5,20.7,15.3,8.1,0.3,0.8,,,,0.3,0.6,0.9,0.096,,-3.3,-0.7,-4.0,-0.2,60.0,130.0,0.462,,,,60.0,130.0,0.462,0.462,28.0,43.0,0.6509999999999999,41.0,94.0,135.0,27.0,3.0,7.0,,62.0,148.0
3935,3935,1974.0,Phil Hankinson,SF,22.0,BOS,28.0,,163.0,18.1,0.506,,0.126,13.4,16.2,14.8,4.0,0.8,0.3,,,,0.3,0.2,0.5,0.14300000000000002,,-0.9,-4.7,-5.6,-0.1,50.0,103.0,0.485,,,,50.0,103.0,0.485,0.485,10.0,13.0,0.769,22.0,28.0,50.0,4.0,3.0,1.0,,18.0,110.0
3937,3937,1974.0,John Havlicek*,SF,33.0,BOS,76.0,,3091.0,17.4,0.509,,0.27699999999999997,4.4,10.6,7.6,20.8,1.3,0.5,,,,5.9,3.8,9.7,0.151,,2.4,0.3,2.7,3.7,685.0,1502.0,0.456,,,,685.0,1502.0,0.456,0.456,346.0,416.0,0.8320000000000001,138.0,349.0,487.0,447.0,95.0,32.0,,196.0,1716.0
3965,3965,1974.0,Steve Kuberski,PF,26.0,BOS,78.0,,985.0,10.9,0.48,,0.302,9.7,13.5,11.6,5.1,0.3,0.3,,,,0.7,1.0,1.7,0.084,,-3.2,-2.2,-5.3,-0.8,157.0,368.0,0.42700000000000005,,,,157.0,368.0,0.42700000000000005,0.42700000000000005,86.0,111.0,0.775,96.0,141.0,237.0,38.0,7.0,7.0,,125.0,400.0
4010,4010,1974.0,Don Nelson*,SF,33.0,BOS,82.0,,1748.0,16.1,0.563,,0.381,5.1,13.7,9.5,13.1,0.5,0.4,,,,4.0,1.9,5.9,0.162,,0.9,-1.1,-0.1,0.8,364.0,717.0,0.508,,,,364.0,717.0,0.508,0.508,215.0,273.0,0.7879999999999999,90.0,255.0,345.0,162.0,19.0,13.0,,189.0,943.0
4044,4044,1974.0,Paul Silas,PF,30.0,BOS,82.0,,2599.0,14.5,0.513,,0.43700000000000006,12.8,21.0,17.0,9.1,1.1,0.4,,,,3.6,4.0,7.7,0.141,,0.0,1.3,1.3,2.2,340.0,772.0,0.44,,,,340.0,772.0,0.44,0.44,264.0,337.0,0.7829999999999999,334.0,581.0,915.0,186.0,63.0,20.0,,246.0,944.0
4081,4081,1974.0,Paul Westphal,SG,23.0,BOS,82.0,,1165.0,16.1,0.542,,0.322,4.2,7.6,5.9,20.6,1.5,1.4,,,,1.7,1.5,3.2,0.132,,1.1,-0.7,0.4,0.7,238.0,475.0,0.501,,,,238.0,475.0,0.501,0.501,112.0,153.0,0.732,49.0,94.0,143.0,171.0,39.0,34.0,,173.0,588.0
4083,4083,1974.0,Jo Jo,PG,27.0,BOS,82.0,,3238.0,14.0,0.48200000000000004,,0.157,3.1,7.3,5.2,19.3,1.4,0.4,,,,3.7,3.6,7.3,0.10800000000000001,,-0.1,0.0,-0.1,1.6,649.0,1445.0,0.449,,,,649.0,1445.0,0.449,0.449,190.0,227.0,0.8370000000000001,100.0,251.0,351.0,448.0,105.0,25.0,,185.0,1488.0
4086,4086,1974.0,Art Williams,PG,34.0,BOS,67.0,,617.0,14.7,0.475,,0.19,3.2,14.5,9.0,33.1,3.1,0.2,,,,0.1,1.1,1.2,0.096,,-0.8,1.3,0.6,0.4,73.0,168.0,0.435,,,,73.0,168.0,0.435,0.435,27.0,32.0,0.8440000000000001,20.0,95.0,115.0,163.0,44.0,3.0,,100.0,173.0
