,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21147,21147,2012.0,Omer Asik,C,25.0,CHI,66.0,2.0,971.0,13.4,0.509,0.0,0.66,14.9,25.1,20.1,4.8,1.7,5.0,25.2,12.6,,0.1,2.5,2.6,0.129,,-3.3,4.4,1.1,0.8,79.0,156.0,0.506,0.0,0.0,,79.0,156.0,0.506,0.506,47.0,103.0,0.456,127.0,223.0,350.0,32.0,30.0,68.0,68.0,121.0,205.0
21183,21183,2012.0,Carlos Boozer,PF,30.0,CHI,66.0,66.0,1948.0,19.7,0.5489999999999999,0.001,0.163,6.7,25.3,16.1,11.8,1.7,0.9,11.3,23.8,,3.3,4.3,7.6,0.187,,0.3,1.7,2.0,2.0,448.0,842.0,0.532,0.0,1.0,0.0,448.0,841.0,0.5329999999999999,0.532,95.0,137.0,0.693,114.0,450.0,564.0,125.0,63.0,24.0,115.0,168.0,991.0
21190,21190,2012.0,Ronnie Brewer,SG,26.0,CHI,66.0,43.0,1635.0,12.3,0.465,0.155,0.225,5.0,10.6,7.9,12.7,2.4,0.9,10.8,15.3,,1.0,2.9,3.9,0.113,,-1.0,2.3,1.2,1.3,190.0,445.0,0.42700000000000005,19.0,69.0,0.275,171.0,376.0,0.455,0.44799999999999995,56.0,100.0,0.56,72.0,159.0,231.0,137.0,72.0,21.0,59.0,64.0,455.0
21200,21200,2012.0,Jimmy Butler,SG,22.0,CHI,42.0,0.0,359.0,12.5,0.526,0.139,0.7090000000000001,7.3,10.1,8.7,5.7,1.6,1.0,11.9,14.9,,0.5,0.6,1.1,0.14400000000000002,,-1.7,0.4,-1.3,0.1,32.0,79.0,0.405,2.0,11.0,0.182,30.0,68.0,0.441,0.418,43.0,56.0,0.768,23.0,33.0,56.0,14.0,11.0,5.0,14.0,20.0,109.0
21247,21247,2012.0,Luol Deng,SF,26.0,CHI,54.0,54.0,2129.0,14.1,0.5,0.285,0.21899999999999997,4.1,14.0,9.2,11.7,1.4,1.2,10.4,19.8,,2.3,3.6,5.8,0.132,,0.5,1.6,2.1,2.2,311.0,755.0,0.41200000000000003,79.0,215.0,0.36700000000000005,232.0,540.0,0.43,0.46399999999999997,127.0,165.0,0.77,77.0,273.0,350.0,157.0,56.0,36.0,96.0,81.0,828.0
21315,21315,2012.0,Taj Gibson,PF,26.0,CHI,63.0,0.0,1284.0,16.9,0.522,0.0,0.33399999999999996,12.0,16.8,14.4,5.9,1.1,4.5,11.5,18.6,,1.8,2.6,4.5,0.16699999999999998,,-1.1,2.3,1.2,1.0,200.0,404.0,0.495,0.0,0.0,,200.0,404.0,0.495,0.495,84.0,135.0,0.622,135.0,197.0,332.0,47.0,27.0,81.0,60.0,131.0,484.0
21335,21335,2012.0,Richard Hamilton,SG,33.0,CHI,28.0,28.0,697.0,13.2,0.5,0.14800000000000002,0.11900000000000001,3.3,7.2,5.3,21.0,0.9,0.1,13.1,24.5,,0.5,0.8,1.3,0.092,,-0.4,-1.7,-2.1,0.0,140.0,310.0,0.452,17.0,46.0,0.37,123.0,264.0,0.466,0.479,29.0,37.0,0.784,20.0,46.0,66.0,84.0,12.0,1.0,49.0,56.0,326.0
21396,21396,2012.0,Mike James,PG,36.0,CHI,11.0,0.0,120.0,13.7,0.505,0.204,0.163,1.9,7.3,4.6,39.8,1.8,1.2,21.0,25.3,,0.1,0.2,0.3,0.111,,-0.9,-1.9,-2.9,0.0,20.0,49.0,0.408,6.0,10.0,0.6,14.0,39.0,0.359,0.469,7.0,8.0,0.875,2.0,8.0,10.0,29.0,4.0,2.0,14.0,20.0,53.0
21437,21437,2012.0,Kyle Korver,SG,30.0,CHI,65.0,7.0,1469.0,13.6,0.6,0.6579999999999999,0.16,2.0,9.9,6.0,11.7,1.3,0.7,10.7,15.3,,3.1,2.1,5.3,0.172,,2.5,0.0,2.5,1.7,178.0,412.0,0.43200000000000005,118.0,271.0,0.435,60.0,141.0,0.426,0.575,55.0,66.0,0.833,26.0,133.0,159.0,112.0,36.0,15.0,53.0,110.0,529.0
21455,21455,2012.0,John Lucas,PG,29.0,CHI,49.0,2.0,726.0,16.3,0.496,0.391,0.08900000000000001,3.4,8.1,5.8,25.8,1.4,0.1,10.1,26.0,,1.2,1.0,2.2,0.14300000000000002,,2.3,-2.1,0.2,0.4,143.0,358.0,0.39899999999999997,55.0,140.0,0.39299999999999996,88.0,218.0,0.40399999999999997,0.47600000000000003,28.0,32.0,0.875,22.0,54.0,76.0,108.0,19.0,1.0,42.0,42.0,369.0
