,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
3075,3075,1971.0,Cliff Anderson,SG,26.0,CLE,23.0,,171.0,13.2,0.46299999999999997,,1.0170000000000001,,,10.4,12.9,,,,,,0.0,0.1,0.1,0.022000000000000002,,,,,,19.0,59.0,0.322,,,,19.0,59.0,0.322,0.322,41.0,60.0,0.6829999999999999,,,37.0,16.0,,,,22.0,79.0
3104,3104,1971.0,Len Chappell,F-C,30.0,CLE,6.0,,86.0,11.4,0.46399999999999997,,0.368,,,10.1,1.8,,,,,,0.0,0.0,0.0,0.013999999999999999,,,,,,15.0,38.0,0.395,,,,15.0,38.0,0.395,0.395,11.0,14.0,0.7859999999999999,,,18.0,1.0,,,,9.0,41.0
3110,3110,1971.0,Joe Cooke,SG,22.0,CLE,73.0,,725.0,10.4,0.431,,0.17300000000000001,,,7.6,19.6,,,,,,-0.6,0.2,-0.4,-0.025,,,,,,134.0,341.0,0.39299999999999996,,,,134.0,341.0,0.39299999999999996,0.39299999999999996,48.0,59.0,0.8140000000000001,,,114.0,93.0,,,,135.0,316.0
3130,3130,1971.0,Johnny Egan,PG,32.0,CLE,26.0,,410.0,9.4,0.47600000000000003,,0.28600000000000003,,,3.8,19.1,,,,,,0.1,0.1,0.3,0.03,,,,,,40.0,98.0,0.408,,,,40.0,98.0,0.408,0.408,25.0,28.0,0.893,,,32.0,58.0,,,,31.0,105.0
3147,3147,1971.0,Gary Freeman,SF,22.0,CLE,11.0,,47.0,12.3,0.5820000000000001,,0.16699999999999998,,,8.2,12.3,,,,,,0.1,0.0,0.1,0.10800000000000001,,,,,,7.0,12.0,0.583,,,,7.0,12.0,0.583,0.583,1.0,2.0,0.5,,,8.0,4.0,,,,4.0,15.0
3187,3187,1971.0,John Johnson,SF,23.0,CLE,67.0,,2310.0,15.4,0.47700000000000004,,0.289,,,9.5,21.5,,,,,,1.2,0.9,2.1,0.044000000000000004,,,,,,435.0,1032.0,0.42200000000000004,,,,435.0,1032.0,0.42200000000000004,0.42200000000000004,240.0,298.0,0.805,,,453.0,323.0,,,,251.0,1110.0
3203,3203,1971.0,Bobby Lewis,SG,25.0,CLE,79.0,,1852.0,8.2,0.424,,0.314,,,5.4,17.8,,,,,,-1.0,0.6,-0.4,-0.012,,,,,,179.0,484.0,0.37,,,,179.0,484.0,0.37,0.37,109.0,152.0,0.7170000000000001,,,206.0,244.0,,,,176.0,467.0
3219,3219,1971.0,McCoy McLemore,SF,28.0,CLE,58.0,,1839.0,12.5,0.452,,0.336,,,12.1,13.7,,,,,,-0.4,0.7,0.4,0.01,,,,,,254.0,654.0,0.38799999999999996,,,,254.0,654.0,0.38799999999999996,0.38799999999999996,170.0,220.0,0.773,,,463.0,176.0,,,,169.0,678.0
3223,3223,1971.0,Larry Mikan,SF,22.0,CLE,53.0,,536.0,8.4,0.376,,0.29600000000000004,,,12.5,10.6,,,,,,-1.0,0.2,-0.8,-0.073,,,,,,62.0,186.0,0.33299999999999996,,,,62.0,186.0,0.33299999999999996,0.33299999999999996,34.0,55.0,0.618,,,139.0,41.0,,,,56.0,158.0
3244,3244,1971.0,Luther Rackley,C,24.0,CLE,74.0,,1434.0,12.5,0.505,,0.40399999999999997,,,13.3,6.7,,,,,,1.4,0.5,1.9,0.063,,,,,,219.0,470.0,0.466,,,,219.0,470.0,0.466,0.466,121.0,190.0,0.637,,,394.0,66.0,,,,186.0,559.0
