,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
6451,6451,1982.0,Mark Aguirre,SF,22.0,DAL,51.0,20.0,1468.0,17.3,0.514,0.087,0.301,6.7,12.9,9.7,18.6,1.2,0.9,12.7,29.8,,1.0,0.8,1.9,0.061,,1.8,-1.7,0.1,0.8,381.0,820.0,0.465,25.0,71.0,0.35200000000000004,356.0,749.0,0.475,0.48,168.0,247.0,0.68,89.0,160.0,249.0,164.0,37.0,22.0,135.0,152.0,955.0
6469,6469,1982.0,Rolando Blackman,SG,22.0,DAL,82.0,16.0,1979.0,16.2,0.5589999999999999,0.005,0.32299999999999995,5.4,9.4,7.3,8.3,1.1,0.9,10.4,22.7,,3.2,0.8,4.1,0.098,,0.6,-2.2,-1.6,0.2,439.0,855.0,0.513,1.0,4.0,0.25,438.0,851.0,0.515,0.514,212.0,276.0,0.768,97.0,157.0,254.0,105.0,46.0,30.0,113.0,122.0,1091.0
6481,6481,1982.0,Allan Bristow,SF,30.0,DAL,82.0,54.0,2035.0,12.6,0.502,0.036000000000000004,0.32899999999999996,6.5,12.8,9.5,29.3,1.6,0.2,22.4,14.9,,1.3,1.2,2.5,0.059000000000000004,,-0.5,-0.1,-0.6,0.7,218.0,499.0,0.43700000000000006,3.0,18.0,0.16699999999999998,215.0,481.0,0.447,0.44,134.0,164.0,0.8170000000000001,119.0,220.0,339.0,448.0,65.0,6.0,165.0,222.0,573.0
6511,6511,1982.0,Wayne Cooper,C,25.0,DAL,76.0,38.0,1818.0,13.8,0.461,0.012,0.239,12.1,22.8,17.3,9.0,1.0,3.4,10.6,18.7,,0.9,1.9,2.9,0.076,,-1.6,1.1,-0.6,0.7,281.0,669.0,0.42,1.0,8.0,0.125,280.0,661.0,0.424,0.42100000000000004,119.0,160.0,0.7440000000000001,200.0,350.0,550.0,115.0,37.0,106.0,88.0,285.0,682.0
6522,6522,1982.0,Brad Davis,PG,26.0,DAL,82.0,82.0,2614.0,14.5,0.569,0.064,0.298,1.5,8.6,4.9,27.5,1.4,0.1,15.4,16.2,,4.4,1.0,5.4,0.1,,1.0,-1.8,-0.8,0.8,397.0,771.0,0.515,14.0,49.0,0.28600000000000003,383.0,722.0,0.53,0.524,185.0,230.0,0.804,35.0,191.0,226.0,509.0,73.0,6.0,159.0,218.0,993.0
6630,6630,1982.0,Clarence Kea,PF,22.0,DAL,35.0,0.0,248.0,11.0,0.6,0.0,0.857,11.6,16.7,14.0,7.5,0.8,0.7,19.2,13.9,,0.4,0.1,0.5,0.09699999999999999,,-1.3,-1.1,-2.4,0.0,26.0,49.0,0.531,0.0,0.0,,26.0,49.0,0.531,0.531,29.0,42.0,0.69,26.0,35.0,61.0,14.0,4.0,3.0,16.0,55.0,81.0
6647,6647,1982.0,Tom LaGarde,C,26.0,DAL,47.0,28.0,909.0,7.6,0.456,0.006999999999999999,0.617,7.7,19.1,13.2,7.3,0.9,1.1,19.3,19.2,,-1.2,0.7,-0.5,-0.027999999999999997,,-4.9,-0.8,-5.7,-0.9,113.0,269.0,0.42,0.0,2.0,0.0,113.0,267.0,0.423,0.42,86.0,166.0,0.518,63.0,147.0,210.0,49.0,17.0,17.0,82.0,138.0,312.0
6663,6663,1982.0,Scott Lloyd,PF,29.0,DAL,74.0,17.0,1047.0,5.9,0.441,0.013999999999999999,0.319,6.3,11.6,8.9,8.5,0.7,0.4,15.4,15.1,,-0.5,0.4,-0.1,-0.004,,-4.1,-1.4,-5.5,-0.9,108.0,285.0,0.379,2.0,4.0,0.5,106.0,281.0,0.377,0.382,69.0,91.0,0.758,60.0,103.0,163.0,67.0,15.0,7.0,59.0,175.0,287.0
6668,6668,1982.0,Ollie Mack,SG,24.0,DAL,13.0,3.0,150.0,7.9,0.35200000000000004,0.034,0.136,5.9,7.9,6.9,12.7,1.6,0.4,6.0,18.3,,-0.1,0.1,-0.1,-0.026000000000000002,,-4.1,-1.9,-6.0,-0.2,19.0,59.0,0.322,0.0,2.0,0.0,19.0,57.0,0.33299999999999996,0.322,6.0,8.0,0.75,8.0,10.0,18.0,14.0,5.0,1.0,4.0,6.0,44.0
6703,6703,1982.0,Kurt Nimphius,C,23.0,DAL,63.0,27.0,1085.0,12.0,0.489,0.0,0.364,9.4,22.1,15.5,7.7,0.8,4.4,14.0,15.2,,0.3,1.2,1.5,0.067,,-2.9,1.6,-1.3,0.2,137.0,297.0,0.461,0.0,0.0,,137.0,297.0,0.461,0.461,63.0,108.0,0.583,92.0,203.0,295.0,61.0,17.0,82.0,56.0,190.0,337.0
6761,6761,1982.0,Jim Spanarkel,SG,24.0,DAL,82.0,1.0,1755.0,17.2,0.584,0.043,0.58,6.2,7.5,6.8,16.6,2.4,0.3,13.6,19.2,,4.1,1.1,5.2,0.142,,2.1,-0.7,1.4,1.5,270.0,564.0,0.479,8.0,24.0,0.33299999999999996,262.0,540.0,0.485,0.486,279.0,327.0,0.853,99.0,111.0,210.0,206.0,86.0,9.0,111.0,140.0,827.0
6777,6777,1982.0,Elston Turner,SF,22.0,DAL,80.0,62.0,1996.0,10.7,0.47200000000000003,0.006,0.21600000000000003,7.9,9.4,8.6,13.2,1.8,0.1,14.2,16.8,,0.3,1.0,1.4,0.033,,-1.1,-0.2,-1.4,0.3,282.0,639.0,0.441,0.0,4.0,0.0,282.0,635.0,0.444,0.441,97.0,138.0,0.703,143.0,158.0,301.0,189.0,75.0,2.0,116.0,182.0,661.0
6783,6783,1982.0,Jay Vincent,PF,22.0,DAL,81.0,62.0,2626.0,18.7,0.532,0.003,0.282,7.7,17.3,12.3,11.5,1.7,0.5,10.6,28.6,,3.6,2.0,5.6,0.102,,1.7,-1.4,0.3,1.5,719.0,1448.0,0.49700000000000005,1.0,4.0,0.25,718.0,1444.0,0.49700000000000005,0.49700000000000005,293.0,409.0,0.716,182.0,383.0,565.0,176.0,89.0,22.0,194.0,308.0,1732.0
