,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
8308,8308,1987.0,Mark Alarie,PF,23.0,DEN,64.0,25.0,1110.0,12.5,0.516,0.02,0.228,6.5,14.2,10.1,8.9,0.9,1.4,10.3,18.8,,0.7,0.7,1.5,0.064,,-2.1,-1.5,-3.6,-0.4,217.0,443.0,0.49,2.0,9.0,0.222,215.0,434.0,0.495,0.49200000000000005,67.0,101.0,0.6629999999999999,73.0,141.0,214.0,74.0,22.0,28.0,56.0,138.0,503.0
8360,8360,1987.0,Wayne Cooper,C,30.0,DEN,69.0,64.0,1561.0,11.3,0.48,0.006,0.20800000000000002,10.2,22.3,15.9,5.5,0.4,3.7,12.0,16.0,,0.4,1.6,2.0,0.06,,-3.6,0.2,-3.4,-0.5,235.0,524.0,0.44799999999999995,0.0,3.0,0.0,235.0,521.0,0.451,0.44799999999999995,79.0,109.0,0.725,162.0,311.0,473.0,68.0,13.0,101.0,78.0,257.0,549.0
8390,8390,1987.0,T.R. Dunn,SG,31.0,DEN,81.0,53.0,1932.0,7.8,0.45299999999999996,0.006999999999999999,0.19899999999999998,4.6,10.1,7.2,8.6,2.3,0.6,9.9,6.6,,0.9,1.5,2.4,0.06,,-2.6,1.8,-0.8,0.6,118.0,276.0,0.428,0.0,2.0,0.0,118.0,274.0,0.431,0.428,36.0,55.0,0.655,91.0,174.0,265.0,147.0,100.0,21.0,33.0,160.0,272.0
8401,8401,1987.0,Alex English*,SF,33.0,DEN,82.0,82.0,3085.0,20.5,0.5489999999999999,0.008,0.254,4.7,7.2,5.8,21.6,1.1,0.4,9.1,29.2,,7.0,1.1,8.1,0.126,,3.8,-2.8,1.0,2.3,965.0,1920.0,0.503,4.0,15.0,0.267,961.0,1905.0,0.504,0.504,411.0,487.0,0.8440000000000001,146.0,198.0,344.0,422.0,73.0,21.0,214.0,216.0,2345.0
8403,8403,1987.0,Mike Evans,SG,31.0,DEN,81.0,4.0,1567.0,13.6,0.522,0.23199999999999998,0.16899999999999998,2.3,6.6,4.3,16.1,2.3,0.4,12.0,21.8,,0.8,1.0,1.9,0.057,,-0.2,-2.3,-2.6,-0.2,334.0,729.0,0.45799999999999996,53.0,169.0,0.314,281.0,560.0,0.502,0.495,96.0,123.0,0.78,36.0,92.0,128.0,185.0,79.0,12.0,107.0,149.0,817.0
8427,8427,1987.0,Bill Hanzlik,PF,29.0,DEN,73.0,10.0,1990.0,13.9,0.516,0.107,0.539,3.9,10.0,6.7,17.8,2.0,0.8,12.5,20.4,,2.1,1.5,3.5,0.085,,-0.2,-0.9,-1.1,0.5,307.0,746.0,0.41200000000000003,22.0,80.0,0.275,285.0,666.0,0.428,0.426,316.0,402.0,0.7859999999999999,79.0,177.0,256.0,280.0,87.0,28.0,132.0,245.0,952.0
8484,8484,1987.0,Fat Lever,PG,26.0,DEN,82.0,82.0,3054.0,20.8,0.515,0.067,0.228,7.0,18.8,12.5,29.1,3.0,0.6,10.0,21.1,,6.0,3.8,9.7,0.153,,3.6,2.0,5.6,5.9,643.0,1370.0,0.469,22.0,92.0,0.239,621.0,1278.0,0.486,0.47700000000000004,244.0,312.0,0.782,216.0,513.0,729.0,654.0,201.0,34.0,167.0,219.0,1552.0
8499,8499,1987.0,Maurice Martin,SF,22.0,DEN,43.0,0.0,286.0,9.4,0.44799999999999995,0.111,0.489,4.1,11.4,7.5,15.9,2.1,1.2,16.7,26.5,,-0.5,0.2,-0.2,-0.042,,-4.8,-2.1,-6.9,-0.4,51.0,135.0,0.37799999999999995,3.0,15.0,0.2,48.0,120.0,0.4,0.389,42.0,66.0,0.636,12.0,29.0,41.0,35.0,13.0,6.0,33.0,48.0,147.0
8530,8530,1987.0,Calvin Natt,PF,30.0,DEN,1.0,1.0,20.0,15.2,0.46,0.0,0.2,9.9,16.8,13.1,13.4,2.3,0.0,8.4,22.8,,0.0,0.0,0.0,0.076,,-1.8,-1.8,-3.6,0.0,4.0,10.0,0.4,0.0,0.0,,4.0,10.0,0.4,0.4,2.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,0.0,1.0,2.0,10.0
8562,8562,1987.0,Blair Rasmussen,C,24.0,DEN,74.0,23.0,1421.0,15.5,0.525,0.0,0.405,12.7,22.2,17.2,5.6,0.8,2.3,10.5,20.3,,1.9,1.4,3.3,0.111,,-1.6,-1.5,-3.0,-0.4,268.0,570.0,0.47,0.0,0.0,,268.0,570.0,0.47,0.47,169.0,231.0,0.732,183.0,282.0,465.0,60.0,24.0,58.0,79.0,224.0,705.0
8580,8580,1987.0,Danny Schayes,C,27.0,DEN,76.0,41.0,1556.0,13.4,0.607,0.0,0.726,7.6,18.7,12.8,6.7,0.6,2.7,15.1,15.5,,2.6,1.3,3.9,0.121,,-1.5,-0.1,-1.6,0.1,210.0,405.0,0.519,0.0,0.0,,210.0,405.0,0.519,0.519,229.0,294.0,0.779,120.0,260.0,380.0,85.0,20.0,74.0,95.0,266.0,649.0
8596,8596,1987.0,Otis Smith,SG,23.0,DEN,28.0,0.0,168.0,8.1,0.442,0.025,0.266,10.0,11.3,10.6,17.5,0.3,0.3,17.7,24.5,,-0.2,0.1,-0.2,-0.053,,-4.2,-3.3,-7.5,-0.2,33.0,79.0,0.418,0.0,2.0,0.0,33.0,77.0,0.429,0.418,12.0,21.0,0.5710000000000001,17.0,17.0,34.0,22.0,1.0,1.0,19.0,30.0,78.0
8638,8638,1987.0,Darrell Walker,PG,25.0,DEN,81.0,25.0,2020.0,15.8,0.547,0.005,0.49200000000000005,7.7,9.4,8.5,18.1,2.7,1.0,17.2,20.7,,2.0,1.8,3.8,0.09,,0.4,0.3,0.7,1.4,358.0,742.0,0.48200000000000004,0.0,4.0,0.0,358.0,738.0,0.485,0.48200000000000004,272.0,365.0,0.745,157.0,170.0,327.0,282.0,120.0,37.0,187.0,229.0,988.0
8661,8661,1987.0,Pete Williams,PF,21.0,DEN,5.0,0.0,10.0,2.2,0.5,0.0,0.0,0.0,11.2,5.2,11.8,0.0,0.0,33.3,11.5,,0.0,0.0,0.0,-0.07200000000000001,,-8.1,-2.7,-10.8,0.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
