,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1599,1599,1961.0,Archie Dees,C,24.0,DET,28.0,,308.0,12.9,0.466,,0.348,,,,,,,,,,0.3,0.1,0.4,0.062,,,,,,53.0,135.0,0.39299999999999996,,,,53.0,135.0,0.39299999999999996,0.39299999999999996,39.0,47.0,0.83,,,94.0,17.0,,,,50.0,145.0
1600,1600,1961.0,Walter Dukes,C,30.0,DET,73.0,,2044.0,16.3,0.484,,0.5670000000000001,,,,,,,,,,2.4,1.4,3.7,0.08800000000000001,,,,,,286.0,706.0,0.405,,,,286.0,706.0,0.405,0.405,281.0,400.0,0.703,,,1028.0,139.0,,,,313.0,853.0
1607,1607,1961.0,Bob Ferry,C,23.0,DET,79.0,,1657.0,16.5,0.5,,0.32899999999999996,,,,,,,,,,3.1,0.8,3.9,0.113,,,,,,350.0,776.0,0.451,,,,350.0,776.0,0.451,0.451,189.0,255.0,0.741,,,500.0,129.0,,,,205.0,889.0
1624,1624,1961.0,Bailey Howell*,PF,24.0,DET,77.0,,2952.0,21.2,0.552,,0.617,,,,,,,,,,10.1,1.6,11.7,0.19,,,,,,607.0,1293.0,0.469,,,,607.0,1293.0,0.469,0.469,601.0,798.0,0.753,,,1111.0,196.0,,,,297.0,1815.0
1629,1629,1961.0,Ron Johnson,F,22.0,DET,6.0,,60.0,11.0,0.429,,0.467,,,,,,,,,,0.0,0.0,0.0,0.005,,,,,,11.0,30.0,0.36700000000000005,,,,11.0,30.0,0.36700000000000005,0.36700000000000005,9.0,14.0,0.643,,,14.0,1.0,,,,6.0,31.0
1634,1634,1961.0,Willie Jones,PG,24.0,DET,35.0,,452.0,10.0,0.402,,0.292,,,,,,,,,,-0.3,0.2,-0.1,-0.013000000000000001,,,,,,78.0,216.0,0.361,,,,78.0,216.0,0.361,0.361,40.0,63.0,0.635,,,94.0,63.0,,,,90.0,196.0
1643,1643,1961.0,George Lee,SF,24.0,DET,74.0,,1735.0,14.6,0.47200000000000003,,0.508,,,,,,,,,,1.8,0.8,2.6,0.073,,,,,,310.0,776.0,0.39899999999999997,,,,310.0,776.0,0.39899999999999997,0.39899999999999997,276.0,394.0,0.701,,,490.0,89.0,,,,158.0,896.0
1648,1648,1961.0,Shellie McMillon,SF,24.0,DET,78.0,,1636.0,13.3,0.466,,0.267,,,,,,,,,,1.4,0.8,2.2,0.063,,,,,,322.0,752.0,0.428,,,,322.0,752.0,0.428,0.428,140.0,201.0,0.6970000000000001,,,487.0,98.0,,,,238.0,784.0
1650,1650,1961.0,Jackie Moreland,PF,22.0,DET,64.0,,1003.0,11.7,0.43700000000000006,,0.27699999999999997,,,,,,,,,,0.1,0.5,0.5,0.026000000000000002,,,,,,191.0,477.0,0.4,,,,191.0,477.0,0.4,0.4,86.0,132.0,0.652,,,315.0,52.0,,,,174.0,468.0
1652,1652,1961.0,Chuck Noble,SG,29.0,DET,75.0,,1655.0,8.1,0.384,,0.203,,,,,,,,,,-1.2,0.7,-0.5,-0.013999999999999999,,,,,,196.0,566.0,0.34600000000000003,,,,196.0,566.0,0.34600000000000003,0.34600000000000003,82.0,115.0,0.713,,,180.0,287.0,,,,195.0,474.0
1653,1653,1961.0,Don Ohl,SG,24.0,DET,79.0,,2172.0,11.7,0.43700000000000006,,0.256,,,,,,,,,,0.4,0.8,1.2,0.026000000000000002,,,,,,427.0,1085.0,0.39399999999999996,,,,427.0,1085.0,0.39399999999999996,0.39399999999999996,200.0,278.0,0.7190000000000001,,,256.0,265.0,,,,224.0,1054.0
1675,1675,1961.0,Gene Shue,PG,29.0,DET,78.0,,3361.0,15.9,0.495,,0.35100000000000003,,,,,,,,,,6.2,1.4,7.6,0.10800000000000001,,,,,,650.0,1545.0,0.42100000000000004,,,,650.0,1545.0,0.42100000000000004,0.42100000000000004,465.0,543.0,0.856,,,334.0,530.0,,,,207.0,1765.0
