,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
12310,12310,1996.0,B.J. Armstrong,PG,28.0,GSW,82.0,64.0,2262.0,17.3,0.595,0.285,0.384,1.1,8.3,4.7,28.4,1.5,0.2,13.1,18.8,,6.2,0.8,7.0,0.149,,2.8,-2.7,0.1,1.2,340.0,727.0,0.46799999999999997,98.0,207.0,0.473,242.0,520.0,0.465,0.535,234.0,279.0,0.8390000000000001,22.0,162.0,184.0,401.0,68.0,6.0,128.0,147.0,1012.0
12321,12321,1996.0,Jon Barry,SG,26.0,GSW,68.0,0.0,712.0,14.9,0.638,0.503,0.2,2.7,7.5,5.1,18.5,2.4,1.1,17.3,14.9,,1.4,0.4,1.8,0.122,,1.5,-1.3,0.1,0.4,91.0,185.0,0.49200000000000005,44.0,93.0,0.473,47.0,92.0,0.511,0.611,31.0,37.0,0.838,17.0,46.0,63.0,85.0,33.0,11.0,42.0,51.0,257.0
12373,12373,1996.0,Robert Churchwell,SG,23.0,GSW,4.0,0.0,20.0,1.2,0.375,0.0,0.0,0.0,17.4,8.6,8.0,0.0,0.0,20.0,21.8,,-0.1,0.0,-0.1,-0.166,,-11.2,-3.7,-14.9,-0.1,3.0,8.0,0.375,0.0,0.0,,3.0,8.0,0.375,0.375,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,6.0
12379,12379,1996.0,Bimbo Coles,PG,27.0,GSW,29.0,3.0,733.0,10.9,0.486,0.376,0.174,1.7,7.6,4.6,26.3,2.2,0.5,17.0,16.8,,0.3,0.4,0.7,0.047,,-0.7,-1.7,-2.5,-0.1,87.0,218.0,0.39899999999999997,25.0,82.0,0.305,62.0,136.0,0.456,0.456,29.0,38.0,0.763,11.0,48.0,59.0,126.0,31.0,5.0,48.0,78.0,228.0
12403,12403,1996.0,Andrew DeClercq,C,22.0,GSW,22.0,1.0,203.0,12.1,0.505,0.02,0.38,10.1,12.0,11.1,6.8,1.8,1.8,6.4,13.4,,0.3,0.1,0.4,0.102,,-1.1,-0.2,-1.3,0.0,24.0,50.0,0.48,0.0,1.0,0.0,24.0,49.0,0.49,0.48,11.0,19.0,0.579,18.0,21.0,39.0,9.0,7.0,5.0,4.0,30.0,59.0
12450,12450,1996.0,Chris Gatling,PF,28.0,GSW,47.0,2.0,862.0,17.0,0.5820000000000001,0.003,0.429,10.3,22.1,16.2,5.2,1.1,2.4,14.1,21.5,,1.2,0.9,2.1,0.114,,-1.4,-1.3,-2.7,-0.1,171.0,308.0,0.555,0.0,1.0,0.0,171.0,307.0,0.557,0.555,84.0,132.0,0.636,78.0,164.0,242.0,26.0,19.0,29.0,60.0,135.0,426.0
12483,12483,1996.0,Geert Hammink,C,26.0,GSW,3.0,0.0,10.0,11.4,0.602,0.0,1.5,0.0,11.6,5.8,0.0,0.0,0.0,0.0,14.5,,0.0,0.0,0.0,0.134,,-3.6,-5.9,-9.5,0.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,2.0,3.0,0.667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
12488,12488,1996.0,Tim Hardaway,PG,29.0,GSW,52.0,18.0,1487.0,18.5,0.536,0.38299999999999995,0.3,1.7,8.5,5.1,40.2,2.6,0.5,15.4,23.8,,3.0,1.0,3.9,0.127,,3.7,-2.2,1.5,1.3,255.0,606.0,0.42100000000000004,85.0,232.0,0.366,170.0,374.0,0.455,0.491,140.0,182.0,0.769,22.0,109.0,131.0,360.0,74.0,11.0,125.0,131.0,735.0
12534,12534,1996.0,Jerome Kersey,SF,33.0,GSW,76.0,58.0,1620.0,13.1,0.452,0.034,0.294,10.8,15.0,12.9,10.9,2.9,2.0,11.7,17.2,,0.6,1.8,2.4,0.071,,-1.4,1.8,0.4,1.0,205.0,500.0,0.41,3.0,17.0,0.17600000000000002,202.0,483.0,0.418,0.413,97.0,147.0,0.66,154.0,209.0,363.0,114.0,91.0,45.0,75.0,205.0,510.0
12578,12578,1996.0,Donyell Marshall,SF,22.0,GSW,62.0,6.0,934.0,12.7,0.488,0.299,0.264,7.9,18.4,13.1,8.2,1.2,2.4,12.0,18.6,,0.5,0.8,1.3,0.065,,-1.9,-0.6,-2.5,-0.1,125.0,314.0,0.39799999999999996,28.0,94.0,0.298,97.0,220.0,0.441,0.44299999999999995,64.0,83.0,0.7709999999999999,65.0,148.0,213.0,49.0,22.0,31.0,48.0,83.0,342.0
