,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
4097,4097,1975.0,Zaid Abdul-Aziz,C,28.0,HOU,65.0,,1450.0,17.1,0.501,,0.377,11.8,25.8,18.8,8.2,1.2,2.8,,,,1.9,1.8,3.7,0.124,,-1.1,0.2,-0.9,0.4,235.0,538.0,0.43700000000000006,,,,235.0,538.0,0.43700000000000006,0.43700000000000006,159.0,203.0,0.7829999999999999,154.0,334.0,488.0,84.0,37.0,74.0,,128.0,629.0
4111,4111,1975.0,Gus Bailey,SG,23.0,HOU,47.0,,446.0,11.4,0.423,,0.325,5.7,14.8,10.3,17.5,1.8,2.0,,,,-0.3,0.4,0.2,0.017,,-3.4,0.5,-2.9,-0.1,51.0,126.0,0.405,,,,51.0,126.0,0.405,0.405,20.0,41.0,0.488,23.0,59.0,82.0,59.0,17.0,16.0,,52.0,122.0
4205,4205,1975.0,Steve Hawes,C,24.0,HOU,55.0,,897.0,16.7,0.536,,0.19699999999999998,9.9,24.4,17.1,13.7,1.9,2.2,,,,1.3,1.2,2.5,0.132,,-0.1,1.7,1.6,0.8,140.0,279.0,0.502,,,,140.0,279.0,0.502,0.502,45.0,55.0,0.818,80.0,195.0,275.0,88.0,36.0,36.0,,99.0,325.0
4237,4237,1975.0,Kevin Kunnert,C,23.0,HOU,75.0,,1801.0,17.7,0.5379999999999999,,0.25,13.2,25.9,19.6,8.8,0.9,2.6,,,,3.0,2.1,5.1,0.136,,0.5,0.1,0.6,1.2,346.0,676.0,0.512,,,,346.0,676.0,0.512,0.512,116.0,169.0,0.6859999999999999,214.0,417.0,631.0,108.0,34.0,84.0,,223.0,808.0
4261,4261,1975.0,Cliff Meely,PF,27.0,HOU,48.0,,753.0,14.7,0.48700000000000004,,0.26899999999999996,8.1,16.2,12.2,9.0,1.3,1.5,,,,0.4,0.6,1.0,0.067,,-1.5,-2.0,-3.6,-0.3,156.0,349.0,0.447,,,,156.0,349.0,0.447,0.447,68.0,94.0,0.723,55.0,109.0,164.0,45.0,21.0,21.0,,117.0,380.0
4272,4272,1975.0,Calvin Murphy*,PG,26.0,HOU,78.0,,2513.0,18.9,0.55,,0.335,2.3,5.4,3.8,23.3,2.4,0.1,,,,6.0,1.4,7.4,0.141,,3.7,-2.1,1.6,2.3,557.0,1152.0,0.484,,,,557.0,1152.0,0.484,0.484,341.0,386.0,0.883,52.0,121.0,173.0,381.0,128.0,4.0,,281.0,1455.0
4276,4276,1975.0,Mike Newlin,SG,26.0,HOU,79.0,,2709.0,15.1,0.547,,0.337,2.3,8.5,5.4,20.9,1.9,0.1,,,,4.4,1.5,5.9,0.105,,1.5,-0.9,0.6,1.8,436.0,905.0,0.48200000000000004,,,,436.0,905.0,0.48200000000000004,0.48200000000000004,265.0,305.0,0.8690000000000001,55.0,205.0,260.0,403.0,111.0,7.0,,288.0,1137.0
4290,4290,1975.0,Ed Ratleff,SF,24.0,HOU,80.0,,2563.0,14.9,0.503,,0.223,8.0,12.0,10.0,14.1,2.7,1.1,,,,3.1,2.5,5.6,0.105,,0.6,1.5,2.2,2.7,392.0,851.0,0.461,,,,392.0,851.0,0.461,0.461,157.0,190.0,0.826,185.0,274.0,459.0,259.0,146.0,51.0,,231.0,941.0
4295,4295,1975.0,Ron Riley,PF,24.0,HOU,77.0,,1578.0,11.4,0.452,,0.20600000000000002,9.7,17.3,13.4,11.0,1.7,0.8,,,,0.2,1.4,1.6,0.048,,-2.2,0.4,-1.8,0.1,196.0,470.0,0.41700000000000004,,,,196.0,470.0,0.41700000000000004,0.41700000000000004,71.0,97.0,0.732,137.0,243.0,380.0,130.0,56.0,22.0,,197.0,463.0
4325,4325,1975.0,Rudy Tomjanovich,PF,26.0,HOU,81.0,,3134.0,17.8,0.565,,0.27699999999999997,6.5,15.3,10.9,11.6,1.1,0.4,,,,8.2,1.9,10.1,0.155,,2.6,-0.8,1.7,3.0,694.0,1323.0,0.525,,,,694.0,1323.0,0.525,0.525,289.0,366.0,0.79,184.0,429.0,613.0,236.0,76.0,24.0,,230.0,1677.0
4352,4352,1975.0,Owen Wells,SF,24.0,HOU,33.0,,214.0,12.9,0.451,,0.22,6.2,12.0,9.1,15.2,2.0,0.8,,,,-0.1,0.2,0.1,0.018000000000000002,,-2.1,-2.0,-4.1,-0.1,42.0,100.0,0.42,,,,42.0,100.0,0.42,0.42,15.0,22.0,0.682,12.0,23.0,35.0,22.0,9.0,3.0,,38.0,99.0
4372,4372,1975.0,Dave Wohl,PG,25.0,HOU,75.0,,1722.0,12.0,0.47700000000000004,,0.22899999999999998,1.7,5.6,3.6,26.2,2.0,0.3,,,,0.5,0.9,1.4,0.039,,-1.7,-1.9,-3.6,-0.7,203.0,462.0,0.439,,,,203.0,462.0,0.439,0.439,79.0,106.0,0.745,26.0,86.0,112.0,340.0,75.0,9.0,,184.0,485.0
