,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
8310,8310,1987.0,Ron Anderson,SF,28.0,IND,63.0,0.0,721.0,16.0,0.531,0.017,0.36700000000000005,10.9,12.0,11.4,11.1,2.1,0.3,13.9,22.9,,0.6,0.9,1.5,0.1,,-0.4,-0.7,-1.1,0.2,139.0,294.0,0.473,0.0,5.0,0.0,139.0,289.0,0.48100000000000004,0.473,85.0,108.0,0.787,73.0,78.0,151.0,54.0,31.0,3.0,55.0,65.0,363.0
8339,8339,1987.0,Michael Brooks,SF,28.0,IND,10.0,0.0,148.0,6.4,0.39899999999999997,0.0,0.27,6.5,14.3,10.3,9.5,3.0,0.0,21.0,14.8,,-0.2,0.2,0.0,-0.006999999999999999,,-5.5,1.7,-3.9,-0.1,13.0,37.0,0.35100000000000003,0.0,0.0,,13.0,37.0,0.35100000000000003,0.35100000000000003,7.0,10.0,0.7,9.0,19.0,28.0,11.0,9.0,0.0,11.0,19.0,33.0
8383,8383,1987.0,Greg Dreiling,C,24.0,IND,24.0,0.0,128.0,8.6,0.49700000000000005,0.0,0.324,10.1,27.0,18.4,7.4,0.8,0.9,14.2,16.1,,0.0,0.2,0.2,0.09300000000000001,,-4.2,-0.4,-4.6,-0.1,16.0,37.0,0.43200000000000005,0.0,0.0,,16.0,37.0,0.43200000000000005,0.43200000000000005,10.0,12.0,0.833,12.0,31.0,43.0,7.0,2.0,2.0,7.0,42.0,42.0
8409,8409,1987.0,Vern Fleming,PG,24.0,IND,82.0,82.0,2549.0,15.8,0.57,0.013999999999999999,0.415,4.6,9.8,7.2,25.7,2.1,0.4,16.3,16.8,,4.0,2.9,7.0,0.131,,1.2,0.7,1.9,2.5,370.0,727.0,0.509,2.0,10.0,0.2,368.0,717.0,0.513,0.51,238.0,302.0,0.7879999999999999,109.0,225.0,334.0,473.0,109.0,18.0,167.0,222.0,980.0
8419,8419,1987.0,Stuart Gray,C,23.0,IND,55.0,1.0,456.0,8.0,0.465,0.0,0.386,9.2,22.0,15.5,7.3,1.1,3.7,23.4,14.1,,-0.4,0.8,0.4,0.037000000000000005,,-5.8,2.3,-3.5,-0.2,41.0,101.0,0.406,0.0,0.0,,41.0,101.0,0.406,0.406,28.0,39.0,0.718,39.0,90.0,129.0,26.0,10.0,28.0,36.0,93.0,110.0
8470,8470,1987.0,Clark Kellogg,PF,25.0,IND,4.0,4.0,60.0,10.2,0.42100000000000004,0.091,0.182,12.5,7.4,10.0,13.6,4.0,0.0,14.4,19.3,,0.0,0.1,0.1,0.045,,-1.5,1.2,-0.3,0.0,8.0,22.0,0.364,1.0,2.0,0.5,7.0,20.0,0.35,0.386,3.0,4.0,0.75,7.0,4.0,11.0,6.0,5.0,0.0,4.0,12.0,20.0
8488,8488,1987.0,John Long,SG,30.0,IND,80.0,68.0,2265.0,13.8,0.47600000000000003,0.057,0.21,3.6,7.0,5.2,17.5,2.1,0.2,10.7,26.4,,-0.3,2.3,2.1,0.044000000000000004,,-1.1,-1.3,-2.4,-0.2,490.0,1170.0,0.419,19.0,67.0,0.284,471.0,1103.0,0.42700000000000005,0.42700000000000005,219.0,246.0,0.89,75.0,142.0,217.0,258.0,96.0,8.0,153.0,167.0,1218.0
8491,8491,1987.0,Kyle Macy,PG,29.0,IND,76.0,0.0,1250.0,11.7,0.524,0.135,0.12,2.1,7.8,4.9,21.4,2.3,0.3,13.9,13.9,,1.0,1.4,2.4,0.091,,-1.4,-0.3,-1.7,0.1,164.0,341.0,0.48100000000000004,14.0,46.0,0.304,150.0,295.0,0.508,0.501,34.0,41.0,0.8290000000000001,25.0,88.0,113.0,197.0,59.0,7.0,58.0,136.0,376.0
8548,8548,1987.0,Chuck Person,SF,22.0,IND,82.0,78.0,2956.0,15.6,0.518,0.102,0.21899999999999997,6.1,19.2,12.5,15.3,1.5,0.3,12.4,24.0,,1.5,3.9,5.4,0.08800000000000001,,0.5,0.6,1.1,2.3,635.0,1358.0,0.46799999999999997,49.0,138.0,0.355,586.0,1220.0,0.48,0.486,222.0,297.0,0.747,168.0,509.0,677.0,295.0,90.0,16.0,211.0,310.0,1541.0
8565,8565,1987.0,Clint Richardson,SG,30.0,IND,78.0,14.0,1396.0,12.8,0.501,0.036000000000000004,0.158,3.9,7.3,5.6,24.3,1.7,0.3,14.5,17.5,,0.7,1.3,2.1,0.071,,-1.3,-1.0,-2.3,-0.1,218.0,467.0,0.467,6.0,17.0,0.353,212.0,450.0,0.47100000000000003,0.473,59.0,74.0,0.797,51.0,92.0,143.0,241.0,49.0,7.0,85.0,106.0,501.0
