,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
11936,11936,1995.0,Terry Dehere,PG,23.0,LAC,80.0,28.0,1774.0,11.8,0.513,0.23800000000000002,0.426,2.2,8.3,5.0,20.7,1.3,0.3,16.2,23.8,,0.0,0.4,0.5,0.013000000000000001,,-1.5,-3.0,-4.6,-1.2,279.0,685.0,0.40700000000000003,48.0,163.0,0.294,231.0,522.0,0.44299999999999995,0.442,229.0,292.0,0.784,35.0,117.0,152.0,225.0,45.0,7.0,157.0,200.0,835.0
11967,11967,1995.0,Harold Ellis,SF,24.0,LAC,69.0,7.0,656.0,14.4,0.524,0.069,0.619,9.4,6.1,7.9,9.7,5.2,1.3,16.9,19.2,,0.1,0.8,0.9,0.066,,-1.2,1.7,0.5,0.4,91.0,189.0,0.48100000000000004,1.0,13.0,0.077,90.0,176.0,0.511,0.484,69.0,117.0,0.59,56.0,32.0,88.0,40.0,67.0,12.0,49.0,102.0,252.0
11974,11974,1995.0,Matt Fish,C,25.0,LAC,26.0,8.0,370.0,10.6,0.516,0.01,0.359,9.6,17.7,13.4,7.2,2.2,1.4,19.0,17.3,,-0.1,0.3,0.2,0.03,,-3.8,0.1,-3.7,-0.2,49.0,103.0,0.47600000000000003,0.0,1.0,0.0,49.0,102.0,0.48,0.47600000000000003,25.0,37.0,0.6759999999999999,32.0,52.0,84.0,17.0,16.0,7.0,28.0,70.0,123.0
11994,11994,1995.0,Gary Grant,PG,29.0,LAC,33.0,2.0,470.0,15.1,0.539,0.096,0.331,1.9,7.2,4.4,32.8,3.1,0.5,18.8,21.7,,0.3,0.3,0.6,0.065,,-1.1,-2.2,-3.3,-0.1,78.0,166.0,0.47,4.0,16.0,0.25,74.0,150.0,0.493,0.48200000000000004,45.0,55.0,0.818,8.0,27.0,35.0,93.0,29.0,3.0,44.0,66.0,205.0
12096,12096,1995.0,Bob Martin,C,25.0,LAC,1.0,0.0,14.0,3.3,0.2,0.0,0.0,15.8,0.0,8.4,10.2,0.0,5.2,0.0,15.5,,0.0,0.0,0.0,-0.107,,-6.3,-0.7,-7.1,0.0,1.0,5.0,0.2,0.0,0.0,,1.0,5.0,0.2,0.2,0.0,0.0,,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0
12100,12100,1995.0,Tony Massenburg,C,27.0,LAC,80.0,50.0,2127.0,11.7,0.526,0.005,0.391,8.3,17.5,12.6,4.9,1.1,2.0,14.3,16.8,,0.8,1.4,2.2,0.049,,-3.1,-0.3,-3.4,-0.8,282.0,601.0,0.469,0.0,3.0,0.0,282.0,598.0,0.47200000000000003,0.469,177.0,235.0,0.753,160.0,295.0,455.0,67.0,48.0,58.0,118.0,253.0,741.0
12126,12126,1995.0,Lamond Murray,SF,21.0,LAC,81.0,61.0,2556.0,11.6,0.47200000000000003,0.19899999999999998,0.242,5.7,10.9,8.1,8.7,1.4,1.6,11.9,23.4,,-1.4,1.1,-0.3,-0.006,,-2.4,-1.3,-3.8,-1.1,439.0,1093.0,0.402,65.0,218.0,0.298,374.0,875.0,0.42700000000000005,0.431,199.0,264.0,0.754,132.0,222.0,354.0,133.0,72.0,55.0,163.0,180.0,1142.0
12140,12140,1995.0,Bo Outlaw,PF,23.0,LAC,81.0,31.0,1655.0,13.3,0.519,0.015,0.5720000000000001,8.1,14.6,11.1,7.6,2.8,6.7,16.1,12.7,,0.3,2.2,2.5,0.071,,-2.8,4.8,2.0,1.7,170.0,325.0,0.523,0.0,5.0,0.0,170.0,320.0,0.531,0.523,82.0,186.0,0.441,121.0,192.0,313.0,84.0,90.0,151.0,78.0,227.0,422.0
12156,12156,1995.0,Eric Piatkowski,SG,24.0,LAC,81.0,11.0,1208.0,13.9,0.5589999999999999,0.434,0.252,5.8,7.3,6.5,10.6,1.6,0.9,11.1,20.5,,1.6,0.4,2.0,0.079,,1.2,-2.6,-1.4,0.2,201.0,456.0,0.441,74.0,198.0,0.374,127.0,258.0,0.49200000000000005,0.522,90.0,115.0,0.7829999999999999,63.0,70.0,133.0,77.0,37.0,15.0,63.0,150.0,566.0
12173,12173,1995.0,Pooh Richardson,PG,28.0,LAC,80.0,77.0,2864.0,12.6,0.45899999999999996,0.272,0.139,1.5,9.8,5.4,34.1,2.3,0.3,15.2,17.1,,0.6,1.5,2.1,0.036000000000000004,,-0.7,-1.3,-2.0,0.0,353.0,897.0,0.39399999999999996,87.0,244.0,0.35700000000000004,266.0,653.0,0.40700000000000003,0.442,81.0,125.0,0.648,38.0,223.0,261.0,632.0,129.0,12.0,171.0,218.0,874.0
12176,12176,1995.0,Eric Riley,C,24.0,LAC,40.0,4.0,434.0,14.7,0.511,0.006999999999999999,0.441,11.5,19.4,15.2,4.1,2.0,5.9,15.2,20.5,,0.0,0.5,0.6,0.063,,-4.3,1.0,-3.3,-0.1,65.0,145.0,0.44799999999999995,0.0,1.0,0.0,65.0,144.0,0.451,0.44799999999999995,47.0,64.0,0.7340000000000001,45.0,67.0,112.0,11.0,17.0,35.0,31.0,78.0,177.0
