,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1945,1945,1964.0,Dick Barnett,SG,27.0,LAL,78.0,,2620.0,15.7,0.513,,0.379,,,,,,,,,,5.3,1.2,6.5,0.11900000000000001,,,,,,541.0,1197.0,0.452,,,,541.0,1197.0,0.452,0.452,351.0,454.0,0.773,,,250.0,238.0,,,,233.0,1433.0
1947,1947,1964.0,Elgin Baylor*,SF,29.0,LAL,78.0,,3164.0,21.1,0.48700000000000004,,0.33,,,,,,,,,,4.7,2.5,7.2,0.109,,,,,,756.0,1778.0,0.425,,,,756.0,1778.0,0.425,0.425,471.0,586.0,0.804,,,936.0,347.0,,,,235.0,1983.0
1979,1979,1964.0,Leroy Ellis,C,23.0,LAL,78.0,,1459.0,12.1,0.467,,0.359,,,,,,,,,,0.6,1.0,1.6,0.053,,,,,,200.0,473.0,0.423,,,,200.0,473.0,0.423,0.423,112.0,170.0,0.659,,,498.0,41.0,,,,192.0,512.0
1984,1984,1964.0,Mel Gibson,G,23.0,LAL,9.0,,53.0,2.5,0.311,,0.1,,,,,,,,,,-0.2,0.0,-0.1,-0.11900000000000001,,,,,,6.0,20.0,0.3,,,,6.0,20.0,0.3,0.3,1.0,2.0,0.5,,,4.0,6.0,,,,10.0,13.0
2014,2014,1964.0,Jim King,PG,22.0,LAL,60.0,,762.0,11.4,0.483,,0.51,,,,,,,,,,0.6,0.5,1.1,0.069,,,,,,84.0,198.0,0.424,,,,84.0,198.0,0.424,0.424,66.0,101.0,0.653,,,113.0,110.0,,,,99.0,234.0
2016,2016,1964.0,Jim Krebs,C,28.0,LAL,68.0,,975.0,9.8,0.42200000000000004,,0.23800000000000002,,,,,,,,,,-0.6,0.7,0.1,0.004,,,,,,134.0,357.0,0.375,,,,134.0,357.0,0.375,0.375,65.0,85.0,0.765,,,283.0,49.0,,,,166.0,333.0
2017,2017,1964.0,Rudy LaRusso,PF,26.0,LAL,79.0,,2746.0,14.1,0.511,,0.512,,,,,,,,,,3.6,1.9,5.5,0.096,,,,,,337.0,776.0,0.434,,,,337.0,776.0,0.434,0.434,298.0,397.0,0.7509999999999999,,,800.0,190.0,,,,268.0,972.0
2033,2033,1964.0,Don Nelson*,SF,23.0,LAL,80.0,,1406.0,10.6,0.509,,0.622,,,,,,,,,,1.5,0.8,2.3,0.08,,,,,,135.0,323.0,0.418,,,,135.0,323.0,0.418,0.418,149.0,201.0,0.741,,,323.0,76.0,,,,181.0,419.0
2044,2044,1964.0,Hub Reed,C,27.0,LAL,46.0,,386.0,6.5,0.389,,0.165,,,,,,,,,,-0.3,0.3,0.0,-0.006,,,,,,33.0,91.0,0.363,,,,33.0,91.0,0.363,0.363,10.0,15.0,0.667,,,107.0,23.0,,,,73.0,76.0
2054,2054,1964.0,Frank Selvy,SG,31.0,LAL,73.0,,1286.0,9.0,0.41700000000000004,,0.28800000000000003,,,,,,,,,,-0.7,0.7,0.0,0.0,,,,,,160.0,423.0,0.37799999999999995,,,,160.0,423.0,0.37799999999999995,0.37799999999999995,78.0,122.0,0.639,,,139.0,149.0,,,,115.0,398.0
2073,2073,1964.0,Jerry West*,PG,25.0,LAL,72.0,,2906.0,24.2,0.562,,0.45899999999999996,,,,,,,,,,12.2,1.8,14.0,0.23199999999999998,,,,,,740.0,1529.0,0.484,,,,740.0,1529.0,0.484,0.484,584.0,702.0,0.8320000000000001,,,433.0,403.0,,,,200.0,2064.0
2075,2075,1964.0,Gene Wiley,C,26.0,LAL,78.0,,1510.0,10.4,0.551,,0.275,,,,,,,,,,1.8,1.1,2.8,0.09,,,,,,146.0,273.0,0.535,,,,146.0,273.0,0.535,0.535,45.0,75.0,0.6,,,510.0,44.0,,,,225.0,337.0
