,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
17687,17687,2006.0,Chucky Atkins,PG,31.0,MEM,43.0,39.0,1161.0,14.1,0.537,0.456,0.331,1.2,6.6,3.9,20.1,1.4,0.1,11.1,21.5,,1.7,1.2,2.9,0.121,,1.3,-2.3,-1.0,0.3,160.0,399.0,0.401,64.0,182.0,0.35200000000000004,96.0,217.0,0.442,0.48100000000000004,107.0,132.0,0.8109999999999999,11.0,64.0,75.0,129.0,29.0,2.0,57.0,94.0,491.0
17707,17707,2006.0,Shane Battier,SF,27.0,MEM,81.0,81.0,2839.0,14.7,0.574,0.266,0.335,7.1,11.2,9.2,8.2,1.8,3.2,11.2,13.7,,4.6,4.5,9.1,0.153,,0.9,3.1,4.0,4.3,303.0,621.0,0.488,65.0,165.0,0.39399999999999996,238.0,456.0,0.522,0.54,147.0,208.0,0.7070000000000001,164.0,265.0,429.0,136.0,92.0,114.0,90.0,223.0,818.0
17745,17745,2006.0,Antonio Burks,PG,25.0,MEM,57.0,1.0,570.0,5.1,0.36700000000000005,0.042,0.16,0.9,7.0,3.9,22.1,2.0,0.0,18.9,16.2,,-1.1,0.7,-0.4,-0.033,,-6.9,-1.3,-8.2,-0.9,51.0,144.0,0.354,1.0,6.0,0.16699999999999998,50.0,138.0,0.36200000000000004,0.358,10.0,23.0,0.435,4.0,33.0,37.0,76.0,20.0,0.0,36.0,45.0,113.0
17755,17755,2006.0,Brian Cardinal,PF,28.0,MEM,36.0,0.0,402.0,10.0,0.505,0.261,0.243,3.4,13.1,8.3,14.2,3.2,0.0,18.0,18.1,,-0.1,0.7,0.6,0.07400000000000001,,-2.8,0.9,-1.9,0.0,46.0,111.0,0.414,13.0,29.0,0.44799999999999995,33.0,82.0,0.402,0.473,19.0,27.0,0.7040000000000001,11.0,44.0,55.0,33.0,23.0,0.0,27.0,65.0,124.0
17845,17845,2006.0,Pau Gasol,PF,25.0,MEM,80.0,80.0,3135.0,22.7,0.555,0.01,0.517,7.5,20.0,13.8,23.7,0.8,3.9,13.8,26.4,,6.6,5.4,12.0,0.184,,2.0,3.1,5.1,5.6,600.0,1194.0,0.503,3.0,12.0,0.25,597.0,1182.0,0.505,0.504,425.0,617.0,0.6890000000000001,191.0,522.0,713.0,371.0,46.0,153.0,235.0,184.0,1628.0
17907,17907,2006.0,Bobby Jackson,PG,32.0,MEM,71.0,15.0,1775.0,14.6,0.49700000000000005,0.444,0.195,3.0,12.1,7.6,20.7,1.9,0.0,11.1,25.0,,1.0,2.5,3.5,0.095,,1.1,-1.0,0.1,0.9,286.0,748.0,0.382,129.0,332.0,0.389,157.0,416.0,0.377,0.469,107.0,146.0,0.733,44.0,179.0,223.0,195.0,61.0,1.0,101.0,155.0,808.0
17934,17934,2006.0,Dahntay Jones,SF,25.0,MEM,71.0,4.0,967.0,8.0,0.462,0.08,0.354,2.5,10.4,6.5,7.0,2.2,1.2,14.1,17.8,,-0.9,1.5,0.6,0.028999999999999998,,-5.3,0.4,-4.8,-0.7,109.0,263.0,0.414,3.0,21.0,0.14300000000000002,106.0,242.0,0.43799999999999994,0.42,60.0,93.0,0.645,20.0,84.0,104.0,39.0,38.0,15.0,50.0,108.0,281.0
17937,17937,2006.0,Eddie Jones,SG,34.0,MEM,75.0,75.0,2437.0,14.7,0.542,0.518,0.298,1.8,12.0,6.9,12.7,3.0,0.9,10.2,18.1,,3.0,4.2,7.2,0.141,,1.5,1.5,3.0,3.1,292.0,722.0,0.40399999999999997,133.0,374.0,0.35600000000000004,159.0,348.0,0.457,0.49700000000000005,168.0,215.0,0.7809999999999999,35.0,244.0,279.0,177.0,131.0,27.0,93.0,201.0,885.0
17998,17998,2006.0,Mike Miller,SG,25.0,MEM,74.0,9.0,2268.0,17.2,0.595,0.446,0.276,2.3,18.8,10.6,16.5,1.3,1.0,14.1,21.3,,3.9,3.5,7.4,0.157,,2.1,0.5,2.6,2.6,354.0,760.0,0.466,138.0,339.0,0.40700000000000003,216.0,421.0,0.513,0.557,168.0,210.0,0.8,42.0,355.0,397.0,200.0,52.0,27.0,140.0,173.0,1014.0
18087,18087,2006.0,Anthony Roberson,PG,22.0,MEM,16.0,0.0,88.0,11.7,0.5489999999999999,0.32299999999999995,0.065,0.0,8.2,4.1,10.7,0.6,0.0,8.6,19.3,,0.1,0.1,0.2,0.08800000000000001,,-2.0,-3.5,-5.5,-0.1,14.0,31.0,0.452,5.0,10.0,0.5,9.0,21.0,0.429,0.532,2.0,2.0,1.0,0.0,6.0,6.0,5.0,1.0,0.0,3.0,6.0,35.0
18088,18088,2006.0,Lawrence Roberts,C,23.0,MEM,33.0,0.0,181.0,13.8,0.47100000000000003,0.045,0.523,17.6,15.3,16.4,4.8,2.5,0.9,8.5,15.9,,0.2,0.3,0.5,0.14400000000000002,,-1.4,0.1,-1.4,0.0,20.0,44.0,0.455,0.0,2.0,0.0,20.0,42.0,0.47600000000000003,0.455,11.0,23.0,0.478,26.0,23.0,49.0,5.0,8.0,2.0,5.0,30.0,51.0
18130,18130,2006.0,Damon Stoudamire,PG,32.0,MEM,27.0,27.0,862.0,13.7,0.504,0.36200000000000004,0.21600000000000003,3.3,10.0,6.7,26.6,1.2,0.1,14.9,20.8,,0.7,1.0,1.7,0.09300000000000001,,0.5,-1.0,-0.6,0.3,114.0,287.0,0.397,36.0,104.0,0.34600000000000003,78.0,183.0,0.426,0.46,53.0,62.0,0.855,23.0,72.0,95.0,128.0,19.0,1.0,55.0,49.0,317.0
18150,18150,2006.0,John Thomas,C,30.0,MEM,3.0,0.0,25.0,3.8,1.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,3.2,50.0,7.8,,0.0,0.0,0.0,0.012,,-5.5,-1.7,-7.2,0.0,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0
18160,18160,2006.0,Jake Tsakalidis,C,26.0,MEM,51.0,19.0,732.0,17.3,0.632,0.0,0.527,13.1,22.0,17.6,3.2,1.1,3.5,16.1,16.1,,1.5,1.4,2.8,0.18600000000000003,,-1.5,0.6,-0.9,0.2,100.0,165.0,0.606,0.0,0.0,,100.0,165.0,0.606,0.606,57.0,87.0,0.655,78.0,134.0,212.0,13.0,14.0,32.0,39.0,107.0,257.0
18185,18185,2006.0,Hakim Warrick,PF,23.0,MEM,68.0,2.0,724.0,11.0,0.499,0.0,0.504,7.3,16.8,12.1,7.5,1.1,2.3,16.7,22.5,,-0.3,1.1,0.8,0.053,,-5.3,-0.3,-5.5,-0.6,101.0,228.0,0.44299999999999995,0.0,0.0,,101.0,228.0,0.44299999999999995,0.44299999999999995,76.0,115.0,0.6609999999999999,43.0,101.0,144.0,30.0,14.0,21.0,56.0,113.0,278.0
18223,18223,2006.0,Lorenzen Wright,C,30.0,MEM,78.0,58.0,1689.0,12.2,0.496,0.005,0.28800000000000003,10.3,18.0,14.2,4.9,1.7,2.2,12.8,15.1,,0.8,3.0,3.7,0.106,,-3.0,1.6,-1.3,0.3,194.0,406.0,0.478,0.0,2.0,0.0,194.0,404.0,0.48,0.478,66.0,117.0,0.564,142.0,253.0,395.0,48.0,52.0,46.0,67.0,201.0,454.0
