,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
10468,10468,1992.0,Keith Askins,SF,24.0,MIA,59.0,4.0,843.0,8.7,0.495,0.35600000000000004,0.18,8.5,10.4,9.4,6.2,2.3,1.1,17.5,13.3,,0.0,0.7,0.7,0.04,,-1.7,0.2,-1.5,0.1,84.0,205.0,0.41,25.0,73.0,0.342,59.0,132.0,0.447,0.47100000000000003,26.0,37.0,0.703,65.0,77.0,142.0,38.0,40.0,15.0,47.0,109.0,219.0
10471,10471,1992.0,Milos Babic,C,23.0,MIA,9.0,0.0,35.0,18.3,0.545,0.0,0.615,6.3,29.1,17.6,26.4,1.4,0.0,23.2,25.8,,0.0,0.0,0.0,0.057,,-2.6,-0.4,-3.0,0.0,6.0,13.0,0.462,0.0,0.0,,6.0,13.0,0.462,0.462,6.0,8.0,0.75,2.0,9.0,11.0,6.0,1.0,0.0,5.0,0.0,18.0
10487,10487,1992.0,Winston Bennett,SF,26.0,MIA,2.0,0.0,2.0,29.9,0.5,0.0,0.0,55.1,0.0,27.9,0.0,0.0,0.0,0.0,41.9,,0.0,0.0,0.0,0.23800000000000002,,8.6,-17.8,-9.2,0.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
10519,10519,1992.0,Willie Burton,SF,23.0,MIA,68.0,50.0,1585.0,13.5,0.522,0.024,0.39399999999999996,5.3,12.0,8.6,12.0,1.4,1.4,14.0,22.4,,1.0,1.0,2.0,0.062,,-1.6,-1.0,-2.6,-0.2,280.0,622.0,0.45,6.0,15.0,0.4,274.0,607.0,0.451,0.455,196.0,245.0,0.8,76.0,168.0,244.0,123.0,46.0,37.0,119.0,186.0,762.0
10537,10537,1992.0,Bimbo Coles,PG,23.0,MIA,81.0,28.0,1976.0,14.3,0.534,0.08,0.40399999999999997,3.8,6.9,5.3,27.6,1.8,0.4,17.9,19.8,,2.1,0.9,3.0,0.073,,-0.1,-1.9,-2.0,0.0,295.0,649.0,0.455,10.0,52.0,0.192,285.0,597.0,0.47700000000000004,0.462,216.0,262.0,0.8240000000000001,69.0,120.0,189.0,366.0,73.0,13.0,167.0,151.0,816.0
10564,10564,1992.0,Sherman Douglas,PG,25.0,MIA,5.0,2.0,98.0,12.6,0.5429999999999999,0.032,0.226,1.1,5.8,3.4,29.5,2.0,0.0,19.0,18.0,,0.1,0.0,0.1,0.057999999999999996,,-2.0,-3.5,-5.5,-0.1,16.0,31.0,0.516,0.0,1.0,0.0,16.0,30.0,0.5329999999999999,0.516,5.0,7.0,0.7140000000000001,1.0,5.0,6.0,19.0,4.0,0.0,8.0,10.0,37.0
10576,10576,1992.0,Kevin Edwards,PG,26.0,MIA,81.0,1.0,1840.0,13.8,0.512,0.045,0.267,3.4,9.5,6.4,14.3,2.6,0.7,13.0,21.0,,1.0,1.4,2.4,0.063,,-1.3,-0.5,-1.8,0.1,325.0,716.0,0.45399999999999996,7.0,32.0,0.21899999999999997,318.0,684.0,0.465,0.45899999999999996,162.0,191.0,0.848,56.0,155.0,211.0,170.0,99.0,20.0,120.0,138.0,819.0
10670,10670,1992.0,Alec Kessler,PF,25.0,MIA,77.0,4.0,1197.0,10.2,0.473,0.0,0.3,10.5,18.9,14.6,4.1,0.7,1.6,11.8,17.2,,0.3,0.9,1.2,0.049,,-3.8,-1.7,-5.5,-1.1,158.0,383.0,0.413,0.0,0.0,,158.0,383.0,0.413,0.413,94.0,115.0,0.8170000000000001,114.0,200.0,314.0,34.0,17.0,32.0,58.0,185.0,410.0
10698,10698,1992.0,Grant Long,PF,25.0,MIA,82.0,82.0,3063.0,15.8,0.568,0.025,0.45399999999999996,9.3,16.0,12.6,10.8,2.2,0.8,14.8,17.1,,4.9,2.8,7.7,0.12,,1.3,1.4,2.7,3.6,440.0,890.0,0.494,6.0,22.0,0.273,434.0,868.0,0.5,0.498,326.0,404.0,0.807,259.0,432.0,691.0,225.0,139.0,40.0,185.0,248.0,1212.0
10736,10736,1992.0,John Morton,SF,24.0,MIA,21.0,0.0,216.0,10.5,0.491,0.185,0.358,1.5,8.4,4.9,18.7,2.7,0.3,20.4,22.8,,-0.2,0.2,0.0,-0.01,,-3.7,-2.0,-5.7,-0.2,33.0,81.0,0.40700000000000003,2.0,15.0,0.133,31.0,66.0,0.47,0.42,24.0,29.0,0.828,3.0,16.0,19.0,27.0,12.0,1.0,24.0,20.0,92.0
