,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
10500,10500,1992.0,Frank Brickowski,SF,32.0,MIL,65.0,60.0,1556.0,15.5,0.564,0.01,0.27899999999999997,6.9,18.9,12.6,12.3,1.9,0.9,14.6,20.7,,2.0,1.4,3.4,0.105,,-0.1,0.0,-0.1,0.7,306.0,584.0,0.524,3.0,6.0,0.5,303.0,578.0,0.524,0.527,125.0,163.0,0.767,97.0,247.0,344.0,122.0,60.0,23.0,112.0,223.0,740.0
10539,10539,1992.0,Lester Conner,PG,32.0,MIL,81.0,9.0,1420.0,13.3,0.496,0.028999999999999998,0.48100000000000004,4.9,10.1,7.4,27.1,3.4,0.4,21.4,10.9,,1.4,1.3,2.7,0.091,,-1.2,0.8,-0.4,0.6,103.0,239.0,0.431,0.0,7.0,0.0,103.0,232.0,0.444,0.431,81.0,115.0,0.7040000000000001,63.0,121.0,184.0,294.0,97.0,10.0,79.0,86.0,287.0
10580,10580,1992.0,Dale Ellis,SF,31.0,MIL,81.0,11.0,2191.0,15.9,0.564,0.318,0.205,4.6,8.7,6.6,7.7,1.3,0.5,9.5,23.8,,4.1,0.7,4.8,0.105,,2.3,-3.1,-0.7,0.7,485.0,1034.0,0.469,138.0,329.0,0.419,347.0,705.0,0.49200000000000005,0.536,164.0,212.0,0.774,92.0,161.0,253.0,104.0,57.0,18.0,119.0,151.0,1272.0
10616,10616,1992.0,Jeff Grayer,SG,26.0,MIL,82.0,11.0,1659.0,13.3,0.489,0.096,0.222,8.5,9.2,8.9,13.9,1.9,0.5,12.2,21.7,,1.0,0.8,1.8,0.052000000000000005,,-0.4,-1.3,-1.7,0.1,309.0,689.0,0.44799999999999995,19.0,66.0,0.28800000000000003,290.0,623.0,0.465,0.462,102.0,153.0,0.667,129.0,128.0,257.0,150.0,64.0,13.0,105.0,142.0,739.0
10634,10634,1992.0,Steve Henson,PG,23.0,MIL,50.0,1.0,386.0,11.1,0.478,0.33299999999999996,0.201,4.8,7.4,6.1,30.3,2.0,0.2,20.3,21.4,,0.1,0.2,0.2,0.027999999999999997,,-1.0,-3.0,-4.0,-0.2,52.0,144.0,0.361,23.0,48.0,0.479,29.0,96.0,0.302,0.441,23.0,29.0,0.7929999999999999,17.0,24.0,41.0,82.0,15.0,1.0,40.0,50.0,150.0
10649,10649,1992.0,Jay Humphries,PG,29.0,MIL,71.0,71.0,2261.0,16.5,0.5429999999999999,0.179,0.31,2.1,7.4,4.7,30.8,2.6,0.4,14.0,19.6,,4.4,1.4,5.8,0.12300000000000001,,2.1,-1.4,0.7,1.5,377.0,803.0,0.469,42.0,144.0,0.292,335.0,659.0,0.508,0.496,195.0,249.0,0.7829999999999999,44.0,140.0,184.0,466.0,119.0,13.0,148.0,210.0,991.0
10680,10680,1992.0,Larry Krystkowiak,PF,27.0,MIL,79.0,16.0,1848.0,11.4,0.486,0.008,0.256,7.8,19.2,13.3,9.1,1.5,0.4,13.5,19.3,,0.4,1.4,1.8,0.046,,-2.6,-0.7,-3.3,-0.6,293.0,660.0,0.444,0.0,5.0,0.0,293.0,655.0,0.447,0.444,128.0,169.0,0.757,131.0,298.0,429.0,114.0,54.0,12.0,115.0,218.0,714.0
10685,10685,1992.0,Jerome Lane,PF,25.0,MIL,2.0,0.0,6.0,19.1,0.7979999999999999,0.0,2.0,18.3,59.5,38.1,0.0,0.0,0.0,34.7,20.1,,0.0,0.0,0.0,0.096,,-7.7,-9.5,-17.2,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0
10697,10697,1992.0,Brad Lohaus,PF,27.0,MIL,70.0,8.0,1081.0,15.0,0.54,0.4,0.114,6.6,20.3,13.2,10.0,1.9,4.1,10.8,16.4,,1.4,1.3,2.7,0.11900000000000001,,0.1,1.5,1.6,1.0,162.0,360.0,0.45,57.0,144.0,0.396,105.0,216.0,0.486,0.529,27.0,41.0,0.659,65.0,184.0,249.0,74.0,40.0,71.0,46.0,144.0,408.0
10705,10705,1992.0,Moses Malone*,C,36.0,MIL,82.0,77.0,2511.0,19.2,0.556,0.009000000000000001,0.5429999999999999,14.0,20.1,16.9,5.6,1.5,1.6,11.5,21.7,,5.6,2.2,7.8,0.14800000000000002,,1.0,-0.9,0.1,1.3,440.0,929.0,0.474,3.0,8.0,0.375,437.0,921.0,0.474,0.475,396.0,504.0,0.7859999999999999,320.0,424.0,744.0,93.0,74.0,64.0,150.0,136.0,1279.0
