,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
17692,17692,2006.0,Marcus Banks,PG,24.0,MIN,40.0,28.0,1228.0,14.5,0.545,0.113,0.302,1.9,9.2,5.7,26.6,2.1,0.7,17.9,20.7,,0.8,1.3,2.1,0.083,,-0.3,-0.4,-0.7,0.4,186.0,388.0,0.479,16.0,44.0,0.364,170.0,344.0,0.494,0.5,91.0,117.0,0.778,19.0,97.0,116.0,188.0,47.0,11.0,96.0,124.0,479.0
17721,17721,2006.0,Mark Blount,C,30.0,MIN,42.0,30.0,1157.0,12.1,0.542,0.0,0.268,6.4,14.5,10.5,5.0,1.2,2.6,15.8,19.3,,0.1,1.4,1.5,0.063,,-3.1,0.3,-2.8,-0.2,179.0,354.0,0.506,0.0,0.0,,179.0,354.0,0.506,0.506,71.0,95.0,0.747,60.0,143.0,203.0,33.0,25.0,40.0,74.0,147.0,429.0
17757,17757,2006.0,Anthony Carter,PG,30.0,MIN,45.0,8.0,589.0,10.6,0.465,0.109,0.401,1.9,10.5,6.3,26.9,2.2,1.2,19.9,16.2,,-0.1,0.7,0.6,0.047,,-3.6,-0.3,-3.8,-0.3,53.0,137.0,0.387,4.0,15.0,0.267,49.0,122.0,0.402,0.401,40.0,55.0,0.727,9.0,53.0,62.0,101.0,24.0,9.0,40.0,71.0,150.0
17791,17791,2006.0,Ricky Davis,SF,26.0,MIN,36.0,36.0,1460.0,15.2,0.511,0.19699999999999998,0.304,2.1,11.1,6.7,21.4,1.6,0.4,12.7,25.1,,0.7,1.4,2.1,0.069,,0.6,-0.7,-0.1,0.7,255.0,595.0,0.429,33.0,117.0,0.282,222.0,478.0,0.46399999999999997,0.456,146.0,181.0,0.807,25.0,139.0,164.0,173.0,42.0,8.0,98.0,99.0,689.0
17808,17808,2006.0,Ronald Dupree,SF,25.0,MIN,36.0,0.0,265.0,10.4,0.494,0.016,0.6509999999999999,9.8,12.4,11.1,8.8,2.4,0.0,14.7,17.0,,0.0,0.3,0.3,0.055999999999999994,,-2.7,-0.3,-3.1,-0.1,33.0,63.0,0.524,0.0,1.0,0.0,33.0,62.0,0.532,0.524,14.0,41.0,0.341,21.0,28.0,49.0,14.0,12.0,0.0,14.0,44.0,80.0
17833,17833,2006.0,Richie Frahm,SG,28.0,MIN,25.0,0.0,225.0,8.9,0.491,0.738,0.077,1.6,10.4,6.1,10.7,0.7,0.7,5.6,15.0,,0.1,0.2,0.3,0.065,,-0.8,-2.5,-3.2,-0.1,24.0,65.0,0.369,15.0,48.0,0.313,9.0,17.0,0.529,0.485,3.0,5.0,0.6,3.0,20.0,23.0,15.0,3.0,2.0,4.0,22.0,66.0
17843,17843,2006.0,Kevin Garnett,PF,29.0,MIN,76.0,76.0,2957.0,26.8,0.589,0.025,0.41100000000000003,8.9,29.7,19.6,20.2,1.9,2.7,11.3,25.5,,9.0,5.9,14.9,0.242,,4.4,3.5,7.9,7.4,626.0,1191.0,0.526,8.0,30.0,0.267,618.0,1161.0,0.532,0.529,396.0,489.0,0.81,214.0,752.0,966.0,308.0,104.0,107.0,180.0,206.0,1656.0
17866,17866,2006.0,Eddie Griffin,C,23.0,MIN,70.0,27.0,1359.0,12.2,0.397,0.222,0.2,9.7,24.3,17.2,4.7,0.5,8.2,9.7,15.6,,-1.0,2.6,1.5,0.055,,-5.2,3.2,-2.0,0.0,130.0,370.0,0.35100000000000003,16.0,82.0,0.195,114.0,288.0,0.396,0.373,44.0,74.0,0.595,107.0,282.0,389.0,40.0,13.0,148.0,43.0,125.0,320.0
17880,17880,2006.0,Trenton Hassell,SG,26.0,MIN,77.0,67.0,2514.0,9.5,0.512,0.037000000000000005,0.28600000000000003,4.0,6.2,5.2,13.2,0.9,0.9,15.2,15.4,,0.7,1.6,2.3,0.044000000000000004,,-2.0,-0.3,-2.3,-0.2,286.0,616.0,0.46399999999999997,7.0,23.0,0.304,279.0,593.0,0.47,0.47,131.0,176.0,0.7440000000000001,82.0,134.0,216.0,203.0,43.0,29.0,124.0,201.0,710.0
17896,17896,2006.0,Troy Hudson,PG,29.0,MIN,36.0,0.0,800.0,12.2,0.48,0.303,0.156,1.2,5.3,3.3,23.3,0.8,0.4,10.1,23.5,,0.3,0.4,0.7,0.042,,-0.7,-3.9,-4.6,-0.5,127.0,333.0,0.381,40.0,101.0,0.396,87.0,232.0,0.375,0.441,48.0,52.0,0.9229999999999999,8.0,36.0,44.0,106.0,12.0,4.0,40.0,55.0,342.0
