,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
5,5,1950.0,Ed Bartels,F,24.0,NYK,2.0,,,,0.376,,0.75,,,,,,,,,,0.0,0.0,0.0,,,,,,,1.0,4.0,0.25,,,,1.0,4.0,0.25,0.25,2.0,3.0,0.667,,,,0.0,,,,2.0,4.0
13,13,1950.0,Vince Boryla,SF,22.0,NYK,59.0,,,,0.426,,0.445,,,,,,,,,,2.6,1.4,3.9,,,,,,,204.0,600.0,0.34,,,,204.0,600.0,0.34,0.34,204.0,267.0,0.764,,,,95.0,,,,203.0,612.0
18,18,1950.0,Carl Braun,G-F,22.0,NYK,67.0,,,,0.434,,0.365,,,,,,,,,,5.2,1.9,7.2,,,,,,,373.0,1024.0,0.364,,,,373.0,1024.0,0.364,0.364,285.0,374.0,0.762,,,,247.0,,,,188.0,1031.0
54,54,1950.0,Harry Donovan,G,23.0,NYK,45.0,,,,0.39299999999999996,,0.385,,,,,,,,,,0.3,0.7,1.0,,,,,,,90.0,275.0,0.327,,,,90.0,275.0,0.327,0.327,73.0,106.0,0.6890000000000001,,,,38.0,,,,107.0,253.0
71,71,1950.0,Harry Gallatin*,F-C,22.0,NYK,68.0,,,,0.48700000000000004,,0.551,,,,,,,,,,6.5,1.4,7.8,,,,,,,263.0,664.0,0.396,,,,263.0,664.0,0.396,0.396,277.0,366.0,0.757,,,,56.0,,,,215.0,803.0
109,109,1950.0,Gene James,F,24.0,NYK,29.0,,,,0.335,,0.484,,,,,,,,,,-0.2,0.3,0.1,,,,,,,19.0,64.0,0.297,,,,19.0,64.0,0.297,0.297,14.0,31.0,0.452,,,,20.0,,,,53.0,52.0
147,147,1950.0,Ray Lumpp,G,26.0,NYK,58.0,,,,0.405,,0.382,,,,,,,,,,0.9,0.8,1.7,,,,,,,91.0,283.0,0.322,,,,91.0,283.0,0.322,0.322,86.0,108.0,0.7959999999999999,,,,90.0,,,,117.0,268.0
163,163,1950.0,Dick McGuire*,PG,24.0,NYK,68.0,,,,0.41700000000000004,,0.556,,,,,,,,,,3.4,1.9,5.3,,,,,,,190.0,563.0,0.337,,,,190.0,563.0,0.337,0.337,204.0,313.0,0.652,,,,386.0,,,,160.0,584.0
186,186,1950.0,Paul Noel,F,25.0,NYK,65.0,,,,0.37799999999999995,,0.299,,,,,,,,,,0.0,0.8,0.9,,,,,,,98.0,291.0,0.337,,,,98.0,291.0,0.337,0.337,53.0,87.0,0.609,,,,67.0,,,,132.0,249.0
238,238,1950.0,Tex Ritter,G-F,25.0,NYK,62.0,,,,0.434,,0.593,,,,,,,,,,1.6,0.7,2.3,,,,,,,100.0,297.0,0.337,,,,100.0,297.0,0.337,0.337,125.0,176.0,0.71,,,,51.0,,,,101.0,325.0
271,271,1950.0,Connie Simmons,C-F,24.0,NYK,60.0,,,,0.395,,0.41,,,,,,,,,,0.9,1.5,2.4,,,,,,,241.0,729.0,0.331,,,,241.0,729.0,0.331,0.331,198.0,299.0,0.662,,,,102.0,,,,203.0,680.0
292,292,1950.0,Butch Van,G-F,27.0,NYK,56.0,,,,0.456,,0.802,,,,,,,,,,1.6,0.7,2.3,,,,,,,55.0,167.0,0.32899999999999996,,,,55.0,167.0,0.32899999999999996,0.32899999999999996,96.0,134.0,0.716,,,,78.0,,,,111.0,206.0
294,294,1950.0,Ernie Vandeweghe,F-G,21.0,NYK,42.0,,,,0.466,,0.359,,,,,,,,,,3.0,0.9,3.9,,,,,,,164.0,390.0,0.42100000000000004,,,,164.0,390.0,0.42100000000000004,0.42100000000000004,93.0,140.0,0.664,,,,78.0,,,,126.0,421.0
