,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
16024,16024,2003.0,Darrell Armstrong,PG,34.0,ORL,82.0,23.0,2350.0,14.6,0.53,0.361,0.292,4.3,10.2,7.2,21.7,3.0,0.4,18.1,16.9,,2.7,2.2,4.9,0.1,,0.8,0.3,1.2,1.9,263.0,643.0,0.409,78.0,232.0,0.336,185.0,411.0,0.45,0.47,165.0,188.0,0.878,91.0,204.0,295.0,323.0,135.0,13.0,160.0,167.0,769.0
16076,16076,2003.0,Pat Burke,C,29.0,ORL,62.0,8.0,783.0,8.3,0.415,0.024,0.196,8.1,13.4,10.7,4.9,1.3,2.3,12.8,21.1,,-1.0,0.6,-0.3,-0.021,,-6.1,-1.6,-7.7,-1.1,113.0,296.0,0.382,1.0,7.0,0.14300000000000002,112.0,289.0,0.38799999999999996,0.38299999999999995,40.0,58.0,0.69,57.0,89.0,146.0,23.0,19.0,25.0,47.0,99.0,267.0
16117,16117,2003.0,Andrew DeClercq,C,29.0,ORL,77.0,21.0,1327.0,11.3,0.562,0.0,0.373,11.9,17.5,14.6,6.2,1.5,2.0,20.5,13.8,,1.3,1.3,2.6,0.095,,-2.0,0.6,-1.4,0.2,149.0,279.0,0.534,0.0,0.0,,149.0,279.0,0.534,0.534,67.0,104.0,0.644,142.0,197.0,339.0,52.0,39.0,36.0,84.0,258.0,365.0
16152,16152,2003.0,Pat Garrity,PF,26.0,ORL,81.0,53.0,2584.0,11.2,0.551,0.547,0.134,3.1,10.7,6.8,7.5,1.2,0.6,8.9,15.0,,3.6,1.3,4.9,0.091,,1.0,-1.1,-0.1,1.2,312.0,744.0,0.419,161.0,407.0,0.396,151.0,337.0,0.44799999999999995,0.528,83.0,100.0,0.83,72.0,234.0,306.0,121.0,62.0,20.0,77.0,255.0,868.0
16159,16159,2003.0,Gordan Giricek,SF,25.0,ORL,27.0,27.0,961.0,13.6,0.54,0.366,0.23399999999999999,2.1,13.7,7.7,11.7,1.6,0.2,12.5,19.1,,1.0,0.7,1.7,0.083,,0.2,-1.1,-0.8,0.3,143.0,325.0,0.44,39.0,119.0,0.32799999999999996,104.0,206.0,0.505,0.5,62.0,76.0,0.816,18.0,112.0,130.0,67.0,30.0,2.0,51.0,55.0,387.0
16166,16166,2003.0,Drew Gooden,PF,21.0,ORL,19.0,18.0,544.0,18.0,0.5479999999999999,0.01,0.39799999999999996,11.9,22.1,16.8,6.6,1.4,1.8,16.0,23.1,,0.7,0.6,1.3,0.11199999999999999,,-1.6,-0.9,-2.4,-0.1,100.0,201.0,0.498,0.0,2.0,0.0,100.0,199.0,0.503,0.498,59.0,80.0,0.738,58.0,102.0,160.0,20.0,15.0,13.0,45.0,51.0,259.0
16168,16168,2003.0,Horace Grant,PF,37.0,ORL,5.0,1.0,85.0,13.1,0.52,0.0,0.0,2.6,8.3,5.4,13.9,1.8,0.0,3.8,13.7,,0.1,0.0,0.2,0.102,,-1.5,-1.8,-3.3,0.0,13.0,25.0,0.52,0.0,0.0,,13.0,25.0,0.52,0.52,0.0,0.0,,2.0,6.0,8.0,7.0,3.0,0.0,1.0,5.0,26.0
16195,16195,2003.0,Grant Hill,SF,30.0,ORL,29.0,29.0,843.0,20.8,0.568,0.013000000000000001,0.469,5.3,23.2,14.0,25.6,1.7,1.1,18.5,24.1,,1.6,1.0,2.5,0.14400000000000002,,0.6,1.0,1.6,0.8,151.0,307.0,0.49200000000000005,1.0,4.0,0.25,150.0,303.0,0.495,0.493,118.0,144.0,0.8190000000000001,40.0,166.0,206.0,122.0,28.0,13.0,84.0,46.0,421.0
16208,16208,2003.0,Ryan Humphrey,PF,23.0,ORL,35.0,1.0,322.0,2.9,0.32899999999999996,0.0,0.32899999999999996,10.4,14.3,12.3,3.2,0.6,3.7,17.7,16.4,,-0.7,0.3,-0.5,-0.071,,-8.3,-0.7,-9.1,-0.6,23.0,85.0,0.271,0.0,0.0,,23.0,85.0,0.271,0.271,18.0,28.0,0.643,30.0,39.0,69.0,7.0,4.0,16.0,21.0,57.0,64.0
16211,16211,2003.0,Steven Hunter,C,21.0,ORL,33.0,5.0,447.0,13.4,0.531,0.0,0.42700000000000005,9.5,14.5,11.9,2.2,1.0,5.9,10.9,13.7,,0.4,0.5,0.9,0.099,,-3.2,0.9,-2.3,0.0,56.0,103.0,0.544,0.0,0.0,,56.0,103.0,0.544,0.544,18.0,44.0,0.409,38.0,55.0,93.0,6.0,9.0,36.0,15.0,56.0,130.0
