,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21687,21687,2013.0,Lavoy Allen,C,23.0,PHI,79.0,37.0,1669.0,11.5,0.474,0.002,0.132,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,,0.9,1.6,2.5,0.07200000000000001,,-3.2,0.6,-2.6,-0.3,206.0,454.0,0.45399999999999996,0.0,1.0,0.0,206.0,453.0,0.455,0.45399999999999996,43.0,60.0,0.7170000000000001,159.0,236.0,395.0,73.0,24.0,55.0,55.0,180.0,455.0
21755,21755,2013.0,Kwame Brown,C,30.0,PHI,22.0,11.0,269.0,8.8,0.452,0.0,0.514,9.4,22.1,15.5,4.7,1.2,2.9,15.0,9.1,,0.0,0.4,0.4,0.071,,-5.1,1.6,-3.5,-0.1,17.0,37.0,0.45899999999999996,0.0,0.0,,17.0,37.0,0.45899999999999996,0.45899999999999996,7.0,19.0,0.368,23.0,51.0,74.0,9.0,6.0,10.0,8.0,37.0,41.0
21898,21898,2013.0,Spencer Hawes,C,24.0,PHI,82.0,40.0,2233.0,16.0,0.514,0.107,0.19399999999999998,8.5,21.7,14.9,13.5,0.6,3.9,13.0,20.9,,1.7,2.8,4.5,0.096,,-1.5,1.5,-0.1,1.1,376.0,811.0,0.46399999999999997,31.0,87.0,0.35600000000000004,345.0,724.0,0.47700000000000004,0.483,122.0,157.0,0.777,173.0,417.0,590.0,183.0,24.0,113.0,131.0,233.0,905.0
21914,21914,2013.0,Jrue Holiday,PG,22.0,PHI,78.0,78.0,2926.0,16.7,0.496,0.192,0.188,3.3,9.5,6.4,36.5,2.2,0.9,17.3,26.6,,0.6,2.7,3.3,0.055,,1.0,-0.4,0.6,1.9,555.0,1288.0,0.431,91.0,247.0,0.368,464.0,1041.0,0.446,0.466,182.0,242.0,0.752,89.0,240.0,329.0,625.0,123.0,32.0,292.0,170.0,1383.0
21915,21915,2013.0,Justin Holiday,SG,23.0,PHI,9.0,0.0,142.0,7.6,0.408,0.33299999999999996,0.16699999999999998,0.0,11.5,5.6,16.0,1.1,3.3,14.9,19.6,,-0.3,0.1,-0.1,-0.042,,-6.0,-0.7,-6.7,-0.2,16.0,48.0,0.33299999999999996,4.0,16.0,0.25,12.0,32.0,0.375,0.375,6.0,8.0,0.75,0.0,14.0,14.0,15.0,3.0,6.0,9.0,7.0,42.0
21927,21927,2013.0,Royal Ivey,SG,31.0,PHI,53.0,5.0,698.0,8.1,0.563,0.611,0.111,2.5,6.8,4.6,6.7,1.7,0.3,11.7,11.3,,0.5,0.5,1.0,0.066,,-1.6,-1.1,-2.6,-0.1,62.0,144.0,0.431,37.0,88.0,0.42,25.0,56.0,0.446,0.5589999999999999,9.0,16.0,0.563,16.0,41.0,57.0,32.0,23.0,3.0,20.0,73.0,170.0
21941,21941,2013.0,Charles Jenkins,PG,23.0,PHI,12.0,1.0,150.0,8.6,0.377,0.0,0.105,2.2,6.2,4.1,15.7,2.1,0.5,4.8,12.8,,0.0,0.1,0.1,0.021,,-5.0,-1.0,-5.9,-0.1,14.0,38.0,0.368,0.0,0.0,,14.0,38.0,0.368,0.368,2.0,4.0,0.5,3.0,8.0,11.0,16.0,6.0,1.0,2.0,4.0,30.0
22008,22008,2013.0,Shelvin Mack,SG,22.0,PHI,4.0,0.0,7.0,-6.4,0.5,0.5,0.0,0.0,0.0,0.0,22.6,0.0,0.0,50.0,26.3,,-0.1,0.0,-0.1,-0.348,,-15.1,-9.0,-24.1,0.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0
22056,22056,2013.0,Arnett Moultrie,PF,22.0,PHI,47.0,0.0,542.0,16.7,0.595,0.0,0.209,15.4,14.8,15.1,2.9,1.7,1.4,11.5,14.1,,1.1,0.6,1.7,0.149,,-0.7,-0.9,-1.7,0.0,78.0,134.0,0.5820000000000001,0.0,0.0,,78.0,134.0,0.5820000000000001,0.5820000000000001,18.0,28.0,0.643,76.0,69.0,145.0,10.0,17.0,10.0,19.0,43.0,174.0
22082,22082,2013.0,Jeremy Pargo,SG,26.0,PHI,14.0,0.0,208.0,8.4,0.478,0.27,0.33299999999999996,0.5,8.9,4.6,20.4,0.3,0.0,15.3,18.9,,0.0,0.1,0.0,0.006,,-4.1,-3.7,-7.8,-0.3,24.0,63.0,0.381,7.0,17.0,0.41200000000000003,17.0,46.0,0.37,0.43700000000000006,14.0,21.0,0.667,1.0,16.0,17.0,28.0,1.0,0.0,13.0,14.0,69.0
22115,22115,2013.0,Jason Richardson,SG,32.0,PHI,33.0,33.0,936.0,12.6,0.495,0.49700000000000005,0.098,2.2,13.4,7.7,8.6,2.3,1.2,6.9,18.5,,0.3,1.1,1.4,0.07,,-0.5,-0.1,-0.6,0.3,135.0,336.0,0.402,57.0,167.0,0.341,78.0,169.0,0.462,0.48700000000000004,20.0,33.0,0.606,19.0,108.0,127.0,51.0,40.0,15.0,26.0,57.0,347.0
22196,22196,2013.0,Evan Turner,SF,24.0,PHI,82.0,82.0,2892.0,12.1,0.478,0.151,0.198,2.1,18.5,10.1,19.7,1.3,0.5,14.0,21.2,,-0.7,2.9,2.1,0.035,,-2.4,0.3,-2.1,-0.1,441.0,1053.0,0.419,58.0,159.0,0.365,383.0,894.0,0.428,0.446,154.0,208.0,0.74,56.0,461.0,517.0,354.0,71.0,17.0,187.0,197.0,1094.0
22226,22226,2013.0,Maalik Wayns,PG,21.0,PHI,21.0,1.0,165.0,1.8,0.35600000000000004,0.34700000000000003,0.20800000000000002,0.7,2.8,1.7,18.4,1.0,0.0,14.2,25.6,,-0.6,0.1,-0.5,-0.147,,-7.6,-5.7,-13.3,-0.5,19.0,72.0,0.264,5.0,25.0,0.2,14.0,47.0,0.298,0.299,13.0,15.0,0.867,1.0,4.0,5.0,20.0,3.0,0.0,13.0,18.0,56.0
22234,22234,2013.0,Damien Wilkins,SG,33.0,PHI,61.0,21.0,1095.0,12.5,0.5329999999999999,0.161,0.345,3.2,7.8,5.4,12.9,1.8,1.3,11.9,17.4,,1.0,0.9,1.9,0.083,,-1.8,-0.7,-2.5,-0.1,145.0,316.0,0.45899999999999996,17.0,51.0,0.33299999999999996,128.0,265.0,0.483,0.486,81.0,109.0,0.743,32.0,73.0,105.0,91.0,37.0,18.0,49.0,98.0,388.0
22245,22245,2013.0,Dorell Wright,SF,27.0,PHI,79.0,8.0,1783.0,16.0,0.551,0.603,0.235,2.6,17.0,9.6,13.1,1.8,1.5,8.8,18.7,,2.8,2.1,4.9,0.132,,1.5,-0.2,1.3,1.5,237.0,599.0,0.396,135.0,361.0,0.374,102.0,238.0,0.429,0.508,120.0,141.0,0.851,42.0,260.0,302.0,150.0,62.0,35.0,64.0,98.0,729.0
22247,22247,2013.0,Nick Young,SG,27.0,PHI,59.0,17.0,1411.0,13.3,0.525,0.387,0.23600000000000002,1.9,8.7,5.2,9.7,1.3,0.8,7.7,21.2,,1.4,1.0,2.3,0.079,,-0.2,-2.3,-2.5,-0.2,224.0,542.0,0.413,75.0,210.0,0.35700000000000004,149.0,332.0,0.449,0.48200000000000004,105.0,128.0,0.82,24.0,106.0,130.0,84.0,36.0,14.0,50.0,84.0,628.0
22249,22249,2013.0,Thaddeus Young,PF,24.0,PHI,76.0,76.0,2629.0,18.2,0.541,0.008,0.196,7.6,17.2,12.3,8.2,2.7,1.6,8.0,19.8,,3.7,3.7,7.4,0.136,,0.2,1.6,1.7,2.5,509.0,958.0,0.531,1.0,8.0,0.125,508.0,950.0,0.535,0.532,108.0,188.0,0.574,182.0,389.0,571.0,125.0,133.0,55.0,90.0,191.0,1127.0
