,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
14981,14981,2001.0,Greg Anthony,PG,33.0,POR,58.0,0.0,856.0,12.0,0.525,0.628,0.138,3.0,5.4,4.3,14.8,2.5,0.3,13.8,16.9,,0.9,0.7,1.6,0.09,,1.0,-1.7,-0.6,0.3,97.0,253.0,0.38299999999999995,65.0,159.0,0.409,32.0,94.0,0.34,0.512,23.0,35.0,0.657,21.0,40.0,61.0,82.0,40.0,3.0,43.0,63.0,282.0
14984,14984,2001.0,Stacey Augmon,SG,32.0,POR,66.0,23.0,1182.0,12.3,0.511,0.015,0.327,6.3,9.7,8.0,12.7,2.2,1.3,13.6,13.9,,1.3,1.2,2.5,0.102,,-1.0,0.9,-0.2,0.6,127.0,266.0,0.47700000000000004,0.0,4.0,0.0,127.0,262.0,0.485,0.47700000000000004,57.0,87.0,0.655,60.0,99.0,159.0,98.0,48.0,21.0,48.0,105.0,311.0
14989,14989,2001.0,Erick Barkley,PG,22.0,POR,8.0,0.0,38.0,10.3,0.43200000000000005,0.364,0.0,0.0,9.1,4.7,28.8,2.8,0.0,18.5,33.0,,-0.1,0.0,-0.1,-0.075,,-3.4,-3.6,-7.0,0.0,8.0,22.0,0.364,3.0,8.0,0.375,5.0,14.0,0.35700000000000004,0.43200000000000005,0.0,0.0,,0.0,3.0,3.0,6.0,2.0,0.0,5.0,2.0,19.0
15082,15082,2001.0,Dale Davis,C,31.0,POR,81.0,43.0,2162.0,15.1,0.524,0.008,0.312,13.3,19.9,16.7,7.4,1.1,2.6,10.8,13.4,,3.8,2.8,6.6,0.147,,0.2,1.5,1.7,2.0,242.0,487.0,0.49700000000000005,0.0,4.0,0.0,242.0,483.0,0.501,0.49700000000000005,96.0,152.0,0.632,233.0,373.0,606.0,103.0,44.0,76.0,67.0,199.0,580.0
15146,15146,2001.0,Gary Grant,PG,35.0,POR,4.0,0.0,17.0,22.8,0.7140000000000001,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,19.1,,0.1,0.0,0.1,0.209,,2.9,-8.2,-5.3,0.0,5.0,7.0,0.7140000000000001,0.0,0.0,,5.0,7.0,0.7140000000000001,0.7140000000000001,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0
15166,15166,2001.0,Antonio Harvey,PF,30.0,POR,12.0,0.0,72.0,17.0,0.506,0.0,0.214,8.6,14.4,11.6,9.6,0.7,6.2,8.9,21.7,,0.1,0.1,0.2,0.135,,-2.1,0.4,-1.6,0.0,13.0,28.0,0.46399999999999997,0.0,0.0,,13.0,28.0,0.46399999999999997,0.46399999999999997,5.0,6.0,0.833,5.0,9.0,14.0,4.0,1.0,6.0,3.0,10.0,31.0
15215,15215,2001.0,Shawn Kemp,PF,31.0,POR,68.0,3.0,1083.0,11.4,0.469,0.027000000000000003,0.317,7.2,20.9,14.3,9.9,2.2,1.6,17.4,24.5,,-0.8,1.7,0.9,0.040999999999999995,,-4.5,0.1,-4.4,-0.7,168.0,413.0,0.40700000000000003,4.0,11.0,0.364,164.0,402.0,0.408,0.41200000000000003,101.0,131.0,0.7709999999999999,63.0,196.0,259.0,65.0,45.0,23.0,99.0,184.0,441.0
15357,15357,2001.0,Will Perdue,C,35.0,POR,13.0,0.0,58.0,18.5,0.6509999999999999,0.0,0.444,12.8,23.9,18.5,5.3,2.8,2.6,0.0,8.6,,0.2,0.1,0.3,0.245,,1.3,2.1,3.3,0.1,6.0,9.0,0.667,0.0,0.0,,6.0,9.0,0.667,0.667,2.0,4.0,0.5,6.0,12.0,18.0,2.0,3.0,2.0,0.0,8.0,14.0
15366,15366,2001.0,Scottie Pippen*,SF,35.0,POR,64.0,60.0,2133.0,15.3,0.541,0.312,0.27,4.1,14.2,9.3,21.8,2.4,1.2,18.8,17.9,,2.4,2.7,5.1,0.115,,1.3,1.5,2.7,2.6,269.0,596.0,0.451,64.0,186.0,0.344,205.0,410.0,0.5,0.505,119.0,161.0,0.7390000000000001,70.0,263.0,333.0,294.0,94.0,35.0,154.0,158.0,721.0
15405,15405,2001.0,Arvydas Sabonis*,C,36.0,POR,61.0,42.0,1299.0,18.4,0.527,0.028999999999999998,0.302,4.9,24.9,15.2,12.3,1.7,3.5,12.7,24.0,,1.5,2.3,3.7,0.138,,-1.7,1.4,-0.3,0.6,247.0,516.0,0.479,1.0,15.0,0.067,246.0,501.0,0.491,0.48,121.0,156.0,0.7759999999999999,51.0,280.0,331.0,91.0,40.0,62.0,85.0,137.0,616.0
