,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
11841,11841,1995.0,Alaa Abdelnaby,PF,26.0,SAC,51.0,0.0,476.0,14.1,0.54,0.009000000000000001,0.159,8.5,17.3,13.0,5.3,1.6,1.9,14.5,25.7,,-0.1,0.7,0.6,0.057999999999999996,,-3.6,-1.4,-5.0,-0.4,117.0,220.0,0.532,0.0,2.0,0.0,117.0,218.0,0.537,0.532,20.0,35.0,0.5710000000000001,34.0,72.0,106.0,13.0,15.0,12.0,40.0,102.0,254.0
11893,11893,1995.0,Randy Brown,PG,26.0,SAC,67.0,2.0,1086.0,11.8,0.491,0.16399999999999998,0.28600000000000003,2.6,8.9,5.8,18.9,4.7,1.3,19.4,16.4,,-0.3,1.9,1.6,0.071,,-2.3,2.9,0.6,0.7,124.0,287.0,0.43200000000000005,14.0,47.0,0.298,110.0,240.0,0.45799999999999996,0.456,55.0,82.0,0.6709999999999999,24.0,84.0,108.0,133.0,99.0,19.0,78.0,153.0,317.0
11906,11906,1995.0,Duane Causwell,C,26.0,SAC,58.0,24.0,820.0,11.4,0.55,0.006999999999999999,0.667,8.3,16.3,12.4,2.7,0.9,7.3,14.8,12.1,,0.5,1.3,1.8,0.105,,-3.7,3.5,-0.3,0.4,76.0,147.0,0.517,0.0,1.0,0.0,76.0,146.0,0.521,0.517,57.0,98.0,0.5820000000000001,57.0,117.0,174.0,15.0,14.0,80.0,33.0,146.0,209.0
11993,11993,1995.0,Brian Grant,PF,22.0,SAC,80.0,59.0,2289.0,16.5,0.546,0.005,0.449,10.7,19.5,15.2,7.4,1.1,3.8,14.4,22.0,,1.9,3.4,5.3,0.11199999999999999,,-1.4,1.6,0.2,1.3,413.0,809.0,0.511,1.0,4.0,0.25,412.0,805.0,0.512,0.511,231.0,363.0,0.636,207.0,391.0,598.0,99.0,49.0,116.0,163.0,276.0,1058.0
12035,12035,1995.0,Bobby Hurley,PG,23.0,SAC,68.0,6.0,1105.0,7.7,0.449,0.268,0.268,1.5,5.8,3.7,30.6,1.4,0.0,25.7,17.2,,-1.1,0.8,-0.3,-0.013999999999999999,,-4.5,-2.7,-7.2,-1.4,103.0,284.0,0.363,21.0,76.0,0.276,82.0,208.0,0.39399999999999996,0.4,58.0,76.0,0.763,14.0,56.0,70.0,226.0,29.0,0.0,110.0,79.0,285.0
12071,12071,1995.0,Doug Lee,SG,30.0,SAC,22.0,0.0,75.0,18.1,0.628,0.72,0.84,0.0,7.6,3.9,10.4,4.2,3.0,12.7,23.3,,0.2,0.1,0.4,0.22899999999999998,,3.2,0.2,3.4,0.1,9.0,25.0,0.36,7.0,18.0,0.389,2.0,7.0,0.28600000000000003,0.5,18.0,21.0,0.857,0.0,5.0,5.0,5.0,6.0,3.0,5.0,18.0,43.0
12154,12154,1995.0,Derrick Phelps,PG,22.0,SAC,3.0,0.0,5.0,-17.3,0.0,0.0,2.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,16.7,,0.0,0.0,0.0,-0.33899999999999997,,-15.9,-8.5,-24.3,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
12160,12160,1995.0,Olden Polynice,C,30.0,SAC,81.0,81.0,2534.0,14.7,0.565,0.001,0.281,13.0,20.2,16.7,4.0,1.0,1.5,12.7,15.6,,3.3,3.4,6.7,0.126,,-0.6,0.6,0.0,1.3,376.0,691.0,0.544,1.0,1.0,1.0,375.0,690.0,0.5429999999999999,0.545,124.0,194.0,0.639,277.0,448.0,725.0,62.0,48.0,52.0,113.0,238.0,877.0
12174,12174,1995.0,Mitch Richmond*,SG,29.0,SAC,82.0,82.0,3172.0,17.2,0.551,0.28300000000000003,0.297,2.6,10.4,6.6,17.8,1.5,0.7,12.1,27.0,,4.9,3.1,8.0,0.12,,2.5,-0.7,1.8,3.0,668.0,1497.0,0.446,156.0,424.0,0.368,512.0,1073.0,0.47700000000000004,0.498,375.0,445.0,0.843,69.0,288.0,357.0,311.0,91.0,29.0,234.0,227.0,1867.0
12206,12206,1995.0,Lionel Simmons,SF,26.0,SAC,58.0,3.0,1064.0,10.0,0.469,0.051,0.26899999999999996,6.8,14.5,10.7,13.1,1.4,1.6,16.7,17.5,,-0.4,1.3,0.9,0.039,,-3.5,1.2,-2.3,-0.1,131.0,312.0,0.42,6.0,16.0,0.375,125.0,296.0,0.42200000000000004,0.429,59.0,84.0,0.7020000000000001,61.0,135.0,196.0,89.0,28.0,23.0,70.0,118.0,327.0
