,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
6110,6110,1981.0,Ron Brewer,SG,25.0,SAS,46.0,,904.0,13.5,0.506,0.01,0.20800000000000002,2.6,3.7,3.2,14.6,1.4,1.5,11.4,20.8,,1.0,0.5,1.5,0.08,,-1.1,-2.4,-3.5,-0.3,180.0,385.0,0.46799999999999997,0.0,4.0,0.0,180.0,381.0,0.47200000000000003,0.46799999999999997,65.0,80.0,0.813,21.0,32.0,53.0,93.0,27.0,25.0,54.0,53.0,425.0
6146,6146,1981.0,Dave Corzine,C,24.0,SAS,82.0,,1960.0,16.5,0.52,0.004,0.23399999999999999,13.2,21.7,17.7,8.4,1.0,2.7,13.7,19.3,,2.6,2.5,5.1,0.125,,0.0,0.4,0.4,1.2,366.0,747.0,0.49,0.0,3.0,0.0,366.0,744.0,0.49200000000000005,0.49,125.0,175.0,0.7140000000000001,228.0,408.0,636.0,117.0,42.0,99.0,131.0,212.0,857.0
6188,6188,1981.0,Mike Gale,PG,30.0,SAS,35.0,,636.0,13.4,0.547,0.018000000000000002,0.159,1.3,7.4,4.5,20.3,4.0,0.2,18.2,13.4,,0.6,0.8,1.4,0.107,,-0.5,0.5,0.0,0.3,86.0,164.0,0.524,1.0,3.0,0.33299999999999996,85.0,161.0,0.528,0.527,19.0,26.0,0.731,7.0,45.0,52.0,99.0,55.0,2.0,39.0,56.0,192.0
6193,6193,1981.0,Gus Gerard,SF,27.0,SAS,11.0,,129.0,12.8,0.401,0.017,0.183,15.0,17.0,16.0,9.5,2.5,1.2,11.0,22.4,,0.0,0.2,0.1,0.055,,-2.1,-0.6,-2.7,0.0,22.0,60.0,0.36700000000000005,0.0,1.0,0.0,22.0,59.0,0.373,0.36700000000000005,8.0,11.0,0.727,17.0,21.0,38.0,9.0,7.0,3.0,8.0,17.0,52.0
6194,6194,1981.0,George Gervin*,SG,28.0,SAS,82.0,,2765.0,22.9,0.555,0.02,0.359,5.2,11.1,8.2,15.8,1.6,1.1,11.1,32.3,,8.1,2.4,10.5,0.182,,3.6,-2.0,1.6,2.5,850.0,1729.0,0.49200000000000005,9.0,35.0,0.257,841.0,1694.0,0.496,0.494,512.0,620.0,0.826,126.0,293.0,419.0,260.0,94.0,56.0,251.0,212.0,2221.0
6202,6202,1981.0,Paul Griffin,PF,27.0,SAS,82.0,,1930.0,13.8,0.575,0.0,0.778,10.8,17.4,14.2,15.8,1.9,1.1,23.2,11.7,,2.6,2.3,4.9,0.122,,0.9,2.0,3.0,2.4,166.0,325.0,0.511,0.0,0.0,,166.0,325.0,0.511,0.511,170.0,253.0,0.672,184.0,321.0,505.0,249.0,77.0,38.0,132.0,207.0,502.0
6241,6241,1981.0,George Johnson,C,32.0,SAS,82.0,,1935.0,13.5,0.517,0.0,0.314,12.6,20.9,16.9,5.8,1.1,7.7,21.8,10.4,,1.1,3.4,4.5,0.11199999999999999,,-1.6,4.8,3.2,2.5,164.0,347.0,0.473,0.0,0.0,,164.0,347.0,0.473,0.473,80.0,109.0,0.7340000000000001,215.0,387.0,602.0,92.0,47.0,278.0,110.0,273.0,408.0
6251,6251,1981.0,Reggie Johnson,PF,23.0,SAS,79.0,,1716.0,12.9,0.527,0.001,0.28300000000000003,8.8,13.7,11.4,6.5,1.2,1.5,14.5,20.7,,1.4,1.6,3.0,0.085,,-1.0,-1.2,-2.2,-0.1,340.0,682.0,0.499,0.0,1.0,0.0,340.0,681.0,0.499,0.499,128.0,193.0,0.6629999999999999,132.0,226.0,358.0,78.0,45.0,48.0,130.0,283.0,808.0
6326,6326,1981.0,Johnny Moore,PG,22.0,SAS,82.0,,1578.0,15.8,0.507,0.037000000000000005,0.331,4.2,9.1,6.8,31.8,3.5,0.7,20.5,18.9,,1.2,2.0,3.2,0.099,,0.4,0.1,0.5,1.0,249.0,520.0,0.479,1.0,19.0,0.053,248.0,501.0,0.495,0.48,105.0,172.0,0.61,58.0,138.0,196.0,373.0,120.0,22.0,154.0,178.0,604.0
6339,6339,1981.0,Mark Olberding,SF,24.0,SAS,82.0,,2408.0,14.8,0.594,0.01,0.555,6.9,14.1,10.6,15.2,1.5,0.7,19.2,17.4,,4.4,2.3,6.6,0.132,,1.3,0.4,1.7,2.3,348.0,685.0,0.508,1.0,7.0,0.14300000000000002,347.0,678.0,0.512,0.509,315.0,380.0,0.8290000000000001,146.0,325.0,471.0,277.0,75.0,31.0,202.0,307.0,1012.0
6362,6362,1981.0,Kevin Restani,SF,29.0,SAS,64.0,,999.0,13.8,0.551,0.022000000000000002,0.23800000000000002,8.1,10.8,9.5,11.4,0.7,0.7,14.3,18.9,,1.4,0.6,2.1,0.1,,0.1,-1.9,-1.8,0.0,192.0,369.0,0.52,3.0,8.0,0.375,189.0,361.0,0.524,0.524,62.0,88.0,0.705,71.0,103.0,174.0,81.0,16.0,14.0,68.0,103.0,449.0
6388,6388,1981.0,John Shumate,PF,28.0,SAS,22.0,,519.0,9.7,0.515,0.0,0.57,7.2,10.9,9.1,5.8,1.9,0.9,20.4,15.4,,0.1,0.5,0.5,0.05,,-2.2,0.1,-2.1,0.0,56.0,128.0,0.43799999999999994,0.0,0.0,,56.0,128.0,0.43799999999999994,0.43799999999999994,53.0,73.0,0.726,33.0,54.0,87.0,24.0,21.0,9.0,41.0,46.0,165.0
6392,6392,1981.0,James Silas,PG,31.0,SAS,75.0,,2055.0,19.4,0.557,0.002,0.441,2.4,9.5,6.1,20.7,1.2,0.3,11.8,26.1,,5.7,1.3,7.0,0.16399999999999998,,2.2,-2.5,-0.3,0.9,476.0,997.0,0.47700000000000004,0.0,2.0,0.0,476.0,995.0,0.478,0.47700000000000004,374.0,440.0,0.85,44.0,187.0,231.0,285.0,51.0,12.0,159.0,129.0,1326.0
6434,6434,1981.0,Michael Wiley,PF,23.0,SAS,33.0,,271.0,19.8,0.591,0.013999999999999999,0.348,9.2,16.2,12.9,6.5,1.4,1.2,15.0,27.4,,0.5,0.3,0.8,0.14400000000000002,,0.2,-3.2,-3.1,-0.1,76.0,138.0,0.551,0.0,2.0,0.0,76.0,136.0,0.5589999999999999,0.551,36.0,48.0,0.75,22.0,42.0,64.0,11.0,8.0,6.0,28.0,38.0,188.0
