,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22956,22956,2015.0,Bruno Caboclo,SF,19.0,TOR,8.0,0.0,23.0,-1.8,0.41700000000000004,0.25,0.0,5.0,5.0,5.0,0.0,0.0,3.5,25.0,31.5,,-0.1,0.0,-0.1,-0.275,,-12.6,-6.3,-18.9,-0.1,4.0,12.0,0.33299999999999996,2.0,3.0,0.667,2.0,9.0,0.222,0.41700000000000004,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,1.0,4.0,3.0,10.0
23022,23022,2015.0,DeMar DeRozan,SG,25.0,TOR,60.0,60.0,2100.0,17.4,0.51,0.08900000000000001,0.43799999999999994,2.3,12.9,7.6,17.0,1.8,0.4,10.4,28.4,,2.6,1.4,4.0,0.09,,-0.2,-1.4,-1.6,0.2,409.0,990.0,0.413,25.0,88.0,0.284,384.0,902.0,0.426,0.426,361.0,434.0,0.8320000000000001,41.0,236.0,277.0,210.0,73.0,11.0,137.0,122.0,1204.0
23057,23057,2015.0,Landry Fields,SF,26.0,TOR,26.0,9.0,216.0,10.8,0.527,0.049,0.146,5.3,8.5,6.9,10.1,2.6,0.0,15.5,10.8,,0.2,0.1,0.3,0.07200000000000001,,-1.5,0.1,-1.5,0.0,20.0,41.0,0.488,1.0,2.0,0.5,19.0,39.0,0.48700000000000004,0.5,5.0,6.0,0.833,10.0,16.0,26.0,15.0,11.0,0.0,8.0,9.0,46.0
23112,23112,2015.0,Tyler Hansbrough,PF,29.0,TOR,74.0,8.0,1058.0,13.3,0.597,0.042,0.8420000000000001,11.6,17.3,14.4,2.8,1.5,1.1,8.1,10.5,,2.6,0.9,3.4,0.156,,0.1,-0.5,-0.5,0.4,86.0,165.0,0.521,1.0,7.0,0.14300000000000002,85.0,158.0,0.5379999999999999,0.524,97.0,139.0,0.698,106.0,159.0,265.0,21.0,30.0,15.0,20.0,141.0,270.0
23122,23122,2015.0,Chuck Hayes,C,31.0,TOR,29.0,0.0,255.0,10.4,0.49200000000000005,0.0,0.239,8.1,14.9,11.5,11.3,2.0,1.3,13.6,10.4,,0.3,0.2,0.5,0.091,,-1.5,1.1,-0.4,0.1,22.0,46.0,0.478,0.0,0.0,,22.0,46.0,0.478,0.478,6.0,11.0,0.545,18.0,33.0,51.0,20.0,10.0,4.0,8.0,37.0,50.0
23166,23166,2015.0,Amir Johnson,PF,27.0,TOR,75.0,72.0,1979.0,15.4,0.603,0.08900000000000001,0.249,9.3,17.3,13.3,9.4,1.1,2.4,16.0,15.7,,3.5,1.6,5.1,0.124,,0.8,1.0,1.8,1.9,298.0,519.0,0.574,19.0,46.0,0.413,279.0,473.0,0.59,0.5920000000000001,79.0,129.0,0.612,159.0,297.0,456.0,117.0,44.0,59.0,110.0,225.0,694.0
23171,23171,2015.0,James Johnson,PF,27.0,TOR,70.0,17.0,1370.0,17.9,0.617,0.126,0.252,5.1,16.5,10.8,11.4,2.0,4.1,15.0,17.4,,2.5,1.6,4.1,0.14300000000000002,,0.6,2.0,2.7,1.6,238.0,404.0,0.589,11.0,51.0,0.21600000000000003,227.0,353.0,0.643,0.603,67.0,102.0,0.657,61.0,196.0,257.0,95.0,54.0,70.0,79.0,155.0,554.0
23221,23221,2015.0,Kyle Lowry,PG,28.0,TOR,70.0,70.0,2414.0,19.3,0.527,0.375,0.299,2.6,13.1,7.8,32.4,2.3,0.4,12.8,25.4,,5.1,2.0,7.1,0.141,,4.2,-0.6,3.6,3.4,430.0,1043.0,0.41200000000000003,132.0,391.0,0.33799999999999997,298.0,652.0,0.457,0.47600000000000003,252.0,312.0,0.8079999999999999,54.0,274.0,328.0,473.0,109.0,13.0,173.0,212.0,1244.0
23294,23294,2015.0,Lucas Nogueira,C,22.0,TOR,6.0,0.0,23.0,5.2,0.307,0.0,0.5,10.0,45.1,27.6,6.2,4.5,0.0,17.0,23.1,,-0.1,0.1,0.0,-0.071,,-11.0,0.7,-10.3,0.0,2.0,8.0,0.25,0.0,0.0,,2.0,8.0,0.25,0.25,2.0,4.0,0.5,2.0,9.0,11.0,1.0,2.0,0.0,2.0,6.0,6.0
23311,23311,2015.0,Patrick Patterson,PF,25.0,TOR,81.0,4.0,2156.0,14.6,0.568,0.529,0.15,6.8,16.3,11.6,10.7,1.4,1.6,8.7,13.1,,4.4,1.7,6.1,0.13699999999999998,,2.5,0.7,3.2,2.8,240.0,535.0,0.449,105.0,283.0,0.371,135.0,252.0,0.536,0.547,63.0,80.0,0.7879999999999999,127.0,306.0,433.0,155.0,60.0,44.0,54.0,149.0,648.0
