,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
23577,23577,2016.0,Trevor Booker,PF,28.0,UTA,79.0,2.0,1632.0,14.4,0.5329999999999999,0.106,0.273,11.9,20.4,16.2,8.2,1.9,2.1,15.7,14.6,,1.8,2.6,4.3,0.128,,-0.9,2.3,1.4,1.4,190.0,388.0,0.49,12.0,41.0,0.293,178.0,347.0,0.513,0.505,71.0,106.0,0.67,166.0,286.0,452.0,84.0,59.0,41.0,81.0,169.0,463.0
23591,23591,2016.0,Trey Burke,PG,23.0,UTA,64.0,0.0,1366.0,14.0,0.507,0.40399999999999997,0.129,1.5,8.0,4.8,19.7,1.4,0.4,10.7,25.3,,0.9,1.2,2.1,0.07400000000000001,,0.4,-2.5,-2.0,0.0,262.0,634.0,0.413,88.0,256.0,0.344,174.0,378.0,0.46,0.483,67.0,82.0,0.8170000000000001,18.0,94.0,112.0,148.0,35.0,6.0,80.0,86.0,679.0
23592,23592,2016.0,Alec Burks,SG,24.0,UTA,31.0,3.0,797.0,14.3,0.52,0.237,0.42200000000000004,2.4,13.6,8.0,13.9,1.2,0.4,11.4,25.9,,0.7,0.8,1.5,0.09,,-0.9,-1.6,-2.5,-0.1,137.0,334.0,0.41,32.0,79.0,0.405,105.0,255.0,0.41200000000000003,0.45799999999999996,106.0,141.0,0.752,16.0,93.0,109.0,63.0,18.0,4.0,51.0,71.0,412.0
23669,23669,2016.0,Derrick Favors,PF,24.0,UTA,62.0,59.0,1983.0,21.6,0.551,0.005,0.313,10.0,19.6,14.8,8.9,2.0,3.9,10.1,23.9,,3.8,3.4,7.1,0.17300000000000001,,0.4,2.3,2.7,2.3,418.0,811.0,0.515,0.0,4.0,0.0,418.0,807.0,0.518,0.515,180.0,254.0,0.7090000000000001,169.0,334.0,503.0,94.0,74.0,91.0,104.0,150.0,1016.0
23695,23695,2016.0,Rudy Gobert,C,23.0,UTA,61.0,60.0,1932.0,17.5,0.5820000000000001,0.0,0.799,12.6,27.7,20.2,7.4,1.2,5.9,19.2,14.2,,2.6,3.8,6.4,0.16,,-1.1,4.8,3.7,2.8,198.0,354.0,0.5589999999999999,0.0,0.0,,198.0,354.0,0.5589999999999999,0.5589999999999999,161.0,283.0,0.569,208.0,460.0,668.0,91.0,45.0,135.0,114.0,163.0,557.0
23708,23708,2016.0,Erick Green,PG,24.0,UTA,6.0,0.0,35.0,14.7,0.505,0.33299999999999996,0.16699999999999998,10.1,6.7,8.3,9.6,1.5,0.0,0.0,17.0,,0.1,0.0,0.1,0.162,,1.6,-2.2,-0.6,0.0,5.0,12.0,0.41700000000000004,1.0,4.0,0.25,4.0,8.0,0.5,0.45799999999999996,2.0,2.0,1.0,3.0,2.0,5.0,2.0,1.0,0.0,0.0,4.0,13.0
23736,23736,2016.0,Gordon Hayward,SF,25.0,UTA,80.0,80.0,2893.0,18.3,0.5589999999999999,0.341,0.397,2.5,13.5,8.0,18.2,1.7,0.8,12.5,25.7,,5.5,3.4,8.9,0.147,,2.6,-0.1,2.5,3.3,521.0,1202.0,0.433,143.0,410.0,0.349,378.0,792.0,0.47700000000000004,0.493,393.0,477.0,0.8240000000000001,61.0,336.0,397.0,296.0,95.0,27.0,202.0,183.0,1578.0
23761,23761,2016.0,Rodney Hood,SG,23.0,UTA,79.0,79.0,2541.0,14.1,0.542,0.462,0.20600000000000002,1.8,10.5,6.1,14.4,1.5,0.5,10.5,21.5,,3.4,2.5,6.0,0.11199999999999999,,1.6,-0.9,0.7,1.7,408.0,972.0,0.42,161.0,449.0,0.359,247.0,523.0,0.47200000000000003,0.503,172.0,200.0,0.86,38.0,229.0,267.0,213.0,73.0,16.0,125.0,202.0,1149.0
23776,23776,2016.0,Joe Ingles,SF,28.0,UTA,81.0,2.0,1241.0,10.3,0.5720000000000001,0.722,0.062,1.8,12.4,7.1,12.1,2.3,0.3,17.9,13.5,,0.7,1.6,2.3,0.08900000000000001,,-0.3,0.4,0.1,0.7,124.0,291.0,0.426,81.0,210.0,0.386,43.0,81.0,0.531,0.565,13.0,18.0,0.722,19.0,132.0,151.0,96.0,55.0,4.0,65.0,98.0,342.0
23793,23793,2016.0,Chris Johnson,SF,25.0,UTA,70.0,2.0,857.0,8.2,0.48200000000000004,0.51,0.21600000000000003,3.7,14.3,9.0,8.0,2.0,2.0,15.8,13.6,,-0.1,1.2,1.1,0.059000000000000004,,-2.7,1.3,-1.4,0.1,72.0,194.0,0.371,27.0,99.0,0.273,45.0,95.0,0.474,0.441,34.0,42.0,0.81,27.0,105.0,132.0,45.0,32.0,20.0,40.0,100.0,205.0
23850,23850,2016.0,Trey Lyles,PF,20.0,UTA,80.0,33.0,1382.0,11.6,0.517,0.294,0.188,5.0,20.2,12.6,7.1,1.0,1.1,12.1,17.9,,0.6,1.7,2.3,0.079,,-2.4,-0.4,-2.8,-0.3,191.0,436.0,0.43799999999999994,49.0,128.0,0.38299999999999995,142.0,308.0,0.461,0.494,57.0,82.0,0.695,59.0,240.0,299.0,59.0,26.0,18.0,65.0,114.0,488.0
23853,23853,2016.0,Shelvin Mack,PG,25.0,UTA,28.0,27.0,879.0,13.2,0.52,0.306,0.153,1.5,12.6,7.0,29.3,1.6,0.3,19.2,22.2,,0.2,0.9,1.2,0.064,,-0.3,-0.5,-0.8,0.3,142.0,320.0,0.444,35.0,98.0,0.35700000000000004,107.0,222.0,0.48200000000000004,0.498,36.0,49.0,0.735,11.0,95.0,106.0,149.0,26.0,3.0,81.0,65.0,355.0
23891,23891,2016.0,Elijah Millsap,SG,28.0,UTA,20.0,0.0,173.0,6.5,0.384,0.308,0.462,4.1,19.5,11.8,16.2,2.1,1.5,16.1,14.9,,-0.2,0.3,0.1,0.033,,-4.6,1.8,-2.8,0.0,11.0,39.0,0.282,1.0,12.0,0.083,10.0,27.0,0.37,0.295,13.0,18.0,0.722,6.0,29.0,35.0,19.0,7.0,3.0,9.0,33.0,36.0
23914,23914,2016.0,Raul Neto,PG,23.0,UTA,81.0,53.0,1499.0,10.2,0.53,0.38799999999999996,0.16699999999999998,1.3,8.0,4.7,18.7,2.2,0.1,19.5,17.2,,0.2,1.6,1.8,0.057999999999999996,,-1.6,-0.7,-2.3,-0.1,180.0,418.0,0.431,64.0,162.0,0.395,116.0,256.0,0.45299999999999996,0.507,52.0,70.0,0.743,17.0,103.0,120.0,174.0,62.0,2.0,109.0,122.0,476.0
23924,23924,2016.0,J.J. O'Brien,SF,23.0,UTA,2.0,0.0,6.0,1.3,0.0,0.0,0.0,0.0,19.4,9.7,0.0,8.8,0.0,0.0,7.7,,0.0,0.0,0.0,-0.027999999999999997,,-10.2,5.5,-4.7,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
23945,23945,2016.0,Tibor Pleiss,C,26.0,UTA,12.0,0.0,82.0,3.5,0.46399999999999997,0.08,0.08,8.6,12.8,10.7,4.0,0.6,2.1,23.6,19.1,,-0.2,0.1,-0.1,-0.040999999999999995,,-7.0,-1.1,-8.1,-0.1,11.0,25.0,0.44,0.0,2.0,0.0,11.0,23.0,0.478,0.44,2.0,2.0,1.0,6.0,9.0,15.0,2.0,1.0,2.0,8.0,19.0,24.0
24083,24083,2016.0,Jeff Withey,C,25.0,UTA,51.0,10.0,658.0,17.7,0.5770000000000001,0.012,0.364,10.0,20.7,15.4,5.0,1.7,6.8,13.0,15.1,,1.1,1.3,2.3,0.171,,-2.0,3.7,1.7,0.6,87.0,162.0,0.537,0.0,2.0,0.0,87.0,160.0,0.544,0.537,43.0,59.0,0.7290000000000001,56.0,117.0,173.0,20.0,21.0,53.0,28.0,75.0,217.0
