,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21136,21136,2012.0,Morris Almond,SG,26.0,WAS,4.0,0.0,67.0,8.7,0.382,0.17600000000000002,0.17600000000000002,1.7,11.9,6.7,4.4,5.4,0.0,5.2,12.9,,-0.1,0.1,0.0,0.032,,-3.8,1.8,-2.0,0.0,6.0,17.0,0.353,1.0,3.0,0.33299999999999996,5.0,14.0,0.35700000000000004,0.382,1.0,3.0,0.33299999999999996,1.0,7.0,8.0,2.0,7.0,0.0,1.0,6.0,14.0
21177,21177,2012.0,Andray Blatche,PF,25.0,WAS,26.0,13.0,626.0,10.6,0.415,0.028999999999999998,0.2,7.5,19.6,13.5,7.3,1.7,2.1,12.2,21.7,,-0.8,0.6,-0.1,-0.011000000000000001,,-4.8,-0.3,-5.1,-0.5,93.0,245.0,0.38,2.0,7.0,0.28600000000000003,91.0,238.0,0.382,0.384,33.0,49.0,0.6729999999999999,42.0,108.0,150.0,28.0,20.0,17.0,37.0,54.0,221.0
21182,21182,2012.0,Trevor Booker,PF,24.0,WAS,50.0,32.0,1261.0,15.4,0.5489999999999999,0.006,0.273,10.6,18.6,14.5,5.1,2.0,2.6,13.2,15.6,,1.6,1.4,3.0,0.113,,-0.7,1.0,0.3,0.7,181.0,341.0,0.531,1.0,2.0,0.5,180.0,339.0,0.531,0.532,56.0,93.0,0.602,119.0,206.0,325.0,40.0,48.0,43.0,58.0,138.0,419.0
21229,21229,2012.0,Brian Cook,PF,31.0,WAS,16.0,0.0,155.0,10.4,0.484,0.469,0.122,4.3,25.0,14.6,8.2,1.3,0.5,11.9,16.9,,0.0,0.2,0.2,0.057999999999999996,,-2.5,-1.6,-4.0,-0.1,20.0,49.0,0.408,5.0,23.0,0.217,15.0,26.0,0.5770000000000001,0.45899999999999996,5.0,6.0,0.833,6.0,34.0,40.0,8.0,4.0,1.0,7.0,22.0,50.0
21233,21233,2012.0,Jordan Crawford,SG,23.0,WAS,64.0,32.0,1753.0,14.5,0.488,0.313,0.233,2.8,8.1,5.4,19.3,1.7,0.2,12.8,28.1,,0.3,0.7,1.1,0.028999999999999998,,0.7,-3.0,-2.3,-0.2,349.0,872.0,0.4,79.0,273.0,0.289,270.0,599.0,0.451,0.446,161.0,203.0,0.7929999999999999,44.0,124.0,168.0,190.0,59.0,5.0,141.0,111.0,938.0
21275,21275,2012.0,Maurice Evans,SF,33.0,WAS,24.0,0.0,343.0,9.0,0.49700000000000005,0.402,0.11599999999999999,2.6,5.3,3.9,4.2,2.1,0.0,7.8,16.7,,0.2,0.1,0.3,0.040999999999999995,,-1.2,-2.6,-3.8,-0.2,45.0,112.0,0.402,17.0,45.0,0.37799999999999995,28.0,67.0,0.418,0.478,10.0,13.0,0.769,8.0,16.0,24.0,9.0,14.0,0.0,10.0,36.0,117.0
21361,21361,2012.0,Nene Hilario,C,29.0,WAS,11.0,6.0,284.0,24.2,0.624,0.018000000000000002,0.313,7.9,25.3,16.5,12.8,1.1,3.5,13.0,23.1,,0.8,0.3,1.1,0.191,,1.8,0.6,2.4,0.3,68.0,112.0,0.607,0.0,2.0,0.0,68.0,110.0,0.618,0.607,23.0,35.0,0.657,20.0,63.0,83.0,19.0,6.0,13.0,19.0,26.0,159.0
21447,21447,2012.0,Rashard Lewis,SF,32.0,WAS,28.0,15.0,729.0,9.3,0.457,0.303,0.16699999999999998,5.2,11.7,8.4,5.7,1.6,1.1,11.9,16.5,,-0.2,0.4,0.3,0.018000000000000002,,-2.2,-0.8,-3.0,-0.2,85.0,221.0,0.385,16.0,67.0,0.239,69.0,154.0,0.44799999999999995,0.42100000000000004,31.0,37.0,0.838,34.0,75.0,109.0,27.0,23.0,10.0,32.0,49.0,217.0
21456,21456,2012.0,Shelvin Mack,PG,21.0,WAS,64.0,0.0,779.0,11.9,0.46799999999999997,0.191,0.268,1.7,11.7,6.7,26.0,1.9,0.2,16.3,16.9,,0.2,0.5,0.7,0.042,,-2.1,-1.8,-3.9,-0.4,88.0,220.0,0.4,12.0,42.0,0.28600000000000003,76.0,178.0,0.42700000000000005,0.42700000000000005,42.0,59.0,0.7120000000000001,12.0,80.0,92.0,131.0,28.0,2.0,48.0,50.0,230.0
21462,21462,2012.0,Cartier Martin,SF,27.0,WAS,17.0,2.0,391.0,12.8,0.555,0.56,0.142,3.4,13.4,8.4,4.2,1.5,0.4,8.4,17.8,,0.5,0.2,0.7,0.09,,0.9,-2.5,-1.6,0.0,59.0,134.0,0.44,29.0,75.0,0.387,30.0,59.0,0.508,0.5489999999999999,11.0,19.0,0.579,12.0,46.0,58.0,10.0,11.0,2.0,13.0,35.0,158.0
