State,Team,TeamAbr,StateAbr,City
Arizona,Phoenix Suns,PHO,AZ, Phoenix
Arizona,Phoenix Suns,PHX,AZ, Phoenix
California,Golden State Warriors,GSW,CA,San Fransisco
Oklahoma,Oklahoma City Thunder,OKC,SEA, Oklahoma
California,Los Angeles Clippers,LAC,CA,Los Angeles
California,Los Angeles Clippers,SDC,CA,San Diego
California,Los Angeles Lakers,LAL,CA,Los Angeles
California,Sacramento Kings,SAC,CA, Sacramento
Colorado,Denver Nuggets,DEN,CO, Denver
Florida,Miami Heat,MIA,FL,Miami
Florida,Orlando Magic,ORL,FL,Orlando
Georgia,Atlanta Hawks,ATL,GA,Atlanta
Illinois,Chicago Bulls,CHI,IL,Chicago
Indiana,Indiana Pacers,IND,IN,Indiana
Louisiana,New Orleans Pelicans,NOP,LA,New Orleans
Massachusetts,Boston Celtics,BOS,MA, Boston
Michigan,Detroit Pistons,DET,MI,Detroit
Minnesota,Minnesota Timberwolves,MIN,MN,Minnesota
New York,Brooklyn Nets,BKN,NY, Brooklyn
New York,New York Knicks,NYK,NY,New York
Louisiana,New Orleans Pelicans,NOK,LA,New Orleans
North Carolina,Charlotte Hornets,CHA,NC, Charlotte
Ohio,Cleveland Cavaliers,CLE,OH, Cleveland
Oklahoma,Oklahoma City Thunder,OKC,OK, Oklahoma
Oregon,Portland Trail Blazers,POR,OR,Portland
Pennsylvania,Philadelphia 76ers,PHI,PA, Philadelphia
Tennessee,Memphis Grizzlies,MEM,TN, Memphis
Texas,Dallas Mavericks,DAL,TX,Dallas
Texas,Houston Rockets,HOU,TX,Houston
Texas,San Antonio Spurs,SAS,TX,San Antonio
Utah,Utah Jazz,UTA,UT,Utah
Wisconsin,Milwaukee Bucks,MIL,WI,Milwaukee
Washington DC,Washington Wizards,WAS,WA,Washington
Ontario,Toronto Raptors,TOR,ON,Toronto
New York,Brooklyn Nets,NJN,NY, Brooklyn
Ontario,Toronto Raptors,TOT,ON,Toronto

