Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DEN,13386,1997.0,Aaron Williams,C,25.0,1.0,0.0,10.0,19.1,0.6,0.0,0.0,23.1,33.8,28.5,0.0,0.0,20.5,44.4,40.2,,-0.1,0.0,-0.1,-0.281,,-17.9,1.2,-16.8,0.0,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,3.0,4.0,0.0,6.0
LAC,19307,2008.0,Aaron Williams,PF,36.0,38.0,7.0,374.0,10.3,0.606,0.019,0.415,8.7,18.4,13.6,4.9,2.1,3.8,22.3,11.8,,0.2,0.4,0.7,0.08900000000000001,,-3.6,2.4,-2.3,0.0,29.0,55.0,0.547,0.0,1.0,0.0,29.0,55.0,0.5579999999999999,0.547,18.0,22.0,0.818,27.0,58.0,85.0,9.0,12.0,15.0,18.0,56.0,76.0
MIL,12268,1995.0,Aaron Williams,PF,23.0,15.0,0.0,72.0,7.0,0.41,0.042,0.5,8.1,24.1,15.9,0.0,1.4,6.2,19.3,22.3,,-0.2,0.1,-0.1,-0.067,,-11.8,-2.9,-14.7,-0.2,8.0,24.0,0.33299999999999996,0.0,1.0,0.0,8.0,23.0,0.348,0.33299999999999996,8.0,12.0,0.667,5.0,14.0,19.0,0.0,2.0,6.0,7.0,14.0,24.0
NJN,17641,2005.0,Aaron Williams,PF,33.0,82.0,25.0,2336.0,15.2,0.589,0.009000000000000001,0.47700000000000004,10.1,19.5,14.5,10.4,1.4,3.6,25.9,17.8,,2.9,2.5,5.2,0.154,,-1.3,1.6,0.1,0.9,297.0,650.0,0.526,1.0,3.0,0.33299999999999996,297.0,648.0,0.529,0.526,244.0,310.0,0.9,211.0,379.0,590.0,88.0,59.0,113.0,132.0,319.0,838.0
NOK,18206,2006.0,Aaron Williams,C,34.0,34.0,2.0,692.0,12.2,0.5479999999999999,0.0,0.331,9.9,18.9,14.3,3.9,1.0,2.1,12.2,13.8,,0.8,0.7,1.5,0.10300000000000001,,-2.0,0.3,-1.7,0.1,81.0,157.0,0.516,0.0,0.0,,81.0,157.0,0.516,0.516,35.0,52.0,0.6729999999999999,59.0,107.0,166.0,16.0,13.0,18.0,25.0,110.0,197.0
SEA,14444,1999.0,Aaron Williams,PF,27.0,65.0,9.0,757.0,15.2,0.575,0.008,0.602,13.4,18.9,16.1,7.8,1.6,3.9,16.3,18.8,,0.7,1.0,1.7,0.11,,-2.2,0.4,-1.8,0.0,115.0,220.0,0.523,0.0,1.0,0.0,115.0,219.0,0.525,0.523,66.0,85.0,0.7759999999999999,54.0,99.0,147.0,22.0,19.0,38.0,50.0,119.0,296.0
TOR,18205,2006.0,Aaron Williams,C,34.0,23.0,4.0,165.0,7.2,0.578,0.0,0.316,6.7,13.3,9.9,1.9,2.1,2.4,18.8,12.5,,0.0,0.1,0.1,0.048,,-3.6,-0.5,-4.2,-0.1,15.0,36.0,0.526,0.0,0.0,,15.0,36.0,0.526,0.526,6.0,7.0,0.857,10.0,19.0,29.0,2.0,4.0,3.0,6.0,45.0,36.0
TOT,18204,2006.0,Aaron Williams,PF-C,34.0,48.0,5.0,791.0,16.4,0.599,0.006999999999999999,0.331,12.6,18.2,14.7,4.7,1.5,3.9,19.4,16.6,,0.8,0.8,1.6,0.098,,-1.7,0.2,-2.0,0.0,91.0,176.0,0.574,0.0,1.0,0.0,91.0,176.0,0.578,0.574,40.0,58.0,0.882,64.0,117.0,181.0,17.0,17.0,29.0,32.0,138.0,222.0
UTA,11812,1994.0,Aaron Williams,PF,22.0,6.0,0.0,12.0,-7.0,0.237,0.0,0.125,9.8,19.0,14.4,13.0,0.0,0.0,10.6,34.8,,-0.1,0.0,-0.1,-0.327,,-13.7,-4.3,-18.0,0.0,2.0,8.0,0.25,0.0,0.0,,2.0,8.0,0.25,0.25,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,4.0
VAN,13387,1997.0,Aaron Williams,PF,25.0,32.0,1.0,553.0,16.4,0.599,0.006999999999999999,0.34299999999999997,12.4,16.6,14.5,4.8,1.6,3.6,14.5,16.2,,0.8,0.4,1.2,0.10400000000000001,,-1.4,-0.4,-1.8,0.0,82.0,143.0,0.573,0.0,1.0,0.0,82.0,142.0,0.5770000000000001,0.573,33.0,49.0,0.6729999999999999,60.0,78.0,138.0,15.0,16.0,26.0,28.0,72.0,197.0
WAS,14946,2000.0,Aaron Williams,PF,28.0,81.0,0.0,1545.0,17.7,0.5720000000000001,0.006999999999999999,0.447,11.7,18.9,15.2,6.2,1.4,4.3,12.9,17.8,,3.2,1.6,4.8,0.15,,0.3,1.2,1.5,1.4,235.0,450.0,0.522,0.0,3.0,0.0,235.0,447.0,0.526,0.522,146.0,201.0,0.726,159.0,250.0,409.0,58.0,41.0,92.0,80.0,234.0,616.0
