Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CLE,15810,2002.0,Andre Miller,PG,25.0,82.0,82.0,3023.0,21.8,0.541,0.083,0.45,4.5,10.8,7.5,49.8,2.2,0.8,18.1,23.2,,8.7,1.9,10.3,0.163,,4.7,-0.6,3.4,4.1,474.0,1045.0,0.45399999999999996,22.0,87.0,0.266,452.0,958.0,0.47200000000000003,0.46399999999999997,375.0,450.0,0.833,108.0,271.0,379.0,882.0,126.0,34.0,265.0,229.0,1335.0
LAC,16293,2003.0,Andre Miller,PG,26.0,80.0,80.0,2913.0,15.2,0.495,0.11599999999999999,0.42100000000000004,3.3,9.0,6.1,31.3,1.8,0.3,15.8,20.3,,3.6,1.0,4.6,0.076,,0.9,-1.4,-0.5,1.1,377.0,928.0,0.406,23.0,108.0,0.213,354.0,820.0,0.43200000000000005,0.419,311.0,391.0,0.795,84.0,232.0,316.0,537.0,99.0,11.0,206.0,203.0,1088.0
PHI,19698,2009.0,Andre Miller,PG,32.0,82.0,82.0,3016.0,18.6,0.5479999999999999,0.051,0.39299999999999996,4.9,9.9,7.4,32.7,2.0,0.4,16.9,22.6,,6.2,2.6,8.8,0.141,,2.8,0.1,2.8,3.6,569.0,1156.0,0.49200000000000005,15.0,53.0,0.28300000000000003,566.0,1122.0,0.504,0.494,338.0,409.0,0.826,123.0,245.0,368.0,565.0,109.0,14.0,206.0,196.0,1398.0
POR,20898,2011.0,Andre Miller,PG,34.0,82.0,81.0,2650.0,18.1,0.53,0.08800000000000001,0.43200000000000005,4.3,9.9,7.0,35.7,2.3,0.4,16.8,23.8,,4.6,2.4,7.0,0.134,,1.9,-0.2,1.6,2.3,404.0,908.0,0.46,16.0,80.0,0.2,388.0,828.0,0.47600000000000003,0.462,322.0,392.0,0.853,97.0,205.0,302.0,566.0,114.0,12.0,197.0,171.0,1146.0
DEN,22638,2014.0,Andre Miller,SG,37.0,82.0,82.0,2937.0,18.8,0.5479999999999999,0.15,0.486,5.0,10.8,7.3,38.7,2.6,0.9,22.0,20.7,,6.1,2.9,8.8,0.14800000000000002,,2.6,0.2,2.8,3.4,430.0,941.0,0.479,18.0,83.0,0.5,421.0,876.0,0.504,0.493,342.0,424.0,0.84,127.0,259.0,366.0,674.0,142.0,25.0,256.0,213.0,1214.0
SAC,23256,2015.0,Andre Miller,PG,38.0,30.0,0.0,622.0,12.3,0.522,0.17600000000000002,0.257,3.0,10.6,6.9,34.9,1.5,0.5,26.0,15.8,,0.3,0.2,0.6,0.043,,-1.4,-2.0,-3.4,-0.2,68.0,148.0,0.45899999999999996,6.0,26.0,0.231,62.0,122.0,0.508,0.48,30.0,38.0,0.789,16.0,60.0,76.0,141.0,18.0,4.0,58.0,47.0,172.0
WAS,23255,2015.0,Andre Miller,SG,38.0,51.0,0.0,631.0,14.6,0.575,0.055999999999999994,0.345,3.8,12.9,8.0,34.1,2.4,0.4,22.4,14.8,,1.0,0.6,1.6,0.132,,-1.1,-0.2,-2.0,0.0,77.0,142.0,0.542,2.0,8.0,0.667,76.0,134.0,0.5670000000000001,0.546,28.0,39.0,0.833,21.0,56.0,77.0,143.0,19.0,2.0,46.0,56.0,183.0
MIN,23887,2016.0,Andre Miller,PG,39.0,26.0,0.0,280.0,13.7,0.6629999999999999,0.069,0.32799999999999996,2.5,7.4,5.0,31.9,1.6,0.0,27.4,14.6,,0.5,0.1,0.5,0.08800000000000001,,-0.8,-3.7,-4.5,-0.2,36.0,58.0,0.621,1.0,4.0,0.25,35.0,54.0,0.648,0.629,15.0,19.0,0.789,6.0,18.0,24.0,58.0,9.0,0.0,25.0,32.0,88.0
SAS,23888,2016.0,Andre Miller,PG,39.0,13.0,4.0,181.0,12.9,0.521,0.083,0.271,3.9,12.8,8.5,22.6,2.0,0.0,18.3,16.6,,0.1,0.3,0.4,0.11800000000000001,,-1.5,1.0,-0.5,0.1,23.0,48.0,0.479,1.0,4.0,0.25,22.0,44.0,0.5,0.49,9.0,13.0,0.6920000000000001,6.0,21.0,27.0,29.0,7.0,0.0,12.0,14.0,56.0
TOT,23886,2016.0,Andre Miller,SG,39.0,81.0,79.0,2966.0,16.1,0.6,0.11699999999999999,0.33299999999999996,3.9,11.7,7.4,34.5,1.9,0.7,24.3,19.2,,3.5,2.4,5.9,0.10800000000000001,,0.8,-0.3,0.5,1.9,424.0,909.0,0.557,11.0,35.0,0.524,419.0,874.0,0.5820000000000001,0.5660000000000001,222.0,283.0,0.784,97.0,255.0,352.0,625.0,110.0,10.0,222.0,184.0,1075.0
