Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHH,13022,1997.0,Anthony Goldwire,PG,25.0,42.0,9.0,621.0,11.6,0.5539999999999999,0.532,0.317,1.5,7.1,4.2,27.4,1.8,0.1,22.6,20.3,,0.6,0.2,0.8,0.068,,-0.1,-3.2,-3.3,-0.2,76.0,189.0,0.40299999999999997,36.0,83.0,0.439,43.0,106.0,0.406,0.519,46.0,60.0,0.767,8.0,35.0,43.0,112.0,19.0,1.0,63.0,79.0,231.0
DEN,15143,2001.0,Anthony Goldwire,PG,29.0,82.0,32.0,2212.0,13.6,0.523,0.425,0.292,2.1,6.8,4.3,32.8,2.3,0.2,15.4,22.7,,3.3,0.1,3.0,0.066,,0.4,-3.3,-2.9,-0.2,269.0,636.0,0.423,63.0,164.0,0.39399999999999996,206.0,472.0,0.457,0.47200000000000003,150.0,186.0,0.816,40.0,107.0,147.0,277.0,86.0,7.0,85.0,149.0,751.0
DET,17276,2005.0,Anthony Goldwire,PG,33.0,9.0,0.0,55.0,7.4,0.486,0.6,0.5329999999999999,2.2,14.8,8.5,0.0,0.0,0.0,5.1,16.7,,0.0,0.1,0.1,0.09300000000000001,,-4.3,-5.7,-10.0,-0.1,4.0,15.0,0.267,3.0,9.0,0.33299999999999996,1.0,6.0,0.16699999999999998,0.36700000000000005,7.0,8.0,0.875,1.0,7.0,8.0,0.0,0.0,0.0,1.0,5.0,18.0
LAC,17850,2006.0,Anthony Goldwire,PG,34.0,3.0,0.0,22.0,-5.5,0.14300000000000002,0.28600000000000003,0.0,0.0,5.1,2.6,12.8,0.0,0.0,12.5,16.8,,-0.1,0.0,-0.1,-0.245,,-11.7,-3.8,-15.5,-0.1,1.0,7.0,0.14300000000000002,0.0,2.0,0.0,1.0,5.0,0.2,0.14300000000000002,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0
MIL,17277,2005.0,Anthony Goldwire,PG,33.0,24.0,2.0,482.0,15.9,0.5870000000000001,0.5870000000000001,0.19,2.2,10.3,6.2,25.3,1.6,0.0,9.6,13.7,,1.3,0.2,1.4,0.14300000000000002,,3.2,-2.0,1.2,0.4,53.0,121.0,0.43799999999999994,29.0,71.0,0.408,24.0,50.0,0.48,0.5579999999999999,19.0,23.0,0.826,9.0,42.0,51.0,78.0,15.0,0.0,14.0,27.0,154.0
MIN,16688,2004.0,Anthony Goldwire,PG,32.0,5.0,0.0,66.0,10.7,0.45,0.429,0.071,1.8,8.2,5.2,21.9,2.5,0.0,12.2,11.7,,0.1,0.1,0.1,0.098,,-1.6,-0.6,-2.2,0.0,5.0,14.0,0.35700000000000004,2.0,6.0,0.33299999999999996,3.0,8.0,0.375,0.429,1.0,1.0,1.0,1.0,5.0,6.0,10.0,3.0,0.0,2.0,5.0,13.0
NJN,16689,2004.0,Anthony Goldwire,PG,32.0,6.0,0.0,19.0,2.4,0.25,0.25,0.0,0.0,6.2,3.1,8.6,5.6,0.0,11.1,22.2,,-0.1,0.0,-0.1,-0.155,,-10.1,0.2,-9.9,0.0,2.0,8.0,0.25,0.0,2.0,0.0,2.0,6.0,0.33299999999999996,0.25,0.0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0
SAS,16162,2003.0,Anthony Goldwire,PG,31.0,10.0,0.0,51.0,2.5,0.318,0.444,0.111,0.0,6.5,3.4,9.3,3.1,0.0,9.6,19.0,,-0.1,0.1,-0.1,-0.069,,-6.0,-1.3,-7.3,-0.1,5.0,18.0,0.278,2.0,8.0,0.25,3.0,10.0,0.3,0.33299999999999996,0.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,2.0,5.0,12.0
TOT,17275,2005.0,Anthony Goldwire,PG,33.0,60.0,30.0,1188.0,15.1,0.575,0.588,0.28,2.2,10.8,6.4,29.1,3.2,0.1,17.6,18.7,,1.4,0.3,1.7,0.138,,2.4,-0.4,0.0,0.3,131.0,330.0,0.419,64.0,153.0,0.418,67.0,177.0,0.446,0.537,61.0,78.0,1.0,12.0,72.0,84.0,219.0,33.0,2.0,76.0,104.0,387.0
WAS,16163,2003.0,Anthony Goldwire,PG,31.0,5.0,0.0,34.0,9.6,0.7070000000000001,0.14300000000000002,0.7140000000000001,0.0,10.5,5.2,5.0,0.0,0.0,30.3,18.3,,0.0,0.0,0.0,0.016,,-4.6,-3.9,-8.5,-0.1,4.0,7.0,0.5710000000000001,1.0,1.0,1.0,3.0,6.0,0.5,0.643,4.0,5.0,0.8,0.0,3.0,3.0,1.0,0.0,0.0,4.0,1.0,13.0
