Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CLE,14502,2000.0,Benoit Benjamin,C,35.0,3.0,0.0,8.0,5.5,0.33299999999999996,0.0,0.0,0.0,14.1,7.0,0.0,0.0,9.0,0.0,16.3,,0.0,0.0,0.0,-0.036000000000000004,,-10.6,-0.4,-11.0,0.0,1.0,3.0,0.33299999999999996,0.0,0.0,,1.0,3.0,0.33299999999999996,0.33299999999999996,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
LAC,10038,1991.0,Benoit Benjamin,C,26.0,79.0,62.0,2585.0,17.4,0.593,0.012,0.47,8.4,30.7,18.9,12.2,1.4,5.9,21.7,20.6,,2.3,3.7,5.4,0.113,,-1.3,4.3,1.9,2.3,491.0,907.0,0.541,1.0,8.0,0.33299999999999996,491.0,905.0,0.5429999999999999,0.541,317.0,426.0,0.746,164.0,532.0,696.0,172.0,64.0,225.0,237.0,286.0,1299.0
LAL,10945,1993.0,Benoit Benjamin,C,28.0,28.0,0.0,306.0,11.0,0.507,0.0,0.34299999999999997,8.9,27.1,17.9,4.9,2.3,2.6,22.5,22.4,,-0.5,0.5,0.0,0.003,,-6.4,0.1,-6.4,-0.3,52.0,108.0,0.48100000000000004,0.0,0.0,,52.0,108.0,0.48100000000000004,0.48100000000000004,22.0,37.0,0.595,24.0,72.0,96.0,10.0,14.0,13.0,36.0,61.0,126.0
MIL,12325,1996.0,Benoit Benjamin,C,31.0,70.0,58.0,1492.0,14.6,0.5579999999999999,0.006999999999999999,0.322,8.9,27.3,17.9,5.2,1.2,3.6,18.3,18.4,,0.5,1.7,2.2,0.07,,-3.5,0.6,-2.9,-0.3,223.0,429.0,0.52,0.0,3.0,0.0,223.0,426.0,0.523,0.52,101.0,138.0,0.732,110.0,326.0,436.0,48.0,35.0,70.0,110.0,184.0,547.0
NJN,11866,1995.0,Benoit Benjamin,C,30.0,77.0,74.0,1817.0,14.2,0.555,0.0,0.363,7.7,23.7,15.1,4.2,1.0,3.1,17.1,20.1,,1.4,2.6,4.1,0.107,,-2.8,0.4,-2.4,-0.2,283.0,589.0,0.51,0.0,0.0,,283.0,589.0,0.51,0.51,152.0,214.0,0.76,135.0,364.0,499.0,44.0,35.0,90.0,125.0,198.0,718.0
PHI,13994,1999.0,Benoit Benjamin,C,34.0,14.0,0.0,197.0,12.5,0.581,0.0,0.732,10.4,20.6,15.5,4.9,1.1,1.5,30.0,15.1,,0.2,0.2,0.4,0.098,,-3.1,-1.7,-4.8,-0.1,22.0,41.0,0.537,0.0,0.0,,22.0,41.0,0.537,0.537,19.0,30.0,0.633,18.0,35.0,53.0,3.0,4.0,4.0,12.0,26.0,63.0
SEA,10944,1993.0,Benoit Benjamin,C,28.0,63.0,61.0,1941.0,15.1,0.544,0.003,0.41100000000000003,8.1,25.9,16.9,7.1,1.9,5.2,20.8,22.2,,0.0,2.5,2.2,0.09300000000000001,,-2.9,1.7,-1.2,0.2,354.0,740.0,0.502,0.0,2.0,0.0,354.0,738.0,0.502,0.502,171.0,249.0,0.701,130.0,383.0,513.0,76.0,39.0,118.0,175.0,185.0,879.0
TOR,12871,1997.0,Benoit Benjamin,C,32.0,4.0,3.0,44.0,8.9,0.47200000000000003,0.0,0.33299999999999996,7.8,16.5,12.0,3.7,1.2,0.0,12.7,16.0,,0.0,0.0,0.0,0.033,,-5.5,-3.0,-8.4,-0.1,5.0,12.0,0.41700000000000004,0.0,0.0,,5.0,12.0,0.41700000000000004,0.41700000000000004,3.0,4.0,0.75,3.0,6.0,9.0,1.0,1.0,0.0,2.0,5.0,13.0
TOT,12323,1996.0,Benoit Benjamin,C,31.0,83.0,71.0,2236.0,15.1,0.541,0.005,0.384,8.8,28.7,18.1,7.7,2.1,4.2,20.6,22.2,,0.1,3.7,3.0,0.064,,-3.5,2.3,-1.1,0.5,386.0,778.0,0.498,0.0,3.0,0.0,386.0,778.0,0.501,0.498,210.0,295.0,0.722,157.0,566.0,723.0,119.0,54.0,145.0,235.0,224.0,982.0
VAN,12324,1996.0,Benoit Benjamin,C,31.0,13.0,13.0,404.0,13.6,0.488,0.0,0.348,8.7,21.7,15.0,7.6,1.3,2.8,15.5,24.8,,-0.4,0.5,0.1,0.01,,-5.0,0.1,-4.9,-0.3,71.0,161.0,0.441,0.0,0.0,,71.0,161.0,0.441,0.441,39.0,56.0,0.696,31.0,72.0,103.0,16.0,10.0,15.0,34.0,40.0,181.0
