Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIA,16579,2004.0,Caron Butler,SF,23.0,78.0,78.0,2858.0,15.1,0.502,0.10400000000000001,0.363,5.3,13.6,9.4,14.1,2.6,0.9,13.8,22.9,,1.6,3.6,5.1,0.086,,0.1,1.6,1.7,2.7,429.0,1032.0,0.41600000000000004,34.0,107.0,0.318,395.0,925.0,0.42700000000000005,0.43200000000000005,309.0,375.0,0.8240000000000001,135.0,262.0,397.0,213.0,137.0,31.0,192.0,230.0,1201.0
LAL,17163,2005.0,Caron Butler,SF,24.0,77.0,77.0,2746.0,15.8,0.528,0.126,0.322,6.0,12.4,9.2,9.3,2.1,0.6,9.9,20.7,,4.1,1.2,5.3,0.09300000000000001,,0.4,-0.7,-0.2,1.2,441.0,991.0,0.445,38.0,125.0,0.304,403.0,866.0,0.465,0.46399999999999997,275.0,319.0,0.862,146.0,304.0,450.0,146.0,110.0,23.0,125.0,213.0,1195.0
WAS,20009,2010.0,Caron Butler,SG,29.0,75.0,67.0,2708.0,20.7,0.5579999999999999,0.196,0.371,6.6,15.6,10.8,21.9,3.0,0.7,14.3,25.9,,4.8,2.8,7.2,0.15,,3.7,1.0,4.7,3.9,494.0,1086.0,0.466,66.0,210.0,0.35700000000000004,453.0,966.0,0.49200000000000005,0.501,345.0,402.0,0.9009999999999999,147.0,352.0,467.0,290.0,134.0,20.0,210.0,238.0,1392.0
DAL,20602,2011.0,Caron Butler,SG,30.0,29.0,29.0,930.0,14.2,0.523,0.172,0.29100000000000004,4.5,13.3,8.9,9.1,2.7,0.7,10.5,25.1,,0.2,1.2,1.4,0.075,,-1.1,0.8,-0.3,0.4,170.0,378.0,0.45,28.0,65.0,0.431,142.0,313.0,0.456,0.48700000000000004,79.0,104.0,0.773,36.0,109.0,145.0,49.0,48.0,9.0,49.0,67.0,436.0
LAC,21760,2013.0,Caron Butler,SF,32.0,78.0,78.0,1879.0,12.4,0.535,0.45799999999999996,0.152,2.8,12.0,7.3,6.8,1.5,0.5,9.3,20.4,,1.9,1.6,3.6,0.091,,0.3,-1.5,-1.6,0.2,305.0,720.0,0.424,128.0,330.0,0.38799999999999996,195.0,448.0,0.45399999999999996,0.513,87.0,107.0,0.833,44.0,186.0,230.0,78.0,52.0,11.0,77.0,139.0,813.0
MIL,22354,2014.0,Caron Butler,SF,33.0,34.0,13.0,821.0,12.4,0.494,0.415,0.158,2.2,20.5,11.0,11.9,1.5,1.1,12.1,23.7,,-0.2,0.5,0.2,0.013999999999999999,,-1.7,-2.1,-3.9,-0.4,137.0,354.0,0.387,53.0,147.0,0.361,84.0,207.0,0.406,0.462,47.0,56.0,0.8390000000000001,16.0,142.0,158.0,56.0,23.0,11.0,52.0,64.0,374.0
OKC,22355,2014.0,Caron Butler,SF,33.0,22.0,0.0,598.0,11.9,0.5479999999999999,0.5479999999999999,0.102,1.0,11.9,6.7,6.4,2.0,0.8,4.0,15.0,,0.9,0.7,1.6,0.127,,0.6,-0.4,0.2,0.3,76.0,186.0,0.409,45.0,102.0,0.441,31.0,84.0,0.369,0.53,16.0,19.0,0.8420000000000001,5.0,66.0,71.0,26.0,24.0,6.0,8.0,56.0,213.0
TOT,22353,2014.0,Caron Butler,SF-SG,33.0,74.0,74.0,2783.0,13.7,0.512,0.461,0.3,4.3,16.8,9.5,9.6,2.2,1.0,11.9,22.1,,0.6,2.9,3.5,0.062,,-0.7,0.4,-0.6,1.0,450.0,1051.0,0.428,98.0,249.0,0.39399999999999996,408.0,906.0,0.45,0.485,264.0,315.0,0.84,104.0,357.0,461.0,156.0,116.0,24.0,160.0,193.0,1206.0
DET,22951,2015.0,Caron Butler,SF,34.0,78.0,21.0,1623.0,9.3,0.544,0.5529999999999999,0.154,1.4,12.2,6.6,7.3,1.4,0.2,10.4,12.9,,1.3,1.0,2.4,0.07,,-1.0,-0.5,-1.5,0.2,161.0,396.0,0.40700000000000003,83.0,219.0,0.379,78.0,177.0,0.441,0.511,55.0,61.0,0.902,21.0,175.0,196.0,79.0,43.0,4.0,49.0,120.0,460.0
SAC,23593,2016.0,Caron Butler,SF,35.0,17.0,1.0,176.0,11.3,0.49,0.305,0.203,3.1,10.4,6.8,8.3,2.5,0.5,4.5,16.2,,0.1,0.1,0.3,0.071,,-1.5,-1.1,-2.6,0.0,25.0,59.0,0.424,3.0,18.0,0.16699999999999998,22.0,41.0,0.537,0.449,10.0,12.0,0.833,5.0,17.0,22.0,10.0,9.0,1.0,3.0,19.0,63.0
