Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,13472,1998.0,Chucky Brown,SF,29.0,77.0,8.0,1202.0,10.5,0.47200000000000003,0.022000000000000002,0.23399999999999999,5.8,11.9,9.0,7.7,1.0,0.8,11.1,17.8,,0.5,0.9,1.4,0.055999999999999994,,-2.9,-1.5,-4.4,-0.7,161.0,372.0,0.433,2.0,8.0,0.25,159.0,364.0,0.43700000000000006,0.435,63.0,87.0,0.7240000000000001,57.0,126.0,183.0,55.0,23.0,13.0,51.0,100.0,387.0
CHH,14531,2000.0,Chucky Brown,PF,31.0,48.0,21.0,1192.0,11.6,0.51,0.107,0.158,5.6,14.7,10.2,8.9,1.2,1.2,9.5,17.4,,0.9,0.7,1.6,0.066,,-1.5,-0.4,-2.6,-0.2,176.0,373.0,0.47200000000000003,15.0,40.0,0.375,161.0,333.0,0.483,0.49200000000000005,40.0,59.0,0.6779999999999999,36.0,138.0,174.0,57.0,16.0,19.0,38.0,106.0,407.0
CLE,15021,2001.0,Chucky Brown,SF,32.0,75.0,51.0,1485.0,12.0,0.555,0.016,0.8,6.9,13.5,9.7,8.4,3.0,1.7,14.3,19.4,,0.9,1.3,2.2,0.096,,-1.8,-0.1,-1.9,0.0,263.0,502.0,0.524,0.0,7.0,0.0,263.0,498.0,0.528,0.524,125.0,164.0,0.762,83.0,148.0,231.0,80.0,33.0,26.0,94.0,148.0,627.0
DAL,11414,1994.0,Chucky Brown,SF,25.0,1.0,0.0,10.0,10.8,1.042,0.0,1.0,0.0,12.1,5.6,0.0,0.0,0.0,0.0,6.1,,0.0,0.0,0.0,0.183,,-1.3,-4.8,-6.1,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0
GSW,15020,2001.0,Chucky Brown,SF,32.0,6.0,0.0,74.0,13.4,0.49200000000000005,0.1,0.5,4.0,23.4,12.9,10.9,2.1,1.0,7.6,15.1,,0.1,0.1,0.2,0.098,,-2.9,-0.5,-3.4,0.0,9.0,20.0,0.45,0.0,2.0,0.0,9.0,18.0,0.5,0.45,6.0,10.0,0.6,3.0,15.0,18.0,5.0,3.0,1.0,2.0,10.0,24.0
HOU,12345,1996.0,Chucky Brown,SF,27.0,82.0,82.0,2019.0,13.7,0.619,0.017,0.35600000000000004,9.5,16.8,13.3,7.0,1.2,1.3,13.1,15.9,,2.2,2.1,4.2,0.12300000000000001,,-1.1,0.0,-1.4,0.2,300.0,555.0,0.603,1.0,8.0,0.33299999999999996,299.0,547.0,0.608,0.606,104.0,150.0,0.693,134.0,307.0,441.0,89.0,47.0,38.0,94.0,163.0,705.0
LAL,10505,1992.0,Chucky Brown,SF,23.0,36.0,2.0,381.0,10.8,0.496,0.025,0.34700000000000003,8.5,14.3,11.4,9.2,1.2,1.1,16.6,18.7,,-0.1,0.3,0.2,0.028999999999999998,,-3.4,-1.1,-4.5,-0.2,55.0,118.0,0.466,0.0,3.0,0.0,55.0,115.0,0.478,0.466,25.0,41.0,0.61,29.0,47.0,76.0,23.0,9.0,7.0,27.0,41.0,135.0
MIL,12894,1997.0,Chucky Brown,SF,28.0,60.0,1.0,674.0,11.3,0.552,0.047,0.461,6.9,17.0,12.0,5.4,0.7,2.2,8.9,11.6,,0.9,0.5,1.5,0.10400000000000001,,-2.0,-0.2,-2.3,0.0,65.0,128.0,0.508,1.0,6.0,0.16699999999999998,64.0,122.0,0.525,0.512,39.0,59.0,0.6609999999999999,38.0,94.0,132.0,24.0,9.0,20.0,15.0,86.0,170.0
NJN,10964,1993.0,Chucky Brown,SF,24.0,77.0,20.0,1186.0,11.2,0.523,0.015,0.29600000000000004,8.1,13.3,10.7,6.2,0.8,1.3,13.0,15.2,,0.9,1.3,2.2,0.08800000000000001,,-2.3,-0.1,-2.4,-0.1,160.0,331.0,0.483,0.0,5.0,0.0,160.0,326.0,0.491,0.483,71.0,98.0,0.7240000000000001,88.0,144.0,232.0,51.0,20.0,24.0,56.0,112.0,391.0
PHO,12893,1997.0,Chucky Brown,SF,28.0,10.0,0.0,83.0,11.6,0.551,0.0,0.423,4.3,18.2,11.3,7.6,0.0,1.8,11.5,18.9,,0.1,0.0,0.1,0.075,,-3.7,-2.1,-5.8,-0.1,13.0,26.0,0.5,0.0,0.0,,13.0,26.0,0.5,0.5,8.0,11.0,0.727,3.0,13.0,16.0,4.0,0.0,2.0,4.0,14.0,34.0
SAC,15568,2002.0,Chucky Brown,SF,33.0,18.0,0.0,92.0,10.1,0.377,0.0,0.07400000000000001,11.8,26.2,19.2,9.1,1.1,2.9,15.2,15.6,,-0.1,0.2,0.1,0.052000000000000005,,-5.5,1.7,-3.8,0.0,10.0,27.0,0.37,0.0,0.0,,10.0,27.0,0.37,0.37,1.0,2.0,0.5,10.0,23.0,33.0,6.0,2.0,4.0,5.0,12.0,21.0
SAS,14530,2000.0,Chucky Brown,PF,31.0,30.0,27.0,602.0,10.0,0.501,0.017,0.17600000000000002,2.2,11.9,7.3,11.2,0.7,1.1,12.9,16.7,,0.1,0.8,0.9,0.073,,-2.9,0.3,-2.5,-0.1,82.0,176.0,0.466,1.0,3.0,0.33299999999999996,81.0,173.0,0.46799999999999997,0.469,25.0,31.0,0.8059999999999999,11.0,66.0,77.0,41.0,8.0,10.0,28.0,53.0,190.0
TOT,15019,2001.0,Chucky Brown,SF,32.0,70.0,29.0,1096.0,11.3,0.552,0.039,0.455,8.1,17.1,11.9,9.9,1.4,2.2,16.2,18.1,,1.0,1.3,1.6,0.10099999999999999,,-2.2,0.0,-2.7,-0.1,148.0,328.0,0.506,2.0,10.0,0.2,146.0,318.0,0.52,0.51,47.0,70.0,0.6920000000000001,41.0,132.0,167.0,66.0,20.0,22.0,45.0,114.0,334.0
