Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,14194,1999.0,Damon Jones,PG,22.0,13.0,0.0,213.0,13.3,0.495,0.44,0.053,2.1,14.7,8.2,22.3,1.5,0.0,13.5,18.6,,0.2,0.2,0.4,0.087,,-0.1,-2.1,-2.2,0.0,29.0,75.0,0.387,15.0,33.0,0.455,14.0,42.0,0.33299999999999996,0.48700000000000004,3.0,4.0,0.75,4.0,27.0,31.0,29.0,6.0,0.0,12.0,16.0,76.0
NJN,14193,1999.0,Damon Jones,PG,22.0,11.0,0.0,131.0,14.4,0.493,0.659,0.295,1.6,9.8,5.5,16.7,2.8,0.0,9.1,18.4,,0.2,0.1,0.3,0.109,,1.4,-2.3,-0.9,0.0,14.0,44.0,0.318,10.0,29.0,0.345,4.0,15.0,0.267,0.43200000000000005,11.0,13.0,0.846,2.0,11.0,13.0,13.0,7.0,0.0,5.0,7.0,49.0
DAL,14709,2000.0,Damon Jones,PG,23.0,42.0,0.0,416.0,12.7,0.48200000000000004,0.591,0.253,3.1,6.9,5.0,20.2,1.5,0.2,12.7,20.8,,0.3,0.1,0.3,0.04,,0.7,-3.7,-3.0,-0.1,55.0,154.0,0.35700000000000004,30.0,91.0,0.33,25.0,63.0,0.397,0.455,25.0,39.0,0.6409999999999999,12.0,27.0,39.0,57.0,12.0,1.0,25.0,21.0,165.0
GSW,14708,2000.0,Damon Jones,PG,23.0,13.0,1.0,196.0,14.0,0.5870000000000001,0.426,0.16699999999999998,0.0,9.1,4.3,31.5,1.5,0.0,20.6,15.7,,0.3,0.0,0.3,0.08,,-0.7,-4.4,-5.1,-0.2,25.0,54.0,0.46299999999999997,11.0,23.0,0.478,14.0,31.0,0.452,0.565,7.0,9.0,0.778,0.0,16.0,16.0,39.0,6.0,0.0,15.0,13.0,68.0
TOT,14707,2000.0,Damon Jones,PG,23.0,55.0,1.0,612.0,13.7,0.508,0.5479999999999999,0.231,2.1,12.8,7.2,23.9,2.0,0.1,14.9,19.2,,0.6,0.3,0.7,0.095,,0.5,-2.2,-1.7,0.0,80.0,208.0,0.385,41.0,114.0,0.40299999999999997,39.0,94.0,0.415,0.483,32.0,48.0,0.8240000000000001,12.0,43.0,55.0,96.0,18.0,1.0,40.0,34.0,233.0
VAN,15207,2001.0,Damon Jones,PG,24.0,71.0,10.0,1415.0,13.0,0.525,0.555,0.125,1.3,8.7,5.0,26.2,1.3,0.0,14.8,16.6,,1.4,0.4,1.8,0.062,,0.5,-2.8,-2.3,-0.1,170.0,416.0,0.409,84.0,231.0,0.364,86.0,185.0,0.465,0.51,37.0,52.0,0.7120000000000001,16.0,108.0,124.0,224.0,36.0,1.0,76.0,58.0,461.0
DET,15747,2002.0,Damon Jones,PG,25.0,67.0,0.0,1083.0,11.2,0.5479999999999999,0.655,0.20800000000000002,1.4,9.7,5.6,20.9,1.1,0.1,16.4,16.1,,1.1,0.8,1.9,0.084,,0.1,-2.4,-2.3,-0.1,114.0,284.0,0.401,69.0,186.0,0.371,45.0,98.0,0.45899999999999996,0.523,43.0,59.0,0.7290000000000001,13.0,90.0,103.0,140.0,23.0,1.0,61.0,83.0,340.0
SAC,16235,2003.0,Damon Jones,PG,26.0,49.0,1.0,709.0,11.5,0.505,0.5760000000000001,0.129,1.8,8.5,5.3,16.0,1.3,0.4,9.4,15.2,,0.8,0.7,1.5,0.10300000000000001,,-0.1,-1.3,-1.4,0.1,80.0,210.0,0.381,44.0,121.0,0.364,36.0,89.0,0.40399999999999997,0.486,20.0,27.0,0.741,11.0,59.0,70.0,80.0,18.0,4.0,23.0,42.0,224.0
MIA,17361,2005.0,Damon Jones,PG,28.0,82.0,66.0,2576.0,15.5,0.625,0.718,0.11800000000000001,0.7,9.5,5.2,21.0,0.9,0.1,11.4,15.6,,6.5,2.3,8.7,0.162,,4.1,-1.7,2.5,2.9,331.0,726.0,0.456,225.0,521.0,0.43200000000000005,106.0,205.0,0.517,0.611,68.0,86.0,0.7909999999999999,14.0,217.0,231.0,350.0,44.0,5.0,98.0,121.0,955.0
CLE,19044,2008.0,Damon Jones,SG,31.0,82.0,7.0,2089.0,11.3,0.5820000000000001,0.76,0.124,0.9,6.8,3.8,15.1,0.9,0.1,9.7,15.9,,2.4,1.1,3.4,0.10800000000000001,,0.9,-1.6,-1.1,0.5,190.0,491.0,0.41600000000000004,140.0,371.0,0.41700000000000004,50.0,124.0,0.41700000000000004,0.574,32.0,50.0,0.7140000000000001,14.0,119.0,133.0,169.0,37.0,2.0,55.0,112.0,552.0
MIL,19631,2009.0,Damon Jones,PG,32.0,82.0,26.0,2016.0,14.2,0.516,0.8240000000000001,0.13699999999999998,0.8,8.7,4.8,36.7,1.4,0.1,15.6,16.6,,3.6,0.3,3.9,0.09300000000000001,,1.8,-2.9,-1.9,0.1,210.0,524.0,0.401,98.0,273.0,0.39299999999999996,112.0,251.0,0.446,0.494,55.0,72.0,0.764,15.0,155.0,170.0,478.0,30.0,4.0,103.0,92.0,573.0
