Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MEM,16165,2003.0,Drew Gooden,SF,21.0,51.0,29.0,1329.0,13.8,0.486,0.08,0.22899999999999998,9.0,15.9,12.5,8.3,1.5,1.1,14.2,25.0,,-0.3,0.7,0.4,0.015,,-2.0,-1.6,-3.6,-0.5,255.0,576.0,0.44299999999999995,14.0,46.0,0.304,241.0,530.0,0.455,0.455,92.0,132.0,0.6970000000000001,105.0,190.0,295.0,63.0,38.0,22.0,105.0,121.0,616.0
ORL,16690,2004.0,Drew Gooden,PF,22.0,79.0,18.0,2134.0,18.0,0.5479999999999999,0.051,0.39799999999999996,11.9,22.1,16.8,7.5,1.5,2.4,16.0,23.1,,1.0,0.9,1.9,0.11199999999999999,,-1.6,-0.9,-2.4,-0.1,369.0,829.0,0.498,9.0,42.0,0.214,360.0,787.0,0.503,0.498,167.0,262.0,0.738,160.0,356.0,516.0,89.0,62.0,72.0,126.0,196.0,914.0
CLE,18942,2008.0,Drew Gooden,PF,26.0,82.0,80.0,2523.0,19.7,0.552,0.03,0.396,13.3,26.1,18.1,9.1,1.7,2.2,13.4,21.7,,4.7,4.1,8.5,0.163,,0.2,1.2,0.9,1.8,464.0,943.0,0.512,5.0,28.0,0.33299999999999996,459.0,915.0,0.513,0.513,251.0,310.0,0.81,263.0,546.0,753.0,130.0,77.0,76.0,133.0,233.0,1184.0
CHI,19541,2009.0,Drew Gooden,PF,27.0,31.0,27.0,918.0,17.4,0.514,0.013999999999999999,0.295,11.3,22.8,16.9,9.7,1.5,3.2,12.6,21.9,,0.6,1.1,1.7,0.114,,-1.2,1.1,0.0,0.3,161.0,352.0,0.461,0.0,3.0,0.0,161.0,349.0,0.467,0.461,84.0,97.0,0.866,82.0,184.0,266.0,43.0,26.0,23.0,57.0,103.0,406.0
SAC,19542,2009.0,Drew Gooden,PF,27.0,1.0,0.0,26.0,18.7,0.607,0.0,0.222,13.4,45.2,29.2,13.8,0.0,0.0,23.3,22.2,,0.0,0.0,0.0,0.08199999999999999,,-3.4,-2.1,-5.6,0.0,5.0,9.0,0.556,0.0,0.0,,5.0,9.0,0.556,0.556,2.0,2.0,1.0,3.0,10.0,13.0,2.0,0.0,0.0,3.0,2.0,12.0
SAS,19543,2009.0,Drew Gooden,PF,27.0,19.0,1.0,320.0,18.8,0.55,0.006999999999999999,0.39299999999999996,10.6,20.2,15.5,1.7,0.7,0.9,8.6,28.2,,0.5,0.5,0.9,0.139,,-3.3,-4.2,-7.5,-0.4,71.0,145.0,0.49,0.0,1.0,0.0,71.0,144.0,0.493,0.49,45.0,57.0,0.789,28.0,55.0,83.0,3.0,4.0,4.0,16.0,39.0,187.0
DAL,20112,2010.0,Drew Gooden,C,28.0,46.0,11.0,1030.0,16.1,0.528,0.018000000000000002,0.342,13.9,21.2,17.6,4.0,1.3,3.6,12.7,19.8,,1.1,1.6,2.7,0.125,,-2.1,0.7,-1.3,0.2,157.0,336.0,0.467,1.0,6.0,0.16699999999999998,156.0,330.0,0.473,0.469,93.0,115.0,0.809,123.0,193.0,316.0,26.0,26.0,50.0,56.0,129.0,408.0
LAC,20113,2010.0,Drew Gooden,PF,28.0,24.0,22.0,725.0,18.0,0.5720000000000001,0.008,0.38,13.4,22.8,18.1,5.0,1.1,0.8,14.3,22.6,,1.1,0.6,1.7,0.114,,-1.0,-1.7,-2.8,-0.1,131.0,266.0,0.49200000000000005,0.0,2.0,0.0,131.0,264.0,0.496,0.49200000000000005,93.0,101.0,0.9209999999999999,84.0,142.0,226.0,21.0,15.0,8.0,52.0,65.0,355.0
TOT,20111,2010.0,Drew Gooden,SF-PF,28.0,70.0,65.0,2122.0,16.9,0.547,0.062,0.359,13.7,23.0,17.8,7.8,1.5,2.5,14.7,24.5,,2.3,2.8,4.4,0.121,,-1.6,0.3,-1.9,0.0,355.0,777.0,0.478,14.0,48.0,0.292,341.0,734.0,0.483,0.479,186.0,216.0,0.861,207.0,415.0,590.0,83.0,53.0,58.0,150.0,203.0,875.0
MIL,21866,2013.0,Drew Gooden,PF,31.0,56.0,46.0,1469.0,18.8,0.512,0.084,0.317,9.6,22.9,16.1,16.5,1.7,2.9,12.7,25.7,,2.0,1.5,3.6,0.11599999999999999,,0.7,0.8,1.0,1.1,287.0,657.0,0.43700000000000006,16.0,55.0,0.29100000000000004,271.0,602.0,0.45,0.449,176.0,208.0,0.846,130.0,233.0,363.0,144.0,46.0,34.0,109.0,112.0,766.0
WAS,23696,2016.0,Drew Gooden,PF,34.0,51.0,7.0,864.0,18.4,0.591,0.39799999999999996,0.18899999999999997,10.7,23.0,16.7,8.6,1.3,2.9,10.6,19.7,,0.9,1.2,1.7,0.17300000000000001,,-0.2,0.2,-0.9,0.1,110.0,276.0,0.531,23.0,59.0,0.41200000000000003,87.0,217.0,0.5479999999999999,0.556,34.0,44.0,0.889,72.0,151.0,223.0,49.0,21.0,11.0,28.0,91.0,277.0
