Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHA,18807,2008.0,Earl Boykins,PG,31.0,36.0,0.0,577.0,10.0,0.467,0.256,0.34299999999999997,1.8,5.0,3.4,26.0,1.2,0.0,17.2,19.0,,-0.1,0.1,0.0,0.001,,-3.2,-3.9,-7.1,-0.7,61.0,172.0,0.355,14.0,44.0,0.318,47.0,128.0,0.36700000000000005,0.395,49.0,59.0,0.831,9.0,25.0,34.0,96.0,13.0,0.0,41.0,21.0,185.0
CLE,14524,2000.0,Earl Boykins,PG,23.0,25.0,0.0,253.0,19.2,0.54,0.22399999999999998,0.205,4.8,6.3,5.5,32.9,2.4,0.3,18.0,23.9,,0.5,0.2,0.7,0.139,,2.8,-2.5,0.3,0.1,53.0,112.0,0.473,8.0,20.0,0.4,45.0,92.0,0.489,0.509,18.0,23.0,0.7829999999999999,11.0,14.0,25.0,45.0,12.0,1.0,17.0,23.0,132.0
DEN,18283,2007.0,Earl Boykins,SG,30.0,82.0,5.0,2162.0,17.7,0.542,0.29100000000000004,0.368,3.0,6.3,4.4,28.1,1.9,0.4,11.2,23.8,,4.2,1.7,6.0,0.134,,2.3,-2.4,-0.5,0.6,340.0,824.0,0.419,62.0,179.0,0.373,284.0,658.0,0.447,0.467,279.0,303.0,0.9209999999999999,42.0,106.0,143.0,372.0,78.0,12.0,121.0,122.0,1015.0
GSW,16053,2003.0,Earl Boykins,PG,26.0,68.0,0.0,1321.0,17.6,0.5429999999999999,0.166,0.431,2.9,4.2,3.5,26.8,1.5,0.2,11.7,20.1,,3.9,-0.4,3.5,0.127,,2.2,-4.6,-2.3,-0.1,199.0,464.0,0.429,29.0,77.0,0.377,170.0,387.0,0.439,0.46,173.0,200.0,0.865,35.0,53.0,88.0,221.0,38.0,4.0,73.0,75.0,600.0
HOU,21185,2012.0,Earl Boykins,PG,35.0,8.0,0.0,111.0,10.3,0.45799999999999996,0.25,0.41700000000000004,0.0,11.6,5.7,23.0,0.5,0.0,14.1,20.3,,0.0,0.0,0.1,0.028999999999999998,,-3.2,-3.1,-6.3,-0.1,12.0,36.0,0.33299999999999996,2.0,9.0,0.222,10.0,27.0,0.37,0.361,13.0,15.0,0.867,0.0,11.0,11.0,17.0,1.0,0.0,7.0,5.0,39.0
LAC,15561,2002.0,Earl Boykins,PG,25.0,68.0,2.0,761.0,17.2,0.46399999999999997,0.153,0.27,4.1,5.2,4.2,38.7,1.8,0.2,12.7,24.7,,0.9,0.2,1.0,0.08900000000000001,,1.2,-3.9,-2.7,0.0,110.0,275.0,0.4,13.0,42.0,0.31,97.0,233.0,0.436,0.424,47.0,61.0,0.8240000000000001,27.0,27.0,54.0,145.0,20.0,2.0,44.0,44.0,280.0
MIL,20583,2011.0,Earl Boykins,PG,34.0,57.0,19.0,1154.0,17.6,0.5539999999999999,0.33,0.292,2.6,5.5,3.9,30.9,2.4,0.3,13.4,23.9,,2.1,1.1,2.3,0.125,,1.6,-1.8,-1.0,0.2,167.0,391.0,0.44299999999999995,54.0,129.0,0.419,129.0,281.0,0.45899999999999996,0.496,101.0,114.0,0.8859999999999999,26.0,50.0,76.0,159.0,38.0,3.0,68.0,61.0,489.0
NJN,14009,1999.0,Earl Boykins,PG,22.0,5.0,0.0,51.0,9.3,0.5,0.23800000000000002,0.0,2.1,6.9,4.3,23.3,1.0,0.0,25.0,24.2,,-0.1,0.0,-0.1,-0.073,,-4.0,-4.5,-8.6,-0.1,10.0,21.0,0.47600000000000003,1.0,5.0,0.2,9.0,16.0,0.563,0.5,0.0,0.0,,1.0,3.0,4.0,6.0,1.0,0.0,7.0,3.0,21.0
ORL,14523,2000.0,Earl Boykins,PG,23.0,1.0,0.0,8.0,44.0,0.75,0.0,0.0,13.7,0.0,6.8,87.8,0.0,0.0,0.0,21.0,,0.1,0.0,0.1,0.5820000000000001,,20.2,-7.2,13.0,0.0,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,0.0,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0
TOT,18282,2007.0,Earl Boykins,PG,30.0,66.0,23.0,2031.0,20.0,0.5479999999999999,0.311,0.319,5.1,6.1,5.6,34.6,2.3,0.3,19.9,23.8,,4.1,0.4,4.5,0.153,,3.3,-2.6,0.7,0.4,323.0,769.0,0.483,95.0,239.0,0.4,228.0,530.0,0.5,0.517,220.0,245.0,0.898,49.0,90.0,139.0,291.0,56.0,2.0,120.0,92.0,961.0
WAS,19986,2010.0,Earl Boykins,PG,33.0,67.0,1.0,1117.0,12.9,0.498,0.149,0.221,1.7,6.1,3.9,25.3,1.1,0.2,13.5,20.7,,0.6,0.3,1.0,0.042,,-1.4,-3.3,-4.7,-0.8,172.0,403.0,0.42700000000000005,19.0,60.0,0.317,153.0,343.0,0.446,0.45,77.0,89.0,0.865,17.0,58.0,75.0,171.0,24.0,3.0,69.0,48.0,440.0
