Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAC,16727,2004.0,Eddie House,SG,25.0,60.0,10.0,1188.0,12.0,0.436,0.303,0.1,2.7,10.6,6.6,21.6,2.9,0.2,11.8,19.8,,0.2,0.5,0.7,0.027000000000000003,,-0.4,-1.7,-2.1,0.0,161.0,449.0,0.359,51.0,136.0,0.375,110.0,313.0,0.35100000000000003,0.415,36.0,45.0,0.8,28.0,110.0,138.0,148.0,65.0,4.0,63.0,92.0,409.0
CHA,17313,2005.0,Eddie House,SG,26.0,13.0,5.0,300.0,16.3,0.512,0.215,0.096,0.7,6.8,3.6,14.8,4.2,0.8,8.5,22.7,,0.2,0.3,0.5,0.081,,0.5,-0.3,0.2,0.2,61.0,135.0,0.452,12.0,29.0,0.414,49.0,106.0,0.462,0.496,10.0,13.0,0.769,2.0,17.0,19.0,24.0,24.0,3.0,13.0,23.0,144.0
MIL,17314,2005.0,Eddie House,SG,26.0,5.0,0.0,41.0,14.3,0.47100000000000003,0.353,0.0,0.0,8.7,4.3,20.2,2.6,0.0,0.0,18.9,,0.1,0.0,0.1,0.10400000000000001,,0.9,-2.8,-1.9,0.0,6.0,17.0,0.353,4.0,6.0,0.667,2.0,11.0,0.182,0.47100000000000003,0.0,0.0,,0.0,3.0,3.0,5.0,2.0,0.0,0.0,3.0,16.0
SAC,17315,2005.0,Eddie House,PG,26.0,50.0,2.0,550.0,15.7,0.5379999999999999,0.29,0.065,2.8,9.5,6.2,19.4,1.7,0.4,9.1,19.6,,0.9,0.3,1.2,0.105,,0.6,-2.7,-2.1,0.0,98.0,214.0,0.45799999999999996,28.0,62.0,0.452,70.0,152.0,0.461,0.523,13.0,14.0,0.929,14.0,47.0,61.0,67.0,18.0,3.0,22.0,39.0,237.0
PHO,17892,2006.0,Eddie House,PG,27.0,81.0,0.0,1421.0,15.2,0.512,0.41600000000000004,0.054000000000000006,1.2,8.9,5.2,16.4,1.5,0.6,8.9,26.9,,0.5,1.1,1.6,0.054000000000000006,,0.3,-2.7,-2.4,-0.1,320.0,759.0,0.42200000000000004,123.0,316.0,0.389,197.0,443.0,0.445,0.503,33.0,41.0,0.805,15.0,117.0,132.0,148.0,42.0,12.0,76.0,96.0,796.0
NJN,18432,2007.0,Eddie House,SG,28.0,56.0,1.0,946.0,15.0,0.536,0.41600000000000004,0.086,1.8,9.7,5.7,13.1,1.5,0.3,5.8,22.8,,1.1,0.8,1.9,0.094,,0.7,-2.8,-2.1,0.0,180.0,421.0,0.428,75.0,175.0,0.429,105.0,246.0,0.42700000000000005,0.517,33.0,36.0,0.917,14.0,78.0,92.0,67.0,27.0,3.0,27.0,69.0,468.0
BOS,20165,2010.0,Eddie House,PG,31.0,81.0,2.0,1480.0,15.4,0.5920000000000001,0.607,0.124,1.6,11.5,6.7,16.9,2.2,0.7,12.2,20.3,,2.5,2.8,4.9,0.158,,2.4,0.3,2.0,1.5,249.0,560.0,0.445,151.0,340.0,0.444,100.0,233.0,0.445,0.579,42.0,53.0,0.917,19.0,148.0,167.0,152.0,61.0,10.0,76.0,114.0,691.0
NYK,20166,2010.0,Eddie House,SG,31.0,18.0,0.0,371.0,7.3,0.41600000000000004,0.451,0.09,1.8,10.6,6.1,14.9,1.7,0.0,12.6,19.3,,-0.5,0.1,-0.4,-0.047,,-3.8,-2.3,-6.1,-0.4,44.0,133.0,0.331,15.0,60.0,0.25,29.0,73.0,0.397,0.387,12.0,12.0,1.0,6.0,34.0,40.0,37.0,12.0,0.0,20.0,20.0,115.0
TOT,20164,2010.0,Eddie House,PG-SG,31.0,68.0,7.0,1217.0,15.8,0.525,0.499,0.114,2.0,9.3,5.3,17.9,2.6,0.5,9.0,20.6,,1.2,1.1,1.8,0.09699999999999999,,0.6,-1.8,-1.3,0.2,173.0,455.0,0.451,79.0,227.0,0.45399999999999996,121.0,269.0,0.45,0.511,48.0,52.0,0.9229999999999999,16.0,96.0,109.0,96.0,44.0,7.0,47.0,81.0,473.0
MIA,20794,2011.0,Eddie House,SG,32.0,64.0,7.0,1230.0,12.1,0.535,0.545,0.142,1.9,9.7,5.7,19.4,2.3,0.3,12.8,26.2,,1.0,1.6,2.2,0.10800000000000001,,0.2,-1.0,-1.2,0.2,209.0,524.0,0.42100000000000004,68.0,175.0,0.389,155.0,367.0,0.44299999999999995,0.505,42.0,49.0,0.95,17.0,93.0,110.0,123.0,44.0,5.0,80.0,98.0,514.0
