Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
KCK,7695,1985.0,Eddie Johnson,SF,25.0,82.0,82.0,3029.0,16.6,0.542,0.052000000000000005,0.23800000000000002,9.2,14.8,11.9,16.0,1.6,0.5,12.0,26.3,,5.3,2.2,7.4,0.121,,1.7,-0.5,0.8,2.1,769.0,1565.0,0.494,20.0,71.0,0.313,756.0,1511.0,0.506,0.501,325.0,373.0,0.871,191.0,310.0,501.0,296.0,83.0,22.0,225.0,266.0,1876.0
ATL,8076,1986.0,Eddie Johnson,SG,30.0,79.0,66.0,2693.0,18.0,0.561,0.076,0.381,3.9,7.4,4.8,36.8,2.5,0.5,19.3,25.7,,5.4,2.7,8.2,0.15,,2.9,-0.5,2.2,2.8,590.0,1212.0,0.51,22.0,72.0,0.385,585.0,1199.0,0.51,0.51,294.0,385.0,0.8320000000000001,95.0,154.0,200.0,566.0,126.0,24.0,244.0,241.0,1465.0
CLE,8077,1986.0,Eddie Johnson,SG,30.0,32.0,4.0,615.0,12.4,0.504,0.222,0.154,2.3,5.9,4.1,27.7,0.6,0.1,16.1,24.8,,0.1,0.2,0.2,0.018000000000000002,,-0.1,-3.6,-3.7,-0.3,129.0,293.0,0.44,24.0,65.0,0.369,105.0,228.0,0.461,0.48100000000000004,33.0,45.0,0.733,13.0,33.0,46.0,114.0,8.0,1.0,60.0,56.0,315.0
SAC,8457,1987.0,Eddie Johnson,SF,27.0,82.0,30.0,2514.0,16.2,0.523,0.09,0.262,7.8,11.0,9.4,15.9,1.0,0.4,11.6,26.6,,3.6,1.4,4.3,0.084,,1.7,-1.8,-0.7,0.8,623.0,1311.0,0.475,37.0,118.0,0.314,619.0,1291.0,0.479,0.47700000000000004,280.0,343.0,0.8290000000000001,173.0,246.0,419.0,251.0,54.0,19.0,191.0,237.0,1530.0
PHO,10205,1991.0,Eddie Johnson,SG,31.0,73.0,59.0,2177.0,19.4,0.564,0.203,0.226,6.2,10.7,8.2,12.6,1.4,0.4,10.8,29.1,,4.6,1.9,6.5,0.152,,3.3,-2.0,1.3,1.7,608.0,1224.0,0.49700000000000005,71.0,184.0,0.413,537.0,1052.0,0.51,0.526,217.0,250.0,0.917,121.0,215.0,318.0,180.0,47.0,10.0,139.0,198.0,1504.0
SEA,11101,1993.0,Eddie Johnson,SG,33.0,82.0,27.0,2366.0,18.4,0.555,0.106,0.29600000000000004,7.6,9.4,8.5,30.7,1.4,0.3,16.3,27.9,,4.5,1.5,5.6,0.14,,2.3,-2.6,-0.8,0.5,534.0,1164.0,0.486,33.0,107.0,0.33299999999999996,507.0,1057.0,0.504,0.504,291.0,338.0,0.912,124.0,174.0,292.0,161.0,55.0,11.0,134.0,199.0,1386.0
CHH,11579,1994.0,Eddie Johnson,SF,34.0,73.0,27.0,1460.0,15.9,0.527,0.203,0.172,6.2,10.6,8.5,13.8,1.2,0.3,9.6,25.6,,1.8,0.6,2.4,0.079,,1.4,-2.9,-1.5,0.2,339.0,738.0,0.45899999999999996,59.0,150.0,0.39299999999999996,280.0,588.0,0.47600000000000003,0.499,99.0,127.0,0.78,80.0,144.0,224.0,125.0,36.0,8.0,84.0,143.0,836.0
IND,13088,1997.0,Eddie Johnson,SF,37.0,62.0,1.0,1002.0,13.1,0.505,0.294,0.19899999999999998,5.8,14.2,9.5,12.0,1.1,0.3,10.6,24.9,,0.8,0.8,1.6,0.077,,-0.2,-2.0,-2.2,0.0,180.0,436.0,0.434,45.0,128.0,0.35200000000000004,135.0,308.0,0.46299999999999997,0.467,70.0,79.0,0.8859999999999999,45.0,108.0,153.0,69.0,20.0,4.0,56.0,104.0,475.0
TOT,13087,1997.0,Eddie Johnson,SG,37.0,81.0,27.0,2085.0,17.8,0.5479999999999999,0.36200000000000004,0.25,6.0,13.7,8.8,33.0,1.4,0.3,17.9,27.2,,4.3,1.2,5.5,0.127,,1.8,-2.0,-1.3,0.4,543.0,1122.0,0.484,49.0,131.0,0.374,504.0,1002.0,0.503,0.51,229.0,257.0,0.8909999999999999,107.0,164.0,271.0,333.0,58.0,9.0,150.0,181.0,1354.0
HOU,14188,1999.0,Eddie Johnson,SF,39.0,75.0,2.0,1490.0,14.2,0.568,0.456,0.25,4.8,13.5,9.4,14.1,1.1,0.1,13.3,39.2,,2.0,0.6,2.2,0.115,,0.7,-1.7,-1.0,0.2,227.0,544.0,0.462,66.0,198.0,0.38799999999999996,161.0,346.0,0.5,0.535,113.0,136.0,0.8540000000000001,50.0,103.0,153.0,88.0,32.0,3.0,62.0,89.0,633.0
