Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,6981,1983.0,George Johnson,C,34.0,37.0,0.0,461.0,10.8,0.49,0.0,0.33299999999999996,10.2,16.8,13.5,4.6,1.1,7.2,22.5,7.6,,0.1,0.8,1.0,0.1,,-3.5,5.1,1.6,0.4,25.0,57.0,0.439,0.0,0.0,,25.0,57.0,0.439,0.439,14.0,19.0,0.737,44.0,73.0,117.0,17.0,10.0,59.0,19.0,69.0,64.0
BAL,3185,1971.0,George Johnson,C,23.0,24.0,,337.0,7.8,0.41100000000000003,,0.3,,,14.9,3.7,,,,,,-0.3,0.5,0.2,0.025,,,,,,41.0,100.0,0.41,,,,41.0,100.0,0.41,0.41,11.0,30.0,0.36700000000000005,,,114.0,10.0,,,,63.0,93.0
BUF,4810,1977.0,George Johnson,C,28.0,39.0,,1055.0,14.3,0.48,,0.24,11.1,27.2,19.1,10.1,0.9,4.9,,,,0.3,1.6,1.9,0.086,,-2.6,3.3,0.8,0.7,125.0,279.0,0.44799999999999995,,,,125.0,279.0,0.44799999999999995,0.44799999999999995,46.0,67.0,0.687,117.0,283.0,400.0,78.0,22.0,104.0,,141.0,296.0
DEN,5887,1980.0,George Johnson,PF,23.0,75.0,,1938.0,15.0,0.524,0.013999999999999999,0.29100000000000004,10.0,21.7,15.7,11.4,2.0,1.9,16.8,17.8,,1.5,2.3,3.8,0.095,,-0.7,1.4,0.7,1.3,309.0,649.0,0.47600000000000003,2.0,9.0,0.222,307.0,640.0,0.48,0.478,148.0,189.0,0.7829999999999999,190.0,394.0,584.0,157.0,84.0,67.0,148.0,260.0,768.0
GSW,4809,1977.0,George Johnson,C,28.0,82.0,,1745.0,15.9,0.522,,0.305,14.6,24.3,19.5,7.0,1.3,6.4,,,,1.3,3.8,5.0,0.138,,-1.2,4.0,1.4,1.5,173.0,358.0,0.48700000000000004,,,,173.0,358.0,0.48700000000000004,0.48700000000000004,70.0,107.0,0.8059999999999999,217.0,427.0,627.0,82.0,51.0,174.0,,275.0,405.0
HOU,3953,1974.0,George Johnson,C,26.0,26.0,,238.0,8.4,0.527,,0.33299999999999996,9.1,18.2,13.7,4.7,1.5,1.8,,,,0.1,0.2,0.3,0.073,,-4.5,-0.1,-4.6,-0.2,23.0,51.0,0.513,,,,23.0,51.0,0.513,0.513,8.0,17.0,0.75,20.0,41.0,61.0,9.0,8.0,8.0,,46.0,54.0
IND,7347,1984.0,George Johnson,SF,27.0,82.0,64.0,2297.0,17.4,0.527,0.053,0.31,11.3,22.3,16.3,14.0,2.4,2.0,20.6,23.7,,0.7,2.7,3.2,0.11199999999999999,,-0.1,1.0,0.9,0.9,411.0,884.0,0.47700000000000004,11.0,47.0,0.23399999999999999,402.0,837.0,0.49,0.48100000000000004,223.0,270.0,0.826,176.0,369.0,545.0,220.0,82.0,53.0,242.0,279.0,1056.0
MIL,5542,1979.0,George Johnson,PF,22.0,67.0,,1157.0,14.0,0.526,,0.342,10.1,24.3,17.2,8.3,2.9,2.2,20.3,16.6,,0.4,2.0,2.5,0.102,,-1.7,2.5,0.9,0.8,165.0,342.0,0.48200000000000004,,,,165.0,342.0,0.48200000000000004,0.48200000000000004,84.0,117.0,0.718,106.0,254.0,360.0,81.0,75.0,49.0,100.0,187.0,414.0
NJN,7697,1985.0,George Johnson,C,36.0,81.0,0.0,2411.0,11.8,0.589,0.013000000000000001,0.342,10.0,22.6,15.7,10.8,1.4,6.7,30.0,15.7,,0.2,4.2,2.6,0.081,,-3.5,4.8,1.2,1.7,285.0,721.0,0.532,1.0,1.0,1.0,285.0,721.0,0.526,0.5379999999999999,133.0,185.0,0.815,245.0,534.0,779.0,173.0,78.0,274.0,221.0,339.0,703.0
PHI,7698,1985.0,George Johnson,SF,28.0,55.0,3.0,756.0,9.9,0.45899999999999996,0.038,0.213,7.2,17.1,12.2,6.9,2.0,1.2,14.6,17.9,,-0.2,0.9,0.7,0.047,,-3.4,0.1,-3.3,-0.3,107.0,263.0,0.40700000000000003,1.0,10.0,0.1,106.0,253.0,0.419,0.409,49.0,56.0,0.875,48.0,116.0,164.0,38.0,31.0,16.0,49.0,99.0,264.0
SAS,6608,1982.0,George Johnson,C,33.0,82.0,62.0,1935.0,13.5,0.517,0.0,0.32799999999999996,12.6,20.9,16.9,5.8,1.1,8.2,29.2,10.4,,1.1,3.4,4.5,0.11199999999999999,,-1.6,5.7,3.2,2.5,164.0,347.0,0.473,0.0,0.0,,164.0,347.0,0.473,0.473,80.0,109.0,0.7340000000000001,215.0,387.0,602.0,92.0,47.0,278.0,110.0,273.0,408.0
SEA,8079,1986.0,George Johnson,C,37.0,41.0,0.0,264.0,10.7,0.583,0.0,0.696,11.4,15.6,13.4,6.2,1.1,8.5,31.8,7.0,,0.1,0.5,0.6,0.10300000000000001,,-3.4,5.7,2.3,0.3,12.0,23.0,0.522,0.0,0.0,,12.0,23.0,0.522,0.522,11.0,16.0,0.688,26.0,34.0,60.0,13.0,6.0,37.0,14.0,46.0,35.0
TOT,4808,1977.0,George Johnson,C,28.0,78.0,,1652.0,14.4,0.495,,0.228,12.4,25.0,18.7,8.3,1.0,5.4,,,,0.9,2.6,3.5,0.102,,-2.3,3.1,0.8,1.2,198.0,429.0,0.462,,,,198.0,429.0,0.462,0.462,71.0,98.0,0.7240000000000001,204.0,407.0,611.0,104.0,37.0,177.0,,246.0,467.0
WSB,8080,1986.0,George Johnson,PF,29.0,2.0,0.0,7.0,11.5,0.515,0.0,0.667,15.5,15.4,15.5,0.0,0.0,0.0,20.5,29.1,,0.0,0.0,0.0,0.025,,-7.1,-8.8,-15.9,0.0,1.0,3.0,0.33299999999999996,0.0,0.0,,1.0,3.0,0.33299999999999996,0.33299999999999996,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0
