Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,11040,1993.0,Greg Foster,PF,24.0,33.0,0.0,205.0,13.1,0.491,0.042,0.18899999999999997,12.5,18.1,15.2,7.6,0.7,2.8,13.5,24.0,,0.0,0.2,0.2,0.044000000000000004,,-3.2,-2.0,-5.3,-0.2,44.0,95.0,0.46299999999999997,0.0,4.0,0.0,44.0,91.0,0.484,0.46299999999999997,13.0,18.0,0.722,24.0,32.0,56.0,10.0,3.0,9.0,16.0,41.0,101.0
CHI,11979,1995.0,Greg Foster,PF,26.0,17.0,3.0,299.0,9.8,0.522,0.0,0.36,7.1,14.2,10.7,8.0,0.3,2.0,14.6,17.4,,0.1,0.4,0.5,0.08,,-3.6,-0.5,-4.2,-0.2,41.0,86.0,0.47700000000000004,0.0,0.0,,41.0,86.0,0.47700000000000004,0.47700000000000004,22.0,31.0,0.71,18.0,36.0,54.0,16.0,2.0,8.0,17.0,54.0,104.0
LAL,15123,2001.0,Greg Foster,C,32.0,62.0,8.0,451.0,9.5,0.449,0.068,0.105,7.3,20.6,14.0,10.8,1.0,1.9,15.2,16.3,,0.0,0.4,0.4,0.044000000000000004,,-3.9,-0.6,-4.5,-0.3,56.0,133.0,0.42100000000000004,3.0,9.0,0.33299999999999996,53.0,124.0,0.42700000000000005,0.43200000000000005,10.0,14.0,0.7140000000000001,29.0,83.0,112.0,32.0,9.0,12.0,25.0,76.0,125.0
MIL,15658,2002.0,Greg Foster,PF,33.0,6.0,0.0,24.0,14.7,0.635,0.444,0.444,0.0,36.8,19.3,6.1,0.0,3.6,11.3,21.0,,0.0,0.0,0.0,0.106,,-5.6,-4.9,-11.1,0.0,4.0,9.0,0.5710000000000001,0.0,4.0,0.0,4.0,7.0,0.5710000000000001,0.5710000000000001,3.0,4.0,1.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,4.0,10.0
MIN,11980,1995.0,Greg Foster,PF,26.0,61.0,0.0,845.0,10.3,0.526,0.099,0.345,9.8,19.8,14.9,4.7,0.8,1.8,16.8,17.4,,-0.1,0.6,0.5,0.028999999999999998,,-4.1,-1.8,-5.9,-0.8,109.0,232.0,0.47,7.0,23.0,0.304,102.0,209.0,0.488,0.485,56.0,80.0,0.7,67.0,138.0,205.0,23.0,13.0,20.0,54.0,129.0,281.0
SEA,14625,2000.0,Greg Foster,PF,31.0,60.0,5.0,718.0,6.9,0.43,0.067,0.125,2.4,14.1,8.2,8.7,0.7,1.8,10.6,16.3,,-0.4,0.5,0.1,0.006999999999999999,,-5.7,-1.0,-6.6,-0.8,91.0,224.0,0.406,3.0,15.0,0.2,88.0,209.0,0.42100000000000004,0.413,18.0,28.0,0.643,16.0,91.0,107.0,41.0,10.0,18.0,28.0,105.0,203.0
TOR,16143,2003.0,Greg Foster,C,34.0,29.0,9.0,539.0,4.7,0.445,0.033,0.262,6.1,15.9,10.8,3.8,0.1,1.2,18.1,14.1,,-0.4,0.1,-0.3,-0.025,,-5.9,-1.9,-7.9,-0.8,47.0,122.0,0.385,1.0,4.0,0.25,46.0,118.0,0.39,0.389,26.0,32.0,0.813,30.0,72.0,102.0,13.0,1.0,9.0,30.0,82.0,121.0
TOT,11978,1995.0,Greg Foster,PF,26.0,78.0,3.0,1144.0,11.6,0.525,0.07200000000000001,0.349,11.6,19.8,15.6,10.4,0.7,2.9,16.2,21.5,,0.1,0.9,1.0,0.042,,-4.0,-1.2,-5.2,-0.2,150.0,318.0,0.47200000000000003,7.0,23.0,0.304,143.0,295.0,0.485,0.483,78.0,111.0,0.7140000000000001,85.0,174.0,259.0,39.0,15.0,28.0,71.0,183.0,385.0
UTA,14115,1999.0,Greg Foster,PF,30.0,79.0,49.0,1446.0,9.0,0.508,0.033,0.295,8.3,18.6,13.6,9.4,0.7,2.3,17.4,19.0,,0.3,1.0,1.3,0.054000000000000006,,-2.8,-0.3,-3.9,-0.4,186.0,418.0,0.45299999999999996,2.0,9.0,0.667,184.0,409.0,0.45,0.457,67.0,87.0,0.847,85.0,188.0,273.0,51.0,15.0,28.0,68.0,187.0,441.0
WSB,11039,1993.0,Greg Foster,PF,24.0,54.0,3.0,606.0,11.2,0.496,0.024,0.289,9.5,23.4,16.3,16.5,1.0,3.3,25.5,19.5,,-0.1,0.7,0.6,0.046,,-3.7,0.6,-4.1,-0.1,97.0,211.0,0.461,0.0,5.0,0.0,97.0,206.0,0.47100000000000003,0.461,42.0,61.0,0.7140000000000001,52.0,102.0,151.0,37.0,12.0,22.0,45.0,112.0,236.0
