Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DET,24589,2017.0,Ish Smith,PG,28.0,81.0,32.0,1955.0,14.7,0.47700000000000004,0.14,0.136,1.1,12.4,6.6,32.5,1.6,1.4,12.4,20.5,,0.9,2.2,3.1,0.076,,-1.2,0.4,-0.8,0.6,329.0,749.0,0.439,28.0,105.0,0.267,301.0,644.0,0.467,0.45799999999999996,72.0,102.0,0.706,21.0,214.0,235.0,418.0,61.0,33.0,112.0,127.0,758.0
GSW,21572,2012.0,Ish Smith,PG,23.0,6.0,1.0,63.0,16.7,0.43700000000000006,0.16699999999999998,0.067,3.6,12.6,8.1,24.2,3.3,0.0,3.1,23.3,,0.0,0.0,0.1,0.069,,0.1,-1.7,-1.6,0.0,12.0,30.0,0.4,2.0,5.0,0.4,10.0,25.0,0.4,0.433,1.0,2.0,0.5,2.0,7.0,9.0,9.0,4.0,0.0,1.0,4.0,27.0
HOU,21009,2011.0,Ish Smith,PG,22.0,28.0,3.0,329.0,8.8,0.423,0.096,0.12,2.1,12.4,7.2,27.8,2.0,0.4,22.9,15.2,,-0.2,0.3,0.0,0.002,,-4.5,-0.6,-5.1,-0.3,32.0,83.0,0.386,3.0,8.0,0.375,29.0,75.0,0.387,0.40399999999999997,7.0,10.0,0.7,6.0,36.0,42.0,64.0,13.0,2.0,26.0,26.0,74.0
MEM,21010,2011.0,Ish Smith,PG,22.0,15.0,0.0,113.0,4.3,0.366,0.063,0.344,1.0,4.3,2.6,18.8,2.3,0.0,17.8,17.9,,-0.3,0.1,-0.2,-0.066,,-6.6,-2.3,-9.0,-0.2,11.0,32.0,0.344,0.0,2.0,0.0,11.0,30.0,0.36700000000000005,0.344,5.0,11.0,0.455,1.0,4.0,5.0,15.0,5.0,0.0,8.0,11.0,27.0
MIL,22151,2013.0,Ish Smith,PG,24.0,16.0,0.0,138.0,12.1,0.442,0.233,0.0,0.8,11.3,5.8,32.7,2.9,1.6,18.9,16.7,,0.0,0.2,0.1,0.049,,-3.5,-0.5,-4.0,-0.1,17.0,43.0,0.395,4.0,10.0,0.4,13.0,33.0,0.39399999999999996,0.442,0.0,0.0,,1.0,14.0,15.0,30.0,8.0,3.0,10.0,12.0,38.0
NOP,23998,2016.0,Ish Smith,PG,27.0,27.0,3.0,617.0,16.3,0.484,0.145,0.18899999999999997,2.4,14.5,8.3,39.1,1.9,0.8,15.4,20.9,,0.5,0.4,0.9,0.07,,-0.2,-0.9,-1.1,0.1,98.0,228.0,0.43,10.0,33.0,0.303,88.0,195.0,0.451,0.452,33.0,43.0,0.767,14.0,78.0,92.0,154.0,24.0,6.0,45.0,38.0,239.0
OKC,23405,2015.0,Ish Smith,PG,26.0,30.0,0.0,155.0,9.0,0.37799999999999995,0.111,0.2,3.5,15.0,9.3,25.6,1.3,0.5,15.5,16.1,,-0.1,0.1,0.0,0.013999999999999999,,-4.6,-1.0,-5.7,-0.1,15.0,45.0,0.33299999999999996,1.0,5.0,0.2,14.0,40.0,0.35,0.344,6.0,9.0,0.667,5.0,22.0,27.0,28.0,4.0,1.0,9.0,12.0,37.0
ORL,22150,2013.0,Ish Smith,PG,24.0,36.0,3.0,378.0,13.1,0.413,0.147,0.157,3.3,14.4,8.8,31.1,3.5,1.2,18.5,18.2,,0.0,0.3,0.2,0.06,,-3.3,1.6,-1.7,0.0,39.0,116.0,0.373,4.0,17.0,0.25,35.0,99.0,0.38299999999999995,0.382,6.0,8.0,0.75,11.0,35.0,46.0,57.0,13.0,6.0,27.0,14.0,85.0
PHI,23999,2016.0,Ish Smith,PG,27.0,50.0,50.0,1622.0,14.4,0.46,0.185,0.18,1.9,12.8,7.1,44.1,2.4,0.8,16.7,26.5,,-0.6,0.9,0.4,0.011000000000000001,,-0.8,-1.2,-2.0,0.0,299.0,739.0,0.405,46.0,137.0,0.336,253.0,602.0,0.42,0.436,89.0,133.0,0.669,29.0,184.0,213.0,348.0,64.0,18.0,130.0,95.0,733.0
PHO,22760,2014.0,Ish Smith,PG,25.0,70.0,1.0,1006.0,11.7,0.43799999999999994,0.08199999999999999,0.139,3.5,10.9,7.2,26.0,2.4,1.0,17.9,15.9,,0.0,1.0,1.0,0.048,,-2.7,0.5,-2.3,-0.1,119.0,281.0,0.423,1.0,23.0,0.043,118.0,258.0,0.457,0.425,22.0,39.0,0.564,31.0,98.0,129.0,179.0,49.0,13.0,65.0,66.0,261.0
TOT,23997,2016.0,Ish Smith,PG,27.0,77.0,53.0,2239.0,14.9,0.465,0.17600000000000002,0.183,3.4,13.9,8.6,40.7,3.4,1.3,21.5,24.6,,0.0,1.3,1.3,0.062,,-0.6,0.7,-1.7,0.1,397.0,967.0,0.41100000000000003,56.0,170.0,0.33299999999999996,341.0,797.0,0.428,0.44,122.0,176.0,0.7,43.0,262.0,305.0,502.0,88.0,24.0,175.0,133.0,972.0
