Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAL,16891,2004.0,Jannero Pargo,PG,24.0,34.0,0.0,342.0,7.3,0.449,0.258,0.043,2.9,10.9,6.1,26.2,2.0,0.4,42.9,20.0,,-0.2,0.2,0.1,0.006999999999999999,,-3.6,-1.7,-5.3,-0.2,37.0,93.0,0.39799999999999996,7.0,24.0,0.5,30.0,69.0,0.435,0.43799999999999994,4.0,4.0,1.0,9.0,28.0,37.0,39.0,13.0,2.0,23.0,45.0,85.0
TOR,16892,2004.0,Jannero Pargo,PG,24.0,5.0,0.0,71.0,5.6,0.31,0.172,0.0,0.0,6.5,3.2,31.5,3.1,1.0,14.7,23.2,,-0.3,0.1,-0.2,-0.11199999999999999,,-7.2,-1.7,-9.0,-0.1,9.0,29.0,0.31,0.0,5.0,0.0,9.0,24.0,0.375,0.31,0.0,0.0,,0.0,4.0,4.0,12.0,4.0,1.0,5.0,7.0,18.0
NOK,18585,2007.0,Jannero Pargo,PG,27.0,82.0,7.0,1710.0,13.4,0.504,0.302,0.17600000000000002,1.3,11.1,6.1,20.4,1.6,0.2,14.1,23.1,,0.6,1.4,2.0,0.055999999999999994,,-0.5,-1.5,-2.1,0.0,283.0,692.0,0.409,81.0,209.0,0.38799999999999996,202.0,483.0,0.418,0.467,104.0,122.0,0.852,20.0,160.0,180.0,203.0,53.0,4.0,122.0,121.0,751.0
NOH,19157,2008.0,Jannero Pargo,SG,28.0,80.0,5.0,1497.0,11.9,0.46799999999999997,0.285,0.124,2.0,8.3,5.1,20.4,1.8,0.3,11.9,24.2,,-0.3,1.4,1.1,0.037000000000000005,,-1.6,-1.5,-3.1,-0.4,254.0,652.0,0.39,65.0,186.0,0.349,189.0,466.0,0.406,0.439,71.0,81.0,0.877,26.0,104.0,130.0,192.0,50.0,5.0,93.0,123.0,644.0
CHI,20343,2010.0,Jannero Pargo,PG,30.0,63.0,5.0,829.0,14.5,0.527,0.36200000000000004,0.175,3.0,9.4,5.8,31.2,1.9,1.1,16.8,26.5,,0.3,0.9,0.4,0.061,,1.2,-1.0,-2.0,0.0,132.0,381.0,0.429,39.0,138.0,0.379,94.0,243.0,0.455,0.494,42.0,45.0,0.9329999999999999,12.0,69.0,78.0,94.0,29.0,5.0,61.0,68.0,344.0
ATL,22078,2013.0,Jannero Pargo,PG,33.0,50.0,0.0,671.0,13.6,0.539,0.545,0.079,1.6,11.1,6.4,25.4,1.6,0.2,15.8,21.8,,0.6,0.8,1.3,0.095,,0.8,-1.9,-1.1,0.1,105.0,253.0,0.415,53.0,138.0,0.384,52.0,115.0,0.452,0.52,19.0,20.0,1.0,9.0,64.0,73.0,96.0,20.0,2.0,49.0,64.0,282.0
TOT,22076,2013.0,Jannero Pargo,PG,33.0,32.0,1.0,507.0,11.5,0.491,0.547,0.136,2.2,6.9,4.3,27.2,1.9,0.9,18.2,24.3,,-0.2,0.3,0.1,0.006,,-1.1,-2.8,-4.3,-0.3,81.0,212.0,0.40700000000000003,39.0,116.0,0.355,59.0,137.0,0.431,0.462,23.0,27.0,0.9229999999999999,10.0,29.0,37.0,70.0,18.0,6.0,47.0,50.0,207.0
WAS,22077,2013.0,Jannero Pargo,PG,33.0,7.0,0.0,102.0,0.2,0.319,0.625,0.063,0.0,6.6,3.3,21.0,0.0,0.8,19.6,18.3,,-0.3,0.1,-0.3,-0.129,,-7.4,-3.3,-10.8,-0.2,8.0,32.0,0.25,3.0,20.0,0.15,5.0,12.0,0.41700000000000004,0.297,2.0,2.0,1.0,0.0,6.0,6.0,14.0,0.0,1.0,8.0,8.0,21.0
CHA,22692,2014.0,Jannero Pargo,PG,34.0,29.0,0.0,292.0,18.9,0.5539999999999999,0.535,0.09300000000000001,3.4,8.9,4.7,40.3,3.0,0.6,17.5,28.4,,0.2,0.4,0.5,0.105,,3.1,-2.2,0.9,0.2,57.0,142.0,0.441,29.0,76.0,0.4,28.0,66.0,0.483,0.542,8.0,11.0,0.889,9.0,19.0,22.0,52.0,15.0,2.0,28.0,26.0,151.0
CHO,23307,2015.0,Jannero Pargo,PG,35.0,9.0,0.0,73.0,14.9,0.5710000000000001,0.629,0.057,0.0,4.6,2.3,20.8,0.0,0.0,7.7,24.3,,0.1,0.0,0.2,0.113,,3.0,-6.1,-3.2,0.0,15.0,35.0,0.429,9.0,22.0,0.409,6.0,13.0,0.462,0.557,2.0,2.0,1.0,0.0,3.0,3.0,8.0,0.0,0.0,3.0,8.0,41.0
