Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIL,15165,2001.0,Jason Hart,PG,22.0,1.0,0.0,10.0,1.7,1.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,66.7,13.6,,0.0,0.0,0.0,-0.159,,-8.8,-7.0,-15.8,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0
SAS,16712,2004.0,Jason Hart,PG,25.0,53.0,5.0,660.0,13.5,0.601,0.105,0.316,5.2,11.5,8.1,20.9,4.1,0.8,27.0,15.0,,0.6,1.3,1.9,0.142,,-0.8,2.7,1.9,0.2,71.0,159.0,0.526,2.0,9.0,0.222,69.0,150.0,0.588,0.526,33.0,43.0,1.0,10.0,69.0,79.0,81.0,28.0,5.0,29.0,59.0,177.0
CHA,17300,2005.0,Jason Hart,PG,26.0,74.0,27.0,1887.0,16.9,0.534,0.166,0.349,1.0,11.8,6.1,32.0,2.7,0.6,13.4,17.9,,3.1,1.7,4.8,0.121,,1.2,-0.4,0.8,1.3,257.0,573.0,0.449,35.0,95.0,0.368,222.0,478.0,0.46399999999999997,0.479,157.0,200.0,0.785,18.0,185.0,203.0,367.0,99.0,14.0,102.0,167.0,706.0
SAC,18413,2007.0,Jason Hart,PG,28.0,66.0,0.0,818.0,14.5,0.617,0.2,0.36700000000000005,2.3,15.6,8.8,16.9,2.0,0.4,14.9,17.5,,0.3,0.8,0.3,0.16,,0.4,-0.7,-1.3,0.0,86.0,221.0,0.5,9.0,31.0,0.5,77.0,190.0,0.5,0.55,37.0,56.0,0.909,12.0,59.0,71.0,70.0,31.0,5.0,43.0,85.0,218.0
UTA,18972,2008.0,Jason Hart,PG,29.0,57.0,0.0,606.0,8.0,0.413,0.172,0.25,1.0,10.0,5.5,19.3,2.5,0.4,12.3,16.8,,-0.2,0.7,0.4,0.033,,-3.6,-0.6,-4.2,-0.3,58.0,180.0,0.322,11.0,31.0,0.355,47.0,149.0,0.315,0.353,38.0,45.0,0.8440000000000001,5.0,50.0,55.0,86.0,30.0,3.0,28.0,75.0,165.0
DEN,19565,2009.0,Jason Hart,PG,30.0,11.0,0.0,36.0,9.8,0.5529999999999999,0.2,0.4,3.3,9.4,6.5,21.8,0.0,0.0,20.3,18.3,,0.0,0.0,0.0,0.043,,-2.8,-3.7,-6.5,0.0,5.0,10.0,0.5,0.0,2.0,0.0,5.0,8.0,0.625,0.5,3.0,4.0,0.75,1.0,3.0,4.0,5.0,0.0,0.0,3.0,4.0,13.0
LAC,19564,2009.0,Jason Hart,PG,30.0,28.0,22.0,746.0,12.0,0.491,0.11900000000000001,0.226,4.3,11.4,7.8,20.8,2.9,0.9,17.1,16.3,,0.3,0.9,1.2,0.075,,-1.2,0.7,-0.5,0.3,85.0,194.0,0.43799999999999994,4.0,23.0,0.174,81.0,171.0,0.474,0.44799999999999995,32.0,36.0,0.889,12.0,71.0,83.0,93.0,41.0,4.0,34.0,60.0,206.0
MIN,20140,2010.0,Jason Hart,PG,31.0,1.0,0.0,5.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,25.5,10.0,0.0,0.0,8.7,,0.0,0.0,0.0,-0.027999999999999997,,-8.4,0.7,-7.7,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
NOH,20141,2010.0,Jason Hart,PG,31.0,4.0,0.0,17.0,8.5,1.0,0.0,0.0,0.0,14.1,6.9,39.6,3.0,4.5,75.0,10.8,,0.0,0.0,0.0,0.004,,-7.3,0.3,-7.0,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,5.0,1.0,1.0,3.0,4.0,2.0
TOT,20139,2010.0,Jason Hart,PG,31.0,39.0,22.0,846.0,12.3,0.509,0.129,0.245,4.2,11.8,7.6,36.4,4.6,3.5,60.0,16.5,,0.5,1.0,1.5,0.085,,-1.0,0.4,-0.6,0.3,100.0,224.0,0.5,7.0,29.0,0.24100000000000002,93.0,195.0,0.5,0.5,42.0,47.0,0.894,14.0,84.0,98.0,103.0,44.0,4.0,38.0,83.0,249.0
