Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,20408,2010.0,Joe Smith,PF,34.0,64.0,1.0,592.0,11.2,0.45299999999999996,0.036000000000000004,0.249,12.9,18.1,15.5,5.3,0.5,2.4,9.3,18.4,,0.3,0.6,0.9,0.077,,-3.5,-1.4,-4.9,-0.4,77.0,193.0,0.39899999999999997,1.0,7.0,0.14300000000000002,76.0,186.0,0.409,0.402,39.0,48.0,0.813,66.0,91.0,157.0,21.0,6.0,19.0,22.0,95.0,194.0
CHI,19225,2008.0,Joe Smith,PF,32.0,50.0,35.0,1146.0,16.8,0.515,0.002,0.28,10.3,16.0,13.0,7.4,1.1,2.1,8.3,22.8,,1.5,1.1,2.6,0.109,,-1.1,-0.9,-2.0,0.0,225.0,483.0,0.466,0.0,1.0,0.0,225.0,482.0,0.467,0.466,109.0,135.0,0.807,108.0,157.0,265.0,47.0,25.0,31.0,49.0,113.0,559.0
CLE,19835,2009.0,Joe Smith,PF,33.0,27.0,1.0,580.0,14.9,0.547,0.026000000000000002,0.406,10.8,17.8,14.5,6.2,0.9,2.7,9.9,17.4,,0.9,0.7,1.5,0.168,,-1.3,1.2,-0.1,0.2,87.0,170.0,0.512,1.0,3.0,0.33299999999999996,87.0,168.0,0.518,0.512,45.0,69.0,0.75,55.0,81.0,136.0,19.0,9.0,16.0,22.0,73.0,219.0
DEN,18655,2007.0,Joe Smith,PF,31.0,11.0,0.0,148.0,12.4,0.526,0.021,0.25,10.0,20.2,15.2,3.1,2.0,3.4,19.6,19.2,,0.0,0.2,0.2,0.06,,-4.8,0.5,-4.3,-0.1,23.0,48.0,0.479,0.0,1.0,0.0,23.0,47.0,0.489,0.479,10.0,12.0,0.833,13.0,27.0,40.0,3.0,6.0,7.0,13.0,23.0,56.0
DET,15417,2001.0,Joe Smith,PF,25.0,69.0,59.0,1941.0,14.6,0.475,0.006999999999999999,0.375,8.7,18.6,13.5,7.1,1.2,1.8,9.0,21.9,,1.9,2.5,4.4,0.11,,-1.9,0.0,-1.8,0.1,308.0,765.0,0.40299999999999997,0.0,5.0,0.0,308.0,760.0,0.405,0.40299999999999997,231.0,287.0,0.805,160.0,331.0,491.0,79.0,47.0,50.0,88.0,258.0,847.0
GSW,13845,1998.0,Joe Smith,PF,22.0,82.0,82.0,3086.0,17.2,0.523,0.036000000000000004,0.38299999999999995,12.1,17.2,14.6,8.0,1.5,3.4,11.6,26.4,,4.1,2.7,6.8,0.11599999999999999,,-0.5,0.3,-0.2,1.3,587.0,1293.0,0.45799999999999996,12.0,46.0,0.35700000000000004,575.0,1247.0,0.461,0.46299999999999997,307.0,392.0,0.8140000000000001,300.0,418.0,717.0,125.0,85.0,134.0,192.0,244.0,1493.0
LAL,21015,2011.0,Joe Smith,PF,35.0,12.0,0.0,44.0,2.1,0.233,0.0,0.16699999999999998,5.3,39.9,23.2,9.2,0.0,6.9,18.9,16.5,,-0.2,0.1,-0.1,-0.065,,-12.9,3.6,-9.3,-0.1,2.0,12.0,0.16699999999999998,0.0,0.0,,2.0,12.0,0.16699999999999998,0.16699999999999998,2.0,2.0,1.0,2.0,16.0,18.0,3.0,0.0,4.0,3.0,10.0,6.0
MIL,18118,2006.0,Joe Smith,PF,30.0,76.0,76.0,2265.0,16.6,0.564,0.006999999999999999,0.377,11.6,20.8,16.2,6.0,1.4,3.0,10.1,20.4,,4.0,2.3,6.3,0.134,,0.1,0.7,0.7,1.5,319.0,708.0,0.514,1.0,5.0,0.2,319.0,703.0,0.515,0.514,207.0,241.0,0.8590000000000001,230.0,413.0,643.0,78.0,47.0,94.0,82.0,222.0,830.0
MIN,16404,2003.0,Joe Smith,SF,27.0,78.0,63.0,1975.0,16.6,0.5710000000000001,0.006,0.414,11.6,17.9,14.3,7.9,1.2,3.5,13.9,20.8,,4.1,2.5,6.1,0.153,,0.4,1.0,0.7,1.3,297.0,623.0,0.511,2.0,3.0,1.0,295.0,622.0,0.51,0.513,195.0,258.0,0.83,186.0,301.0,484.0,88.0,45.0,85.0,119.0,302.0,774.0
NJN,21014,2011.0,Joe Smith,PF,35.0,4.0,3.0,25.0,-3.9,0.25,0.0,0.0,4.6,9.7,7.1,5.8,0.0,0.0,33.3,11.1,,-0.1,0.0,-0.1,-0.159,,-10.1,-1.3,-11.4,-0.1,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,2.0,3.0,2.0
OKC,19834,2009.0,Joe Smith,C,33.0,36.0,3.0,691.0,13.2,0.49200000000000005,0.018000000000000002,0.248,8.7,18.6,13.6,5.9,0.7,2.8,5.8,16.4,,0.6,0.6,1.3,0.08800000000000001,,-2.7,-0.3,-3.0,-0.2,99.0,218.0,0.45399999999999996,2.0,4.0,0.5,97.0,214.0,0.45299999999999996,0.45899999999999996,38.0,54.0,0.7040000000000001,53.0,110.0,163.0,25.0,10.0,26.0,15.0,72.0,238.0
