Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHA,19592,2009.0,Juwan Howard,SF,35.0,39.0,2.0,450.0,10.9,0.535,0.0,0.23399999999999999,8.0,11.7,9.9,9.6,0.7,0.9,14.0,19.5,,0.2,0.4,0.6,0.064,,-2.9,-1.2,-4.2,-0.2,74.0,145.0,0.51,0.0,0.0,,74.0,145.0,0.51,0.51,23.0,34.0,0.6759999999999999,29.0,43.0,72.0,24.0,6.0,5.0,26.0,67.0,171.0
DAL,18994,2008.0,Juwan Howard,PF,34.0,53.0,44.0,1659.0,16.6,0.5379999999999999,0.008,0.326,9.4,19.0,13.3,12.0,1.5,1.3,19.5,23.8,,2.4,1.1,3.4,0.106,,0.0,0.5,0.2,0.6,270.0,585.0,0.488,0.0,3.0,0.0,270.0,584.0,0.49200000000000005,0.488,144.0,191.0,0.7859999999999999,138.0,252.0,390.0,93.0,29.0,30.0,78.0,170.0,684.0
DEN,19591,2009.0,Juwan Howard,PF,35.0,77.0,77.0,2730.0,17.2,0.515,0.003,0.36200000000000004,9.5,18.1,13.0,18.1,2.3,3.5,13.2,26.1,,2.7,3.4,6.0,0.141,,0.7,3.7,1.8,2.2,567.0,1261.0,0.5,2.0,4.0,0.5,565.0,1257.0,0.5,0.5,282.0,351.0,0.8029999999999999,181.0,404.0,585.0,234.0,77.0,27.0,189.0,239.0,1418.0
HOU,18435,2007.0,Juwan Howard,PF,33.0,80.0,80.0,2537.0,13.0,0.517,0.005,0.28300000000000003,9.3,17.9,12.7,10.5,1.1,0.3,13.0,20.2,,1.7,3.2,4.9,0.11,,-1.8,0.9,-1.2,0.3,394.0,859.0,0.465,0.0,4.0,0.0,394.0,855.0,0.465,0.465,155.0,191.0,0.843,168.0,367.0,535.0,131.0,49.0,8.0,133.0,235.0,942.0
MIA,21921,2013.0,Juwan Howard,PF,39.0,57.0,2.0,592.0,9.9,0.54,0.0,0.28,11.8,18.3,14.8,19.8,1.1,0.5,25.2,22.0,,0.2,0.8,0.9,0.07400000000000001,,-3.8,-0.3,-4.1,-0.1,55.0,125.0,0.526,0.0,0.0,,55.0,125.0,0.526,0.526,29.0,35.0,1.0,36.0,86.0,122.0,23.0,10.0,4.0,25.0,61.0,139.0
ORL,16730,2004.0,Juwan Howard,PF,30.0,81.0,77.0,2877.0,15.6,0.513,0.001,0.336,6.6,16.1,11.2,10.0,1.0,0.6,11.7,23.9,,3.6,0.0,3.6,0.059000000000000004,,-0.4,-2.4,-2.8,-0.6,529.0,1169.0,0.45299999999999996,0.0,1.0,0.0,529.0,1168.0,0.45299999999999996,0.45299999999999996,318.0,393.0,0.809,171.0,399.0,570.0,158.0,54.0,22.0,178.0,284.0,1376.0
POR,20171,2010.0,Juwan Howard,C,36.0,73.0,27.0,1632.0,10.0,0.5379999999999999,0.003,0.187,8.1,17.3,12.7,5.9,0.9,0.5,15.1,13.9,,1.1,1.6,2.6,0.077,,-2.1,0.3,-1.7,0.1,191.0,375.0,0.509,0.0,1.0,0.0,191.0,374.0,0.511,0.509,55.0,70.0,0.7859999999999999,108.0,227.0,335.0,61.0,27.0,10.0,72.0,191.0,437.0
TOT,19590,2009.0,Juwan Howard,SF-PF,35.0,81.0,81.0,2974.0,16.0,0.534,0.002,0.341,9.4,16.7,13.0,13.9,1.3,1.3,14.9,24.6,,3.5,1.6,4.9,0.09,,0.2,-0.5,-0.4,1.2,583.0,1218.0,0.51,0.0,3.0,0.0,583.0,1215.0,0.51,0.51,296.0,383.0,0.773,223.0,401.0,612.0,224.0,75.0,47.0,242.0,292.0,1462.0
WAS,15180,2001.0,Juwan Howard,SF,27.0,82.0,82.0,2909.0,17.1,0.522,0.006,0.361,7.2,16.9,12.0,14.9,1.7,0.8,15.5,24.9,,2.1,2.4,4.6,0.09300000000000001,,0.8,0.3,1.0,1.5,509.0,1108.0,0.474,0.0,7.0,0.0,509.0,1101.0,0.47600000000000003,0.474,258.0,358.0,0.77,161.0,338.0,470.0,247.0,82.0,23.0,225.0,299.0,1220.0
WSB,13070,1997.0,Juwan Howard,SF,23.0,82.0,82.0,3324.0,17.0,0.53,0.009000000000000001,0.314,8.7,18.4,13.4,18.7,1.5,0.8,15.2,27.0,,3.3,3.7,7.0,0.10099999999999999,,0.0,0.5,0.5,2.1,733.0,1500.0,0.489,4.0,13.0,0.308,729.0,1487.0,0.49200000000000005,0.49,319.0,426.0,0.7559999999999999,202.0,472.0,660.0,360.0,93.0,39.0,303.0,269.0,1789.0
