Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,22325,2014.0,Keith Bogans,SG,33.0,6.0,0.0,55.0,9.9,0.82,1.0,0.5,0.0,6.4,3.1,7.7,0.9,0.0,12.0,6.7,,0.1,0.0,0.1,0.121,,0.1,-2.2,-2.1,0.0,3.0,6.0,0.5,3.0,6.0,0.5,0.0,0.0,,0.75,3.0,3.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,2.0,12.0
BRK,21739,2013.0,Keith Bogans,SG,32.0,74.0,23.0,1408.0,6.7,0.5329999999999999,0.863,0.06,1.3,8.8,5.0,8.1,1.1,0.2,14.4,11.2,,0.7,0.7,1.4,0.047,,-0.4,-0.9,-1.3,0.3,108.0,284.0,0.38,84.0,245.0,0.34299999999999997,24.0,39.0,0.615,0.528,11.0,17.0,0.647,16.0,104.0,120.0,76.0,28.0,4.0,49.0,108.0,311.0
CHA,17723,2006.0,Keith Bogans,SG,25.0,74.0,42.0,1791.0,12.4,0.51,0.34,0.365,4.6,11.3,7.2,12.6,2.4,0.3,13.7,22.0,,0.4,1.1,1.2,0.066,,-0.8,-0.8,-1.6,0.1,262.0,688.0,0.396,57.0,173.0,0.337,205.0,515.0,0.426,0.45299999999999996,133.0,183.0,0.762,76.0,150.0,226.0,135.0,68.0,8.0,122.0,167.0,714.0
CHI,20577,2011.0,Keith Bogans,SG,30.0,82.0,82.0,1461.0,9.0,0.5589999999999999,0.772,0.10400000000000001,1.6,10.1,5.9,10.1,1.4,0.5,11.3,11.4,,1.4,2.2,3.6,0.11800000000000001,,-0.4,0.4,0.0,0.7,124.0,307.0,0.40399999999999997,90.0,237.0,0.38,34.0,70.0,0.486,0.55,21.0,32.0,0.6559999999999999,19.0,129.0,148.0,101.0,38.0,9.0,41.0,113.0,359.0
HOU,17724,2006.0,Keith Bogans,SF,25.0,33.0,22.0,1064.0,9.3,0.48200000000000004,0.39799999999999996,0.316,2.9,13.3,8.2,13.3,1.6,0.5,14.4,15.3,,-0.1,1.3,1.2,0.053,,-1.9,1.2,-0.7,0.3,101.0,256.0,0.395,32.0,102.0,0.314,69.0,154.0,0.44799999999999995,0.457,47.0,81.0,0.58,26.0,123.0,149.0,83.0,32.0,6.0,49.0,89.0,281.0
MIL,19401,2009.0,Keith Bogans,SG,28.0,29.0,0.0,485.0,12.5,0.535,0.617,0.221,3.7,19.1,11.1,10.5,2.1,0.3,11.9,17.2,,0.4,0.6,1.0,0.10099999999999999,,-0.1,-0.1,-0.2,0.2,56.0,149.0,0.376,32.0,92.0,0.348,24.0,57.0,0.42100000000000004,0.483,31.0,33.0,0.9390000000000001,16.0,75.0,91.0,33.0,20.0,2.0,22.0,44.0,175.0
NJN,21179,2012.0,Keith Bogans,SF,31.0,5.0,1.0,94.0,4.8,0.45299999999999996,0.5710000000000001,0.23800000000000002,6.0,7.6,6.8,5.1,1.1,0.0,11.5,12.8,,0.0,0.0,0.0,-0.005,,-2.3,-2.7,-5.1,-0.1,8.0,21.0,0.381,3.0,12.0,0.25,5.0,9.0,0.556,0.452,2.0,5.0,0.4,5.0,6.0,11.0,3.0,2.0,0.0,3.0,15.0,21.0
ORL,19400,2009.0,Keith Bogans,SG,28.0,82.0,36.0,2198.0,11.0,0.5589999999999999,0.72,0.257,6.6,13.7,10.1,9.5,1.5,0.4,14.4,14.9,,2.6,2.3,4.9,0.106,,1.2,1.4,1.3,1.8,241.0,588.0,0.41,148.0,409.0,0.387,116.0,267.0,0.52,0.536,81.0,110.0,0.875,106.0,224.0,317.0,104.0,59.0,10.0,75.0,164.0,711.0
SAS,19979,2010.0,Keith Bogans,SF,29.0,79.0,50.0,1559.0,7.7,0.542,0.6579999999999999,0.168,1.9,11.2,6.6,8.5,1.5,0.6,14.2,11.0,,0.7,1.9,2.6,0.081,,-1.0,1.1,0.1,0.8,120.0,298.0,0.40299999999999997,70.0,196.0,0.35700000000000004,50.0,102.0,0.49,0.52,37.0,50.0,0.74,25.0,151.0,176.0,95.0,45.0,12.0,53.0,156.0,347.0
TOT,19399,2009.0,Keith Bogans,SG-SF,28.0,72.0,31.0,1912.0,10.7,0.521,0.6729999999999999,0.342,3.3,15.6,9.1,11.2,2.0,0.4,12.6,17.2,,0.7,2.0,2.5,0.096,,-0.9,0.8,-0.1,0.6,215.0,544.0,0.395,74.0,218.0,0.33899999999999997,150.0,344.0,0.436,0.48100000000000004,127.0,186.0,0.912,55.0,200.0,255.0,128.0,71.0,9.0,90.0,167.0,622.0
