Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DAL,13749,1998.0,Kevin Ollie,PG,25.0,16.0,0.0,214.0,7.9,0.434,0.0,0.595,3.1,8.0,5.5,22.7,1.5,0.0,23.2,14.8,,-0.1,0.1,-0.1,-0.017,,-5.4,-2.2,-7.7,-0.3,14.0,42.0,0.33299999999999996,0.0,0.0,,14.0,42.0,0.33299999999999996,0.33299999999999996,18.0,25.0,0.72,6.0,15.0,21.0,32.0,6.0,0.0,16.0,16.0,46.0
ORL,14298,1999.0,Kevin Ollie,PG,26.0,19.0,0.0,216.0,9.9,0.508,0.018000000000000002,2.0,1.6,29.5,14.5,25.8,1.8,0.0,27.0,22.0,,0.0,0.2,0.0,-0.011000000000000001,,-4.9,-2.2,-7.1,0.0,23.0,56.0,0.41100000000000003,0.0,1.0,0.0,23.0,55.0,0.418,0.41100000000000003,31.0,45.0,0.6890000000000001,3.0,15.0,18.0,33.0,7.0,0.0,28.0,15.0,77.0
SAC,14297,1999.0,Kevin Ollie,PG,26.0,7.0,0.0,68.0,4.1,0.395,0.0,0.385,0.0,9.3,4.7,6.1,2.2,0.9,16.5,11.4,,-0.1,0.1,0.0,-0.011000000000000001,,-6.7,0.3,-6.4,-0.1,4.0,13.0,0.308,0.0,0.0,,4.0,13.0,0.308,0.308,4.0,5.0,0.8,0.0,6.0,6.0,3.0,3.0,1.0,3.0,8.0,12.0
NJN,15335,2001.0,Kevin Ollie,PG,28.0,19.0,0.0,161.0,5.5,0.311,0.0,0.7040000000000001,2.1,14.7,8.2,23.0,1.6,0.0,20.3,12.5,,-0.2,0.1,-0.1,-0.045,,-6.8,-1.1,-7.8,-0.2,5.0,27.0,0.185,0.0,0.0,,5.0,27.0,0.185,0.185,12.0,19.0,0.632,3.0,20.0,23.0,25.0,5.0,0.0,9.0,14.0,22.0
CHI,15847,2002.0,Kevin Ollie,PG,29.0,52.0,17.0,1146.0,11.2,0.49,0.008,0.514,1.8,11.5,6.5,26.9,1.7,0.1,20.5,15.7,,0.3,0.5,0.7,0.031,,-3.2,-1.5,-4.7,-0.8,97.0,253.0,0.38299999999999995,1.0,2.0,0.5,96.0,251.0,0.382,0.385,109.0,130.0,0.838,18.0,110.0,128.0,193.0,36.0,1.0,80.0,64.0,304.0
IND,15848,2002.0,Kevin Ollie,PG,29.0,29.0,0.0,577.0,14.3,0.5539999999999999,0.0,0.97,1.4,9.3,5.5,25.4,2.4,0.1,15.4,13.3,,1.1,0.5,1.6,0.136,,-0.9,-0.4,-1.3,0.1,40.0,100.0,0.4,0.0,0.0,,40.0,100.0,0.4,0.4,78.0,97.0,0.804,7.0,49.0,56.0,98.0,26.0,1.0,26.0,33.0,158.0
MIL,16330,2003.0,Kevin Ollie,PG,30.0,53.0,4.0,1127.0,13.5,0.513,0.02,0.35700000000000004,1.2,9.1,5.1,24.3,1.7,0.3,10.9,13.7,,2.0,0.1,2.1,0.09,,-0.9,-2.3,-3.1,-0.3,117.0,255.0,0.45899999999999996,1.0,5.0,0.2,116.0,250.0,0.46399999999999997,0.461,68.0,91.0,0.747,12.0,87.0,99.0,181.0,37.0,4.0,36.0,71.0,303.0
SEA,16331,2003.0,Kevin Ollie,PG,30.0,29.0,1.0,770.0,14.0,0.515,0.005,0.46799999999999997,2.0,10.9,6.3,23.0,2.3,0.1,13.8,15.9,,1.0,0.7,1.7,0.106,,-1.3,-0.1,-1.3,0.1,82.0,186.0,0.441,1.0,1.0,1.0,81.0,185.0,0.43799999999999994,0.444,66.0,87.0,0.759,13.0,70.0,83.0,110.0,32.0,1.0,36.0,51.0,231.0
TOT,16329,2003.0,Kevin Ollie,PG,30.0,82.0,17.0,1897.0,13.7,0.514,0.016,0.7140000000000001,2.3,10.8,6.2,26.4,2.1,0.9,25.5,18.4,,3.0,1.0,3.8,0.09699999999999999,,-1.0,-0.1,-2.4,-0.1,199.0,441.0,0.451,2.0,6.0,0.5,197.0,435.0,0.45299999999999996,0.45399999999999996,187.0,227.0,0.8240000000000001,25.0,159.0,184.0,291.0,69.0,5.0,106.0,122.0,534.0
CLE,16878,2004.0,Kevin Ollie,PG,31.0,82.0,7.0,1401.0,12.2,0.51,0.035,0.685,1.8,11.6,6.7,25.0,1.9,0.4,19.5,13.3,,1.5,1.0,2.4,0.083,,-2.1,-1.1,-3.2,-0.4,95.0,257.0,0.37,4.0,9.0,0.444,91.0,248.0,0.36700000000000005,0.377,147.0,176.0,0.835,23.0,147.0,170.0,234.0,51.0,8.0,81.0,119.0,341.0
PHI,19152,2008.0,Kevin Ollie,SG,35.0,70.0,23.0,1069.0,12.9,0.551,0.018000000000000002,0.755,2.1,11.5,6.8,24.8,1.8,0.2,18.5,14.0,,0.7,0.9,1.6,0.146,,-1.9,-0.5,-2.4,0.0,81.0,187.0,0.449,1.0,3.0,0.33299999999999996,81.0,185.0,0.449,0.449,51.0,70.0,0.8370000000000001,13.0,85.0,98.0,130.0,33.0,3.0,47.0,103.0,199.0
MIN,19747,2009.0,Kevin Ollie,PG,36.0,50.0,21.0,850.0,9.9,0.525,0.006999999999999999,0.64,1.7,8.9,5.2,20.2,1.2,0.4,15.0,12.0,,0.9,0.3,1.2,0.067,,-2.6,-1.2,-3.8,-0.4,61.0,150.0,0.40700000000000003,0.0,1.0,0.0,61.0,149.0,0.409,0.40700000000000003,80.0,96.0,0.833,13.0,62.0,75.0,117.0,19.0,4.0,34.0,79.0,202.0
OKC,20338,2010.0,Kevin Ollie,PG,37.0,25.0,0.0,263.0,7.0,0.45299999999999996,0.022000000000000002,0.17800000000000002,1.3,9.3,5.5,10.8,1.8,0.0,11.0,9.3,,0.0,0.3,0.3,0.059000000000000004,,-4.0,0.4,-3.5,-0.1,18.0,45.0,0.4,0.0,1.0,0.0,18.0,44.0,0.409,0.4,8.0,8.0,1.0,3.0,22.0,25.0,20.0,9.0,0.0,6.0,16.0,44.0
