Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,24348,2017.0,Kris Humphries,PF,31.0,56.0,4.0,689.0,14.9,0.555,0.307,0.446,9.7,23.0,16.4,6.9,1.7,2.6,10.4,20.4,,0.6,1.1,1.6,0.14300000000000002,,-1.5,0.3,-1.6,0.0,87.0,214.0,0.465,19.0,54.0,0.35200000000000004,68.0,160.0,0.557,0.505,64.0,82.0,0.78,60.0,146.0,206.0,29.0,15.0,21.0,28.0,69.0,257.0
BOS,22537,2014.0,Kris Humphries,PF,28.0,69.0,30.0,1376.0,18.2,0.552,0.004,0.312,10.2,24.0,16.9,8.2,1.2,3.4,10.9,19.0,,2.3,1.8,4.1,0.14300000000000002,,-1.2,1.2,0.0,0.7,231.0,461.0,0.501,0.0,2.0,0.0,231.0,459.0,0.503,0.501,117.0,144.0,0.813,127.0,282.0,409.0,67.0,31.0,61.0,64.0,136.0,579.0
BRK,21922,2013.0,Kris Humphries,PF,27.0,65.0,21.0,1191.0,13.6,0.515,0.006,0.397,12.4,23.9,18.1,4.3,0.7,2.1,13.5,16.3,,1.4,1.3,2.7,0.109,,-2.5,-0.2,-2.7,-0.2,139.0,310.0,0.44799999999999995,0.0,2.0,0.0,139.0,308.0,0.451,0.44799999999999995,97.0,123.0,0.789,126.0,239.0,365.0,32.0,16.0,33.0,57.0,127.0,375.0
DAL,20179,2010.0,Kris Humphries,PF,24.0,25.0,0.0,315.0,14.8,0.48700000000000004,0.0,0.38299999999999995,14.0,20.5,17.3,3.6,1.2,2.6,8.8,21.5,,0.2,0.4,0.6,0.09699999999999999,,-3.3,-1.2,-4.5,-0.2,53.0,115.0,0.461,0.0,0.0,,53.0,115.0,0.461,0.461,25.0,44.0,0.568,38.0,57.0,95.0,7.0,7.0,11.0,13.0,43.0,131.0
NJN,21383,2012.0,Kris Humphries,PF,26.0,74.0,62.0,2162.0,17.9,0.555,0.003,0.498,12.5,32.2,22.1,7.4,1.7,3.0,13.4,20.8,,3.6,2.7,5.4,0.125,,-0.6,1.5,0.0,1.0,323.0,671.0,0.527,0.0,1.0,0.0,323.0,671.0,0.527,0.527,209.0,278.0,0.752,233.0,546.0,771.0,90.0,50.0,80.0,119.0,173.0,855.0
PHO,23768,2016.0,Kris Humphries,PF,30.0,4.0,3.0,74.0,13.5,0.36700000000000005,0.278,0.222,15.8,31.5,23.5,14.8,2.0,2.2,9.2,25.0,,-0.1,0.1,0.0,0.012,,-3.1,0.6,-2.4,0.0,10.0,36.0,0.278,3.0,10.0,0.3,7.0,26.0,0.26899999999999996,0.319,6.0,8.0,0.75,11.0,21.0,32.0,7.0,3.0,2.0,4.0,8.0,29.0
TOR,19596,2009.0,Kris Humphries,SF,23.0,70.0,2.0,925.0,16.3,0.516,0.006,0.5329999999999999,13.5,21.8,16.6,6.0,1.6,2.5,12.7,22.1,,0.7,1.3,1.8,0.125,,-2.0,-0.1,-2.7,-0.1,161.0,333.0,0.483,0.0,2.0,0.0,161.0,331.0,0.486,0.483,75.0,124.0,0.792,90.0,169.0,259.0,28.0,25.0,28.0,47.0,107.0,397.0
TOT,23766,2016.0,Kris Humphries,PF,30.0,69.0,17.0,1221.0,15.1,0.517,0.366,0.466,11.0,25.1,17.8,6.6,1.5,2.9,11.8,21.0,,0.5,1.6,1.9,0.09300000000000001,,-2.2,-0.5,-2.9,-0.2,180.0,408.0,0.441,34.0,108.0,0.315,180.0,407.0,0.465,0.46799999999999997,127.0,190.0,0.7979999999999999,120.0,258.0,378.0,36.0,36.0,48.0,66.0,145.0,487.0
UTA,17898,2006.0,Kris Humphries,PF,20.0,67.0,4.0,873.0,10.3,0.419,0.025,0.35200000000000004,10.9,20.0,15.4,8.6,2.0,2.2,13.6,20.2,,-0.6,0.8,0.2,0.019,,-4.3,-0.1,-4.8,-0.4,116.0,287.0,0.40399999999999997,2.0,6.0,0.33299999999999996,114.0,281.0,0.406,0.408,44.0,101.0,0.523,73.0,124.0,197.0,43.0,25.0,18.0,52.0,96.0,278.0
WAS,23767,2016.0,Kris Humphries,PF,30.0,64.0,17.0,1345.0,15.4,0.524,0.424,0.262,10.1,24.4,17.4,6.7,1.3,2.4,10.4,18.3,,1.6,2.1,3.8,0.134,,-2.0,0.7,-1.3,0.2,211.0,446.0,0.473,23.0,67.0,0.34299999999999997,211.0,439.0,0.48100000000000004,0.478,87.0,117.0,0.935,118.0,298.0,416.0,57.0,34.0,25.0,46.0,130.0,509.0
