Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHI,21045,2011.0,Kurt Thomas,PF,38.0,52.0,37.0,1178.0,10.0,0.527,0.005,0.172,7.7,21.9,15.0,7.4,1.4,2.7,17.3,9.4,,0.7,2.6,3.2,0.131,,-2.9,4.0,1.1,0.9,95.0,186.0,0.511,1.0,1.0,1.0,94.0,185.0,0.508,0.513,20.0,32.0,0.625,75.0,226.0,301.0,60.0,32.0,42.0,42.0,164.0,211.0
DAL,13888,1998.0,Kurt Thomas,PF,25.0,5.0,0.0,73.0,6.4,0.39899999999999997,0.0,0.067,11.9,24.9,18.3,8.4,0.7,0.0,17.8,35.3,,-0.3,0.1,-0.2,-0.161,,-9.3,-5.0,-14.4,-0.2,17.0,45.0,0.37799999999999995,0.0,0.0,,17.0,45.0,0.37799999999999995,0.37799999999999995,3.0,3.0,1.0,8.0,16.0,24.0,3.0,1.0,0.0,10.0,19.0,37.0
MIA,13347,1997.0,Kurt Thomas,PF,24.0,74.0,42.0,1655.0,13.5,0.5329999999999999,0.01,0.43799999999999994,10.0,23.7,17.0,4.9,1.7,1.9,16.6,19.9,,0.8,3.0,3.8,0.11,,-3.1,1.2,-2.4,-0.2,274.0,547.0,0.501,0.0,2.0,0.0,274.0,545.0,0.503,0.501,118.0,178.0,0.7609999999999999,122.0,317.0,439.0,46.0,47.0,36.0,98.0,271.0,666.0
MIL,20433,2010.0,Kurt Thomas,C,37.0,70.0,9.0,1049.0,9.9,0.489,0.0,0.07200000000000001,8.7,23.5,15.8,6.7,1.3,3.4,18.3,11.3,,0.0,2.0,2.1,0.095,,-4.6,3.8,-0.8,0.3,99.0,208.0,0.47600000000000003,0.0,0.0,,99.0,208.0,0.47600000000000003,0.47600000000000003,12.0,15.0,0.8,84.0,207.0,291.0,47.0,26.0,46.0,48.0,159.0,210.0
NYK,22181,2013.0,Kurt Thomas,PF,40.0,82.0,82.0,2855.0,16.9,0.5660000000000001,0.012,0.342,10.1,27.4,17.1,11.3,2.1,3.5,15.1,22.4,,4.1,4.1,8.2,0.185,,0.0,2.2,2.1,2.2,497.0,1028.0,0.542,2.0,6.0,1.0,495.0,1025.0,0.537,0.5479999999999999,216.0,265.0,0.835,214.0,661.0,831.0,162.0,81.0,97.0,153.0,344.0,1143.0
PHO,18679,2007.0,Kurt Thomas,C,34.0,67.0,50.0,1411.0,13.1,0.531,0.004,0.27399999999999997,8.7,26.9,18.3,5.6,1.0,2.7,11.7,15.5,,1.3,2.0,3.3,0.115,,-2.8,1.5,-1.2,0.3,190.0,391.0,0.486,0.0,1.0,0.0,190.0,391.0,0.488,0.486,75.0,92.0,0.815,102.0,313.0,415.0,57.0,24.0,54.0,57.0,193.0,455.0
POR,21596,2012.0,Kurt Thomas,C,39.0,53.0,3.0,803.0,9.5,0.483,0.0,0.127,5.5,22.1,13.7,8.7,1.6,3.0,15.8,11.2,,0.2,0.9,1.1,0.067,,-3.7,2.4,-1.3,0.1,73.0,157.0,0.465,0.0,0.0,,73.0,157.0,0.465,0.465,14.0,20.0,0.7,39.0,149.0,188.0,46.0,24.0,31.0,31.0,123.0,160.0
SAS,19857,2009.0,Kurt Thomas,PF,36.0,79.0,10.0,1404.0,14.0,0.53,0.008,0.192,11.5,22.7,17.2,7.2,2.2,3.1,11.7,14.0,,1.8,2.7,4.5,0.152,,-2.2,3.2,1.1,1.1,153.0,304.0,0.503,0.0,2.0,0.0,153.0,302.0,0.507,0.503,37.0,45.0,0.8220000000000001,134.0,271.0,405.0,66.0,34.0,58.0,42.0,170.0,343.0
SEA,19258,2008.0,Kurt Thomas,C,35.0,42.0,39.0,1060.0,15.8,0.536,0.0,0.207,9.7,28.2,19.0,7.6,1.6,2.9,8.7,13.2,,1.4,1.6,3.0,0.134,,-1.4,2.8,1.4,0.9,139.0,271.0,0.513,0.0,0.0,,139.0,271.0,0.513,0.513,39.0,56.0,0.696,94.0,275.0,369.0,53.0,35.0,43.0,28.0,131.0,317.0
TOT,19257,2008.0,Kurt Thomas,C-PF,35.0,70.0,48.0,1584.0,14.2,0.514,0.003,0.20199999999999999,9.2,26.4,17.8,6.5,1.8,2.6,9.6,13.5,,1.3,2.7,4.1,0.12300000000000001,,-2.4,2.9,0.4,1.0,195.0,396.0,0.49200000000000005,0.0,1.0,0.0,195.0,395.0,0.494,0.49200000000000005,53.0,80.0,0.6629999999999999,130.0,377.0,507.0,67.0,56.0,57.0,46.0,188.0,443.0
