Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SYR,1828,1963.0,Len Chappell,PF,22.0,80.0,,1241.0,17.2,0.501,,0.39399999999999996,,,,,,,,,,1.7,1.5,3.2,0.12300000000000001,,,,,,281.0,604.0,0.465,,,,281.0,604.0,0.465,0.465,148.0,238.0,0.622,,,461.0,56.0,,,,171.0,710.0
PHI,1964,1964.0,Len Chappell,F-C,23.0,1.0,,16.0,0.3,0.174,,1.0,,,,,,,,,,0.0,0.0,0.0,-0.102,,,,,,0.0,2.0,0.0,,,,0.0,2.0,0.0,0.0,1.0,2.0,0.5,,,4.0,0.0,,,,2.0,1.0
NYK,2240,1966.0,Len Chappell,PF,25.0,78.0,,2489.0,16.8,0.496,,0.33899999999999997,,,,6.4,,,,,,3.5,0.3,3.7,0.07,,,,,,531.0,1183.0,0.449,,,,531.0,1183.0,0.449,0.449,287.0,401.0,0.716,,,767.0,83.0,,,,212.0,1349.0
CHI,2369,1967.0,Len Chappell,PF,26.0,19.0,,179.0,13.1,0.478,,0.23600000000000002,,,,9.7,,,,,,0.1,0.2,0.3,0.085,,,,,,40.0,89.0,0.449,,,,40.0,89.0,0.449,0.449,14.0,21.0,0.667,,,38.0,12.0,,,,31.0,94.0
CIN,2509,1968.0,Len Chappell,PF,27.0,54.0,,529.0,18.1,0.552,,0.33299999999999996,,,,11.0,,,,,,0.2,0.3,0.2,0.13699999999999998,,,,,,92.0,224.0,0.5,,,,92.0,224.0,0.5,0.5,39.0,60.0,0.8,,,151.0,21.0,,,,73.0,223.0
DET,2510,1968.0,Len Chappell,C,27.0,57.0,,999.0,19.0,0.56,,0.43,,,,6.6,,,,,,2.7,0.9,3.5,0.17,,,,,,220.0,428.0,0.514,,,,220.0,428.0,0.514,0.514,130.0,184.0,0.7070000000000001,,,346.0,48.0,,,,113.0,570.0
MIL,2896,1970.0,Len Chappell,SF,29.0,80.0,,2207.0,16.0,0.504,,0.40299999999999997,,,,6.4,,,,,,3.1,1.6,4.7,0.102,,,,,,459.0,1011.0,0.465,,,,459.0,1011.0,0.465,0.465,250.0,339.0,0.737,,,637.0,95.0,,,,247.0,1168.0
ATL,3105,1971.0,Len Chappell,PF,30.0,42.0,,451.0,13.8,0.522,,0.46,,,13.3,4.7,,,,,,0.6,0.2,0.8,0.08800000000000001,,,,,,71.0,161.0,0.441,,,,71.0,161.0,0.441,0.441,60.0,74.0,0.8109999999999999,,,133.0,16.0,,,,63.0,202.0
CLE,3104,1971.0,Len Chappell,F-C,30.0,6.0,,86.0,11.4,0.46399999999999997,,0.368,,,10.1,1.8,,,,,,0.0,0.0,0.0,0.013999999999999999,,,,,,15.0,38.0,0.395,,,,15.0,38.0,0.395,0.395,11.0,14.0,0.7859999999999999,,,18.0,1.0,,,,9.0,41.0
TOT,3103,1971.0,Len Chappell,PF,30.0,79.0,,2505.0,19.0,0.5589999999999999,,0.442,,,12.8,6.9,,,,,,3.4,0.9,3.7,0.168,,,,,,531.0,1185.0,0.513,,,,531.0,1185.0,0.513,0.513,288.0,403.0,0.807,,,771.0,83.0,,,,214.0,1350.0
