Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHI,22272,2014.0,Lou Amundson,PF,31.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,56.7,0.0,28.7,0.0,0.0,0.0,0.0,23.0,,0.0,0.0,0.0,0.028999999999999998,,-7.3,1.0,-6.3,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CLE,22880,2015.0,Lou Amundson,PF,32.0,12.0,0.0,79.0,3.8,0.387,0.0,0.41700000000000004,7.4,21.5,14.5,8.7,0.7,0.0,26.0,11.0,,-0.1,0.1,0.0,-0.011000000000000001,,-6.2,-0.1,-6.3,-0.1,4.0,12.0,0.33299999999999996,0.0,0.0,,4.0,12.0,0.33299999999999996,0.33299999999999996,3.0,5.0,0.6,5.0,15.0,20.0,5.0,1.0,0.0,5.0,11.0,11.0
GSW,20514,2011.0,Lou Amundson,PF,28.0,46.0,7.0,691.0,11.5,0.452,0.0,0.475,13.0,17.4,15.2,3.5,1.0,3.6,9.8,15.7,,0.2,0.5,0.6,0.044000000000000004,,-4.0,-0.9,-4.9,-0.5,83.0,183.0,0.45399999999999996,0.0,0.0,,83.0,183.0,0.45399999999999996,0.45399999999999996,34.0,87.0,0.391,81.0,104.0,185.0,17.0,14.0,33.0,24.0,87.0,200.0
IND,21138,2012.0,Lou Amundson,PF,29.0,60.0,0.0,753.0,11.5,0.43799999999999994,0.0,0.396,14.1,19.0,16.6,3.0,1.9,4.6,15.6,17.3,,-0.3,1.3,1.0,0.062,,-3.9,1.2,-2.7,-0.1,89.0,207.0,0.43,0.0,0.0,,89.0,207.0,0.43,0.43,35.0,82.0,0.42700000000000005,94.0,128.0,222.0,14.0,27.0,44.0,45.0,125.0,213.0
MIN,21692,2013.0,Lou Amundson,PF,30.0,20.0,0.0,161.0,6.3,0.342,0.0,0.526,15.9,17.6,16.7,2.8,2.2,2.9,19.0,16.1,,-0.4,0.2,-0.1,-0.038,,-6.9,0.9,-5.9,-0.2,14.0,38.0,0.368,0.0,0.0,,14.0,38.0,0.368,0.368,4.0,20.0,0.2,23.0,24.0,47.0,3.0,7.0,6.0,11.0,26.0,32.0
NOH,21694,2013.0,Lou Amundson,PF,30.0,18.0,0.0,209.0,11.7,0.449,0.0,0.381,13.4,19.7,16.5,5.8,2.3,2.4,14.0,12.7,,0.1,0.2,0.3,0.065,,-2.4,1.3,-1.1,0.0,18.0,42.0,0.429,0.0,0.0,,18.0,42.0,0.429,0.429,8.0,16.0,0.5,24.0,34.0,58.0,8.0,9.0,6.0,8.0,27.0,44.0
NOP,22271,2014.0,Lou Amundson,PF,31.0,18.0,0.0,184.0,9.2,0.446,0.0,0.75,17.4,17.3,17.4,4.7,2.5,5.0,24.8,14.0,,-0.1,0.2,0.1,0.024,,-3.4,2.1,-1.3,0.0,16.0,32.0,0.5,0.0,0.0,,16.0,32.0,0.5,0.5,6.0,24.0,0.25,28.0,27.0,55.0,6.0,9.0,11.0,14.0,49.0,38.0
NYK,23528,2016.0,Lou Amundson,PF,33.0,41.0,35.0,858.0,12.5,0.444,0.004,0.509,12.5,22.0,16.7,12.6,1.5,5.0,18.8,18.0,,-0.3,0.8,0.4,0.02,,-3.8,2.2,-1.6,0.1,105.0,243.0,0.43200000000000005,0.0,1.0,0.0,105.0,242.0,0.434,0.43200000000000005,38.0,82.0,0.519,89.0,159.0,248.0,65.0,21.0,52.0,57.0,115.0,248.0
PHI,18758,2008.0,Lou Amundson,PF,25.0,16.0,0.0,87.0,9.8,0.47200000000000003,0.0,0.667,18.0,20.6,19.3,1.7,0.8,7.1,20.5,14.9,,0.0,0.1,0.1,0.043,,-4.5,1.4,-4.1,0.0,8.0,16.0,0.5,0.0,0.0,,8.0,16.0,0.5,0.5,4.0,10.0,0.4,13.0,15.0,28.0,1.0,1.0,8.0,5.0,15.0,18.0
PHO,19932,2010.0,Lou Amundson,PF,27.0,79.0,0.0,1168.0,14.4,0.562,0.004,0.48,14.9,19.9,16.7,3.7,1.5,4.6,15.6,15.1,,1.5,1.3,2.9,0.11800000000000001,,-1.0,1.4,0.4,0.7,152.0,276.0,0.551,0.0,1.0,0.0,152.0,275.0,0.5529999999999999,0.551,67.0,123.0,0.545,128.0,218.0,346.0,31.0,32.0,73.0,57.0,169.0,371.0
TOT,22879,2015.0,Lou Amundson,PF,32.0,53.0,35.0,937.0,11.8,0.446,0.004,0.75,17.6,22.0,18.9,12.2,2.5,6.9,24.8,17.4,,-0.1,0.9,0.3,0.039,,-3.4,2.1,-1.3,0.0,109.0,255.0,0.5,0.0,1.0,0.0,109.0,254.0,0.5,0.5,41.0,87.0,0.47100000000000003,94.0,174.0,268.0,70.0,22.0,52.0,62.0,126.0,259.0
UTA,18235,2007.0,Lou Amundson,PF,24.0,1.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.004,,-5.3,0.2,-5.1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
