Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,16074,2003.0,Mark Bryant,PF,37.0,2.0,0.0,9.0,-1.1,0.0,0.0,0.0,0.0,25.9,12.6,16.3,0.0,0.0,0.0,5.2,,0.0,0.0,0.0,-0.019,,-10.4,0.6,-9.8,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0
CHI,14022,1999.0,Mark Bryant,PF,33.0,45.0,29.0,1204.0,12.1,0.513,0.003,0.316,8.6,14.4,11.4,8.0,1.5,1.0,14.6,18.1,,0.5,1.0,1.5,0.06,,-2.4,-0.3,-2.7,-0.2,168.0,348.0,0.483,0.0,1.0,0.0,168.0,347.0,0.484,0.483,71.0,110.0,0.645,92.0,140.0,232.0,48.0,34.0,16.0,68.0,149.0,407.0
CLE,14538,2000.0,Mark Bryant,PF,34.0,75.0,50.0,1712.0,8.9,0.547,0.0,0.272,8.1,14.9,11.5,5.5,0.9,1.3,18.3,12.0,,1.0,1.4,2.4,0.067,,-2.6,0.6,-2.0,0.0,174.0,346.0,0.503,0.0,0.0,,174.0,346.0,0.503,0.503,76.0,94.0,0.809,126.0,226.0,352.0,61.0,31.0,31.0,87.0,250.0,424.0
DAL,15029,2001.0,Mark Bryant,PF,35.0,18.0,1.0,101.0,2.1,0.428,0.0,0.25,4.5,18.3,11.6,4.2,0.5,1.4,18.4,12.2,,-0.1,0.1,0.0,0.005,,-6.2,-0.5,-6.6,-0.1,8.0,20.0,0.4,0.0,0.0,,8.0,20.0,0.4,0.4,3.0,5.0,0.6,4.0,17.0,21.0,3.0,1.0,2.0,5.0,29.0,19.0
DEN,16073,2003.0,Mark Bryant,PF,37.0,3.0,0.0,14.0,-5.0,0.266,0.0,2.0,7.9,8.7,8.3,21.0,0.0,0.0,51.5,12.3,,-0.1,0.0,0.0,-0.161,,-10.7,-1.4,-12.1,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,2.0,0.0,0.0,2.0,4.0,1.0
HOU,12350,1996.0,Mark Bryant,PF,30.0,71.0,9.0,1587.0,13.1,0.583,0.004,0.397,9.6,15.3,12.5,5.2,1.0,0.9,14.0,17.3,,2.1,1.4,3.6,0.107,,-1.6,-1.2,-2.8,-0.3,242.0,446.0,0.5429999999999999,0.0,2.0,0.0,242.0,444.0,0.545,0.5429999999999999,127.0,177.0,0.718,131.0,220.0,351.0,52.0,31.0,19.0,85.0,234.0,611.0
PHI,16072,2003.0,Mark Bryant,PF,37.0,11.0,0.0,77.0,1.5,0.336,0.0,0.11800000000000001,10.5,14.0,12.2,1.9,0.7,1.0,21.9,13.3,,-0.1,0.1,-0.1,-0.057,,-7.5,-1.8,-9.3,-0.1,5.0,17.0,0.294,0.0,0.0,,5.0,17.0,0.294,0.294,2.0,2.0,1.0,7.0,9.0,16.0,1.0,1.0,1.0,5.0,12.0,12.0
PHO,13480,1998.0,Mark Bryant,PF,32.0,70.0,22.0,1110.0,13.3,0.589,0.004,0.42200000000000004,9.9,16.5,12.8,7.2,1.7,1.0,17.9,16.3,,1.6,1.6,2.5,0.109,,-0.6,1.0,-1.1,0.2,152.0,275.0,0.5529999999999999,0.0,1.0,0.0,152.0,275.0,0.5529999999999999,0.5529999999999999,76.0,108.0,0.768,92.0,152.0,244.0,47.0,36.0,15.0,58.0,180.0,380.0
POR,11894,1995.0,Mark Bryant,PF,29.0,80.0,32.0,1441.0,13.2,0.555,0.015,0.498,11.9,19.1,14.1,6.8,1.6,1.8,15.1,16.6,,1.5,1.8,3.2,0.129,,-1.2,0.9,-0.3,0.3,186.0,384.0,0.526,1.0,3.0,0.5,186.0,383.0,0.526,0.529,104.0,148.0,0.733,132.0,198.0,324.0,41.0,37.0,29.0,66.0,226.0,476.0
SAS,15579,2002.0,Mark Bryant,PF,36.0,30.0,3.0,206.0,11.5,0.478,0.0,0.145,14.4,10.3,12.3,7.9,1.8,0.7,9.3,14.6,,0.3,0.3,0.6,0.133,,-0.5,0.5,-0.1,0.1,25.0,55.0,0.455,0.0,0.0,,25.0,55.0,0.455,0.455,6.0,8.0,0.75,25.0,19.0,44.0,10.0,7.0,2.0,6.0,38.0,56.0
TOT,16071,2003.0,Mark Bryant,PF,37.0,16.0,0.0,100.0,0.4,0.313,0.0,0.21100000000000002,9.2,14.3,11.7,5.9,0.5,0.8,25.2,12.5,,-0.2,0.1,-0.1,-0.068,,-8.2,-1.5,-9.7,-0.2,5.0,19.0,0.263,0.0,0.0,,5.0,19.0,0.263,0.263,3.0,4.0,0.75,8.0,12.0,20.0,4.0,1.0,1.0,7.0,18.0,13.0
