Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
GSW,24130,2017.0,Matt Barnes,SF,36.0,76.0,23.0,1813.0,14.7,0.569,0.578,0.256,6.8,19.1,12.3,13.7,1.9,1.9,19.3,18.5,,1.9,1.8,3.7,0.115,,0.5,1.6,0.9,1.3,275.0,628.0,0.43799999999999994,106.0,290.0,0.366,169.0,338.0,0.526,0.522,90.0,123.0,0.87,94.0,259.0,350.0,156.0,73.0,41.0,105.0,188.0,746.0
LAC,22903,2015.0,Matt Barnes,SF,34.0,80.0,74.0,2271.0,15.5,0.574,0.603,0.442,8.3,15.5,11.9,10.6,2.1,2.6,21.1,18.1,,3.5,2.8,6.3,0.146,,2.2,1.1,3.4,2.8,312.0,675.0,0.462,136.0,376.0,0.36200000000000004,201.0,350.0,0.574,0.5529999999999999,87.0,117.0,0.779,111.0,255.0,366.0,125.0,82.0,63.0,90.0,240.0,822.0
LAL,21159,2012.0,Matt Barnes,SF,31.0,63.0,16.0,1440.0,15.5,0.569,0.384,0.331,8.4,18.3,13.3,13.8,2.0,2.4,15.6,16.6,,2.4,1.8,4.3,0.142,,1.1,1.5,2.6,1.7,175.0,387.0,0.47,46.0,138.0,0.33299999999999996,129.0,249.0,0.564,0.53,95.0,128.0,0.779,97.0,247.0,344.0,126.0,39.0,48.0,73.0,152.0,491.0
MEM,23555,2016.0,Matt Barnes,SF,35.0,76.0,45.0,2190.0,11.7,0.503,0.534,0.19899999999999998,4.2,18.3,10.9,11.6,1.8,2.4,13.8,17.9,,0.4,2.2,2.6,0.055999999999999994,,-0.4,0.8,0.4,1.3,264.0,693.0,0.381,119.0,370.0,0.322,145.0,323.0,0.449,0.467,111.0,138.0,0.804,84.0,336.0,420.0,163.0,78.0,57.0,121.0,234.0,758.0
NYK,17695,2006.0,Matt Barnes,SF,25.0,6.0,5.0,93.0,9.8,0.409,0.133,0.133,9.1,22.5,15.7,10.9,2.3,0.0,15.9,18.4,,-0.1,0.1,0.0,-0.012,,-3.7,-0.2,-3.9,0.0,11.0,30.0,0.36700000000000005,1.0,4.0,0.25,10.0,26.0,0.385,0.38299999999999995,3.0,4.0,0.75,7.0,17.0,24.0,6.0,4.0,0.0,6.0,8.0,26.0
ORL,19956,2010.0,Matt Barnes,SF,29.0,81.0,58.0,2097.0,13.6,0.5760000000000001,0.37200000000000005,0.262,6.1,18.0,12.3,10.1,1.5,1.1,15.3,16.2,,2.5,3.4,5.9,0.135,,0.5,2.2,2.7,2.5,271.0,557.0,0.48700000000000004,66.0,207.0,0.319,205.0,350.0,0.586,0.546,108.0,146.0,0.74,106.0,339.0,445.0,134.0,59.0,30.0,112.0,185.0,716.0
PHI,17696,2006.0,Matt Barnes,PF,25.0,50.0,0.0,538.0,10.8,0.578,0.1,0.391,8.9,12.2,10.5,6.3,1.5,1.0,15.7,13.0,,0.6,0.4,1.0,0.09,,-1.6,-1.0,-2.6,-0.1,59.0,110.0,0.536,2.0,11.0,0.182,57.0,99.0,0.5760000000000001,0.545,29.0,43.0,0.674,41.0,56.0,97.0,22.0,16.0,7.0,24.0,92.0,149.0
PHO,19377,2009.0,Matt Barnes,PF,28.0,77.0,40.0,2082.0,12.6,0.537,0.506,0.20199999999999999,4.6,18.5,11.8,14.2,1.2,0.9,15.0,18.3,,1.6,1.4,3.0,0.069,,0.9,-0.4,0.5,1.3,285.0,674.0,0.423,117.0,341.0,0.34299999999999997,168.0,333.0,0.505,0.51,101.0,136.0,0.743,79.0,342.0,421.0,212.0,52.0,26.0,130.0,209.0,788.0
SAC,24129,2017.0,Matt Barnes,SF,36.0,54.0,13.0,1367.0,10.2,0.501,0.551,0.384,7.7,20.1,12.5,16.2,2.2,1.1,20.3,16.4,,-0.1,1.1,1.0,0.034,,-1.2,0.5,-1.0,0.4,147.0,383.0,0.41100000000000003,69.0,211.0,0.327,78.0,172.0,0.45299999999999996,0.474,50.0,66.0,0.758,55.0,241.0,296.0,149.0,36.0,17.0,83.0,138.0,413.0
TOT,24128,2017.0,Matt Barnes,SF,36.0,74.0,18.0,1777.0,10.7,0.545,0.556,0.336,8.9,19.9,12.4,15.6,1.6,1.3,17.3,15.6,,0.5,1.7,2.0,0.075,,-1.2,0.6,-0.6,0.6,185.0,473.0,0.5,87.0,263.0,0.331,98.0,210.0,0.536,0.511,70.0,89.0,0.787,70.0,317.0,387.0,194.0,48.0,26.0,107.0,185.0,527.0
