Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,24237,2017.0,Mike Dunleavy,SF,36.0,30.0,0.0,475.0,11.9,0.597,0.5920000000000001,0.2,3.1,12.5,7.9,9.5,0.9,0.9,9.0,14.3,,0.7,0.5,1.2,0.12,,-0.2,-0.8,-1.0,0.1,57.0,130.0,0.43799999999999994,33.0,77.0,0.429,24.0,53.0,0.45299999999999996,0.565,22.0,26.0,0.846,13.0,55.0,68.0,30.0,9.0,5.0,14.0,35.0,169.0
CHI,23653,2016.0,Mike Dunleavy,SF,35.0,82.0,63.0,2584.0,12.6,0.573,0.547,0.212,2.1,13.0,7.6,12.3,1.3,1.4,11.3,17.0,,2.4,4.1,6.5,0.121,,0.6,1.1,0.7,1.8,333.0,774.0,0.435,123.0,324.0,0.40700000000000003,210.0,450.0,0.46799999999999997,0.546,140.0,164.0,0.8540000000000001,46.0,299.0,345.0,186.0,64.0,46.0,108.0,163.0,929.0
CLE,24236,2017.0,Mike Dunleavy,SF,36.0,23.0,2.0,366.0,7.6,0.539,0.633,0.21100000000000002,1.6,12.2,7.1,7.5,0.8,0.4,12.5,13.7,,0.1,0.2,0.3,0.040999999999999995,,-2.0,-1.7,-3.7,-0.2,36.0,90.0,0.4,20.0,57.0,0.35100000000000003,16.0,33.0,0.485,0.511,14.0,19.0,0.737,5.0,42.0,47.0,20.0,6.0,2.0,14.0,32.0,106.0
GSW,18353,2007.0,Mike Dunleavy,SF,26.0,82.0,79.0,2578.0,15.1,0.547,0.36,0.309,5.4,17.2,10.7,16.7,2.1,1.0,15.7,19.7,,3.0,2.3,5.2,0.107,,1.3,0.5,1.8,2.2,408.0,905.0,0.451,107.0,276.0,0.38799999999999996,301.0,629.0,0.491,0.514,196.0,252.0,0.78,97.0,355.0,442.0,237.0,79.0,32.0,143.0,199.0,1057.0
HOU,6538,1982.0,Mike Dunleavy,SG,27.0,74.0,15.0,1609.0,15.7,0.5820000000000001,0.191,0.433,2.7,8.6,5.3,29.7,3.7,0.5,22.5,23.1,,2.8,0.9,3.4,0.109,,0.6,-1.5,-1.5,0.2,310.0,632.0,0.506,33.0,86.0,0.384,309.0,616.0,0.506,0.506,159.0,186.0,0.8640000000000001,28.0,100.0,128.0,324.0,64.0,5.0,137.0,168.0,777.0
IND,20682,2011.0,Mike Dunleavy,SG,30.0,82.0,82.0,2953.0,17.3,0.605,0.488,0.361,3.3,16.2,9.2,16.1,1.6,1.3,12.8,26.3,,5.9,2.6,8.5,0.138,,2.5,0.4,2.1,3.1,532.0,1117.0,0.47600000000000003,165.0,389.0,0.424,367.0,728.0,0.519,0.56,336.0,403.0,0.8420000000000001,59.0,365.0,424.0,288.0,86.0,31.0,190.0,208.0,1565.0
MIL,21826,2013.0,Mike Dunleavy,SF,35.0,75.0,19.0,1943.0,17.7,0.75,1.0,0.5710000000000001,2.2,14.9,8.0,30.6,1.7,1.3,31.3,24.9,,3.5,1.7,4.4,0.18899999999999997,,6.7,-0.6,1.0,1.1,276.0,624.0,0.551,128.0,299.0,0.5,156.0,325.0,0.622,0.75,116.0,143.0,0.875,31.0,260.0,291.0,145.0,39.0,35.0,90.0,135.0,785.0
PHI,5109,1978.0,Mike Dunleavy,PG,23.0,32.0,,359.0,17.4,0.508,,0.31,2.9,6.3,4.7,47.8,2.6,0.3,27.6,24.2,,0.0,0.3,0.2,0.061,,-2.2,-2.7,-4.9,0.0,60.0,145.0,0.429,,,,60.0,145.0,0.429,0.429,34.0,45.0,1.0,10.0,24.0,34.0,56.0,13.0,2.0,3.0,64.0,154.0
SAS,6910,1983.0,Mike Dunleavy,PG,28.0,79.0,9.0,1619.0,14.0,0.53,0.38,0.302,1.3,7.5,4.5,33.6,2.1,0.1,21.7,18.2,,2.1,1.0,3.1,0.09300000000000001,,0.9,-2.7,-1.8,0.1,213.0,510.0,0.418,67.0,194.0,0.345,146.0,316.0,0.462,0.483,120.0,154.0,0.779,18.0,116.0,134.0,437.0,74.0,4.0,160.0,210.0,613.0
TOT,24235,2017.0,Mike Dunleavy,SG-PF,36.0,82.0,49.0,2580.0,15.9,0.573,0.609,0.36,3.6,15.5,9.4,32.3,3.6,0.7,17.2,23.2,,2.6,2.5,5.1,0.095,,-0.1,0.3,0.2,1.4,384.0,850.0,0.452,70.0,224.0,0.396,314.0,626.0,0.502,0.5429999999999999,211.0,269.0,0.8,84.0,347.0,431.0,228.0,84.0,22.0,149.0,203.0,1049.0
