Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIA,16224,2003.0,Mike James,PG,27.0,78.0,8.0,1722.0,11.8,0.469,0.488,0.243,2.0,11.7,6.9,27.7,2.8,0.6,22.0,23.7,,0.2,1.6,1.8,0.051,,-0.4,-0.3,-1.5,0.2,218.0,585.0,0.373,67.0,228.0,0.381,151.0,357.0,0.423,0.442,104.0,142.0,0.732,26.0,123.0,149.0,246.0,64.0,5.0,108.0,176.0,607.0
BOS,16748,2004.0,Mike James,PG,28.0,55.0,55.0,1684.0,14.4,0.5329999999999999,0.44299999999999995,0.18600000000000003,1.4,10.4,6.0,24.4,2.1,0.1,13.1,17.1,,2.6,1.2,3.8,0.10800000000000001,,1.4,-1.2,0.1,0.9,213.0,510.0,0.418,86.0,226.0,0.381,127.0,284.0,0.447,0.502,76.0,95.0,0.8,20.0,156.0,176.0,244.0,70.0,2.0,83.0,113.0,588.0
DET,16749,2004.0,Mike James,PG,28.0,26.0,0.0,512.0,14.3,0.512,0.374,0.218,1.8,11.1,6.6,32.0,2.8,0.1,20.3,18.4,,0.4,1.0,1.4,0.13,,0.1,0.1,0.2,0.3,59.0,147.0,0.401,20.0,55.0,0.364,39.0,92.0,0.424,0.469,27.0,32.0,0.8440000000000001,8.0,50.0,58.0,95.0,26.0,1.0,41.0,43.0,165.0
MIL,17346,2005.0,Mike James,PG,29.0,47.0,0.0,1167.0,16.0,0.535,0.33,0.196,2.3,10.0,6.1,27.6,1.8,0.3,13.8,22.6,,1.5,0.5,2.0,0.084,,2.5,-1.9,0.6,0.8,205.0,460.0,0.446,58.0,152.0,0.382,147.0,308.0,0.47700000000000004,0.509,67.0,90.0,0.7440000000000001,23.0,99.0,122.0,185.0,40.0,4.0,80.0,114.0,535.0
TOR,17919,2006.0,Mike James,PG,30.0,79.0,79.0,2925.0,19.8,0.583,0.311,0.275,1.8,9.5,5.5,28.2,1.3,0.1,13.0,25.0,,7.7,-0.1,7.6,0.125,,4.8,-2.9,1.9,2.9,576.0,1228.0,0.469,169.0,382.0,0.442,407.0,846.0,0.48100000000000004,0.5379999999999999,283.0,338.0,0.8370000000000001,45.0,217.0,262.0,460.0,72.0,3.0,206.0,214.0,1604.0
MIN,18461,2007.0,Mike James,PG,31.0,82.0,65.0,2069.0,13.3,0.528,0.306,0.262,1.5,7.8,4.7,23.7,1.4,0.3,14.1,20.5,,1.8,1.1,2.8,0.065,,0.0,-2.3,-2.3,-0.2,297.0,703.0,0.42200000000000004,80.0,215.0,0.37200000000000005,217.0,488.0,0.445,0.479,154.0,184.0,0.8370000000000001,25.0,138.0,163.0,297.0,55.0,7.0,129.0,171.0,828.0
HOU,19019,2008.0,Mike James,PG,32.0,33.0,5.0,692.0,17.4,0.5329999999999999,0.368,0.18899999999999997,2.3,12.2,7.2,21.1,2.0,0.3,10.6,23.3,,1.2,1.0,2.2,0.155,,2.6,-0.2,2.4,0.8,126.0,291.0,0.433,42.0,107.0,0.39299999999999996,84.0,184.0,0.457,0.505,42.0,55.0,0.7859999999999999,12.0,74.0,86.0,78.0,25.0,2.0,29.0,60.0,336.0
NOH,19613,2009.0,Mike James,PG,33.0,21.0,0.0,183.0,5.8,0.428,0.359,0.094,1.9,9.8,5.7,17.2,1.5,0.0,10.4,18.8,,-0.1,0.1,0.0,-0.018000000000000002,,-4.8,-2.0,-7.1,-0.1,22.0,64.0,0.344,7.0,23.0,0.75,15.0,41.0,0.366,0.39799999999999996,6.0,6.0,1.0,3.0,14.0,17.0,8.0,4.0,0.0,7.0,12.0,57.0
TOT,19612,2009.0,Mike James,PG,33.0,81.0,55.0,2196.0,16.6,0.534,0.428,0.193,2.2,10.8,6.6,26.1,2.3,0.3,14.8,22.8,,3.0,2.2,5.2,0.113,,2.6,-0.9,1.3,1.6,331.0,751.0,0.441,106.0,281.0,0.386,231.0,492.0,0.47,0.507,109.0,145.0,0.8290000000000001,35.0,206.0,234.0,339.0,96.0,6.0,124.0,174.0,871.0
WAS,20208,2010.0,Mike James,PG,34.0,53.0,50.0,1575.0,9.9,0.48700000000000004,0.368,0.4,2.5,7.8,4.7,19.2,3.4,0.3,17.5,28.1,,-0.1,0.0,-0.1,-0.003,,-1.2,-2.5,-3.8,-0.1,189.0,489.0,0.387,66.0,180.0,0.36700000000000005,123.0,309.0,0.39799999999999996,0.45399999999999996,67.0,80.0,0.838,24.0,102.0,126.0,193.0,42.0,6.0,91.0,101.0,511.0
DAL,21934,2013.0,Mike James,PG,37.0,45.0,23.0,862.0,9.5,0.48100000000000004,0.461,0.107,1.2,8.0,4.7,23.7,1.5,0.3,16.2,17.9,,0.0,0.5,0.4,0.024,,-1.3,-2.2,-3.4,-0.3,101.0,271.0,0.373,48.0,125.0,0.384,53.0,146.0,0.363,0.461,23.0,29.0,0.7929999999999999,9.0,63.0,72.0,139.0,26.0,3.0,55.0,95.0,273.0
CHI,22549,2014.0,Mike James,PG,38.0,11.0,0.0,120.0,13.7,0.505,0.23800000000000002,0.163,1.9,10.2,5.2,39.8,1.8,1.2,21.0,25.3,,0.1,0.2,0.3,0.111,,-0.9,-1.9,-2.9,0.0,20.0,49.0,0.408,6.0,10.0,0.6,14.0,39.0,0.359,0.469,7.0,8.0,0.875,2.0,8.0,10.0,29.0,4.0,2.0,14.0,20.0,53.0
