Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,16464,2003.0,Mike Wilks,SG,23.0,15.0,7.0,364.0,9.4,0.45299999999999996,0.21,0.358,2.9,9.6,6.4,18.1,2.3,0.2,14.6,13.8,,0.1,0.2,0.3,0.042,,-2.0,-0.8,-2.9,-0.1,29.0,81.0,0.358,6.0,17.0,0.353,23.0,64.0,0.359,0.395,21.0,29.0,0.7240000000000001,9.0,32.0,41.0,42.0,16.0,1.0,16.0,38.0,85.0
CLE,18202,2006.0,Mike Wilks,PG,26.0,37.0,0.0,243.0,2.0,0.327,0.237,0.203,2.9,10.3,6.6,11.2,1.8,0.3,18.9,15.1,,-0.6,0.2,-0.4,-0.075,,-7.0,-0.4,-7.3,-0.3,17.0,59.0,0.28800000000000003,2.0,14.0,0.14300000000000002,15.0,45.0,0.33299999999999996,0.305,6.0,12.0,0.5,6.0,21.0,27.0,18.0,8.0,1.0,15.0,27.0,42.0
DEN,19304,2008.0,Mike Wilks,PG,28.0,8.0,0.0,122.0,6.4,0.503,0.217,0.087,3.6,7.0,5.3,6.6,2.0,0.0,17.3,10.1,,0.0,0.1,0.1,0.032,,-3.3,-0.3,-3.6,0.0,10.0,23.0,0.435,2.0,5.0,0.4,8.0,18.0,0.444,0.478,2.0,2.0,1.0,4.0,8.0,12.0,6.0,5.0,0.0,5.0,9.0,24.0
HOU,17048,2004.0,Mike Wilks,PG,24.0,26.0,0.0,145.0,14.4,0.606,0.278,0.33299999999999996,2.6,10.1,6.5,20.6,1.1,0.0,14.5,15.9,,0.4,0.2,0.5,0.16899999999999998,,0.0,-1.9,-1.9,0.0,17.0,36.0,0.47200000000000003,6.0,10.0,0.6,11.0,26.0,0.423,0.556,10.0,12.0,0.833,3.0,13.0,16.0,17.0,3.0,0.0,7.0,15.0,50.0
MIN,16465,2003.0,Mike Wilks,PG,23.0,31.0,0.0,324.0,9.1,0.414,0.26899999999999996,0.26899999999999996,4.0,6.5,5.2,21.0,1.8,0.7,13.8,12.2,,0.2,0.2,0.4,0.055999999999999994,,-2.2,-1.2,-3.4,-0.1,21.0,67.0,0.313,4.0,18.0,0.222,17.0,49.0,0.34700000000000003,0.34299999999999997,16.0,18.0,0.889,11.0,19.0,30.0,50.0,11.0,3.0,12.0,31.0,62.0
OKC,20481,2010.0,Mike Wilks,PG,30.0,4.0,0.0,59.0,5.9,0.581,0.25,0.33299999999999996,2.0,5.7,3.9,10.1,0.0,0.0,22.5,13.5,,0.0,0.0,0.0,0.023,,-3.6,-2.6,-6.2,-0.1,6.0,12.0,0.5,2.0,3.0,0.667,4.0,9.0,0.444,0.583,2.0,4.0,0.5,1.0,3.0,4.0,4.0,0.0,0.0,4.0,5.0,16.0
SAS,17639,2005.0,Mike Wilks,PG,25.0,48.0,0.0,278.0,11.0,0.48200000000000004,0.20800000000000002,0.20800000000000002,1.7,8.8,5.3,19.1,2.7,0.3,14.3,16.4,,0.1,0.5,0.6,0.099,,-2.7,0.5,-2.2,0.0,32.0,77.0,0.41600000000000004,5.0,16.0,0.313,27.0,61.0,0.44299999999999995,0.44799999999999995,12.0,16.0,0.75,4.0,21.0,25.0,33.0,14.0,1.0,14.0,26.0,81.0
SEA,19306,2008.0,Mike Wilks,PG,28.0,47.0,4.0,534.0,17.7,0.607,0.161,0.935,3.4,10.5,6.9,40.5,3.0,0.6,23.3,25.3,,0.6,0.1,0.8,0.07400000000000001,,-0.6,-2.0,-3.2,0.0,66.0,141.0,0.556,5.0,15.0,0.33299999999999996,61.0,126.0,0.625,0.556,33.0,42.0,1.0,15.0,39.0,54.0,79.0,15.0,4.0,31.0,53.0,170.0
TOT,19303,2008.0,Mike Wilks,PG-SG,28.0,47.0,7.0,688.0,9.3,0.5429999999999999,0.23600000000000002,0.456,3.4,10.4,6.7,19.4,2.4,0.4,19.2,17.3,,0.3,0.4,0.7,0.052000000000000005,,-2.1,-0.4,-2.9,0.0,50.0,148.0,0.47200000000000003,10.0,35.0,0.375,40.0,113.0,0.5,0.514,37.0,47.0,1.0,20.0,51.0,71.0,92.0,27.0,4.0,28.0,69.0,147.0
WAS,19305,2008.0,Mike Wilks,PG,28.0,4.0,0.0,44.0,10.1,0.625,0.5,0.0,2.6,13.7,8.0,9.7,3.7,0.0,20.0,5.2,,0.0,0.0,0.1,0.094,,-1.4,1.6,0.2,0.0,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,,1.0,5.0,6.0,3.0,3.0,0.0,1.0,2.0,5.0
